time,RF,MKT,SMB,HML
1995-01-31,0.003463670049935308,-0.13185291525997123,-0.017529294186411276,0.011962041807877077
1995-02-28,0.003098508966037361,-0.021627085389697376,-0.009472911627177817,0.03085476949633681
1995-03-31,0.004194391058314206,0.15878511851656518,0.014815870584933416,-0.08185193828747239
1995-04-30,0.0036463004378843866,-0.110414175412207,0.011098112182090558,-0.014453295647314346
1995-05-31,0.0040116609360238975,0.18123007604085406,0.04026875577542882,-0.0970155532521646
1995-06-30,0.0040116609360236755,-0.09245065405248554,0.00791361959432553,0.06887140931068736
1995-07-31,0.003828964064564344,0.07240869942944617,-0.01331918304239163,0.06607968155928146
1995-08-31,0.004194391058313984,0.048076480810557376,-0.05064635142284406,0.1646773196778386
1995-09-30,0.003828964064564344,-0.002871057697514945,-0.025841528447617924,0.10351476629967371
1995-10-31,0.0036463004378848307,0.0011364790756742682,0.01564705344348057,0.06263786865228704
1995-11-30,0.0040116609360238975,-0.07966751381592041,0.024975053832694938,-0.09373937499317914
1995-12-31,0.003828964064564344,-0.11735752535186816,0.0021538843070231656,0.013853935687103913
1996-01-31,0.0040116609360238975,-0.04177005006540768,-0.009785399529042227,0.09323765895802966
1996-02-29,0.002186187510827109,0.030944069323282086,-0.009515152266634498,-0.03869347429642822
1996-03-31,0.0036463004378843866,0.0020401371520410994,-0.0015059946455475335,0.009550448486666363
1996-04-30,0.0040116609360241196,0.28785982327735926,0.01456415960392654,0.03476482278234905
1996-05-31,0.00293008978434961,-0.028950221106438856,-0.07228403792452986,0.06889154436467088
1996-06-30,0.002663363593521595,0.25357679856819404,-0.15744819340739336,0.028735896502707248
1996-07-31,0.003063479486291154,0.1166219572741436,0.1211270461930641,0.2505735572489777
1996-08-31,0.0026774115404468724,-0.003196243574933866,-0.020055025419247974,0.03598945265489334
1996-09-30,0.001821574249404767,0.05851298831550955,-0.02993455430516012,-0.007776564035194222
1996-10-31,0.0019127400126612848,0.2149981071577416,0.1383154727362256,0.28112788225623553
1996-11-30,0.0019127400126615068,0.06680822885415139,0.06276391301986708,0.05946595369173924
1996-12-31,0.0020039140720027326,-0.179730462476679,-0.07251374505166969,-0.06944910907835217
1997-01-31,0.0020039140720027326,0.07387685555651857,0.05742220647537903,0.045807775152296615
1997-02-28,0.0009103727354431435,0.06801394613988032,0.020438484505756,-0.04715793255675815
1997-03-31,0.0019127400126615068,0.18587312749794926,0.036479629846434436,-0.05467019523841432
1997-04-30,0.0020039140720027326,0.10977834228663075,-0.03725037855287061,-0.08573561671107477
1997-05-31,0.001821574249404323,-0.07457623061759722,-0.05080232469403734,-0.015016088329069976
1997-06-30,0.001821574249404545,-0.0012886281093194007,-0.00206181790296219,-0.06969208705100643
1997-07-31,0.0020039140720025106,-0.07158508140460862,0.024673033454120495,0.030524893302775913
1997-08-31,0.0019127400126606187,0.00893914881672786,0.02889934971406904,0.1206062240950111
1997-09-30,0.0020039140720027326,-0.11423379536791323,0.010766864921603503,-0.039612399211410354
1997-10-31,0.0017374319232907887,0.12060498971114875,-0.028186025180360064,-0.046463739183724706
1997-11-30,0.0015811863522519065,-0.046413029641891534,0.013683233511985783,-0.02016821237251787
1997-12-31,0.0018185798465160108,0.016354497953682712,0.07666144749868202,-0.03991437840047379
1998-01-31,0.00118565552938521,0.016648070472870646,0.0332840729230847,0.006119309499175163
1998-02-28,0.001185655529384988,-0.011110961615641846,0.03065236279047741,0.03982038765207374
1998-03-31,0.0017394424305634537,0.025758105832840217,0.046206052377210385,0.02056494388075847
1998-04-30,0.0017394424305638978,0.06850257375906477,0.06111390160767915,0.0412263433656872
1998-05-31,0.0015811863522519065,0.06354330449564238,0.06978271222684604,0.07072303494002308
1998-06-30,0.0017394424305643419,-0.06809743431855997,0.009159284607728337,-0.025631628929634775
1998-07-31,0.0017494621057212445,-0.01587541902002454,0.024970127496308187,0.03036539460723736
1998-08-31,0.0015972135440374124,-0.12730716418058263,0.036005088516529726,0.0174667855248945
1998-09-30,0.0016733349322666236,0.08463916923077308,0.06655172855631368,0.01742177749881335
1998-10-31,0.0015210979405935188,-0.02217214565265846,0.056832891160960644,-0.05413120494368667
1998-11-30,0.0015972135440371904,0.015586381988088371,-0.024442147978255464,-0.006620655170550327
1998-12-31,0.0017494621057212445,-0.08936695482098023,-0.03029550836973001,-0.015476539820983515
1999-01-31,0.0015210979405935188,-0.011460898097320538,0.021630238393198886,0.008902549081779065
1999-02-28,0.0005321213113651524,-0.04459373877138684,0.007536544930908606,0.0022527340581993127
1999-03-31,0.0017494621057214665,0.0764793696322561,0.053143750329103165,0.059971537883390935
1999-04-30,0.0016733349322664015,-0.03469903166259791,-0.005516884123597705,0.028158840703810972
1999-05-31,0.0015210979405935188,0.1258759276044228,-0.06307134096891594,-0.08532328030309189
1999-06-30,0.001342858744248554,0.3339793200500851,-0.014212885293262423,-0.024640927977889193
1999-07-31,0.0011886738385566975,-0.06437548139548677,0.008131444859122545,0.009498289922998837
1999-08-31,0.0011886738385562534,0.014644041074209246,0.04135015154694791,0.028275315354447772
1999-09-30,0.0011886738385569195,-0.03341656329433962,0.010547325724025801,-0.013641920202425939
1999-10-31,0.0008643500081952915,-0.04570452061243202,0.01239963944944815,-0.003845259782342736
1999-11-30,0.0011886738385571416,-0.04114971029303527,0.021273748872432052,0.0005099881482629742
1999-12-31,0.0011346125694777776,-0.05281613144118946,-0.00796004108062405,-0.03914031220512276
2000-01-31,0.001026498788615271,0.14205737076280034,0.03605185962865476,-0.07065450533322115
