date,RF,MKT
1995-01-31,0.003463670049935308,-0.13185291525997123
1995-02-28,0.003098508966037361,-0.021627085389697376
1995-03-31,0.004194391058314206,0.15878511851656518
1995-04-30,0.0036463004378843866,-0.110414175412207
1995-05-31,0.0040116609360238975,0.18123007604085406
1995-06-30,0.0040116609360236755,-0.09245065405248554
1995-07-31,0.003828964064564344,0.07240869942944617
1995-08-31,0.004194391058313984,0.048076480810557376
1995-09-30,0.003828964064564344,-0.002871057697514945
1995-10-31,0.0036463004378848307,0.0011364790756742682
1995-11-30,0.0040116609360238975,-0.07966751381592041
1995-12-31,0.003828964064564344,-0.11735752535186816
1996-01-31,0.0040116609360238975,-0.04177005006540768
1996-02-29,0.002186187510827109,0.030944069323282086
1996-03-31,0.0036463004378843866,0.0020401371520410994
1996-04-30,0.0040116609360241196,0.28785982327735926
1996-05-31,0.00293008978434961,-0.028950221106438856
1996-06-30,0.002663363593521595,0.25357679856819404
1996-07-31,0.003063479486291154,0.1166219572741436
1996-08-31,0.0026774115404468724,-0.003196243574933866
1996-09-30,0.001821574249404767,0.05851298831550955
1996-10-31,0.0019127400126612848,0.2149981071577416
1996-11-30,0.0019127400126615068,0.06680822885415139
1996-12-31,0.0020039140720027326,-0.179730462476679
1997-01-31,0.0020039140720027326,0.07387685555651857
1997-02-28,0.0009103727354431435,0.06801394613988032
1997-03-31,0.0019127400126615068,0.18587312749794926
1997-04-30,0.0020039140720027326,0.10977834228663075
1997-05-31,0.001821574249404323,-0.07457623061759722
1997-06-30,0.001821574249404545,-0.0012886281093194007
1997-07-31,0.0020039140720025106,-0.07158508140460862
1997-08-31,0.0019127400126606187,0.00893914881672786
1997-09-30,0.0020039140720027326,-0.11423379536791323
1997-10-31,0.0017374319232907887,0.12060498971114875
1997-11-30,0.0015811863522519065,-0.046413029641891534
1997-12-31,0.0018185798465160108,0.016354497953682712
1998-01-31,0.00118565552938521,0.016648070472870646
1998-02-28,0.001185655529384988,-0.011110961615641846
1998-03-31,0.0017394424305634537,0.025758105832840217
1998-04-30,0.0017394424305638978,0.06850257375906477
1998-05-31,0.0015811863522519065,0.06354330449564238
1998-06-30,0.0017394424305643419,-0.06809743431855997
1998-07-31,0.0017494621057212445,-0.01587541902002454
1998-08-31,0.0015972135440374124,-0.12730716418058263
1998-09-30,0.0016733349322666236,0.08463916923077308
1998-10-31,0.0015210979405935188,-0.02217214565265846
1998-11-30,0.0015972135440371904,0.015586381988088371
1998-12-31,0.0017494621057212445,-0.08936695482098023
1999-01-31,0.0015210979405935188,-0.011460898097320538
1999-02-28,0.0005321213113651524,-0.04459373877138684
1999-03-31,0.0017494621057214665,0.0764793696322561
1999-04-30,0.0016733349322664015,-0.03469903166259791
1999-05-31,0.0015210979405935188,0.1258759276044228
1999-06-30,0.001342858744248554,0.3339793200500851
1999-07-31,0.0011886738385566975,-0.06437548139548677
1999-08-31,0.0011886738385562534,0.014644041074209246
1999-09-30,0.0011886738385569195,-0.03341656329433962
1999-10-31,0.0008643500081952915,-0.04570452061243202
1999-11-30,0.0011886738385571416,-0.04114971029303527
1999-12-31,0.0011346125694777776,-0.05281613144118946
2000-01-31,0.001026498788615271,0.14205737076280034
2000-02-29,0.0006481924906465153,0.12512678879983685
2000-03-31,0.0012427380269441901,0.05650469194395957
2000-04-30,0.0010805542195502227,0.023235525878454677
2000-05-31,0.0009724462765168251,0.027280308290071664
2000-06-30,0.0011886738385569195,0.02518556708834252
2000-07-31,0.0011346125694779996,0.04605067118768402
2000-08-31,0.0012427380269441901,-0.007766138217550789
2000-09-30,0.0011346125694777776,-0.0530773479688883
2000-10-31,0.0009183966830961232,0.02476476634883351
2000-11-30,0.0011886738385566975,0.05967674679687485
2000-12-31,0.0011346125694777776,-0.006952571344707947
2001-01-31,0.0007562654133250746,-0.009708934813169035
2001-02-28,0.0009724462765168251,-0.058765148070785256
2001-03-31,0.0011886738385569195,0.07354764570926053
2001-04-30,0.0011346125694775555,-0.007558775176981114
2001-05-31,0.0009724462765168251,0.03424871157846354
2001-06-30,0.0011346125694777776,0.0024538314401987282
2001-07-31,0.0011886738385571416,-0.13091276067292046
2001-08-31,0.001242738026943746,-0.03683316811922788
2001-09-30,0.0010805542195500006,-0.049694487768765616
2001-10-31,0.0009724462765168251,-0.04477984536592683
2001-11-30,0.0011886738385566975,0.04092964759057893
2001-12-31,0.0011346125694782216,-0.0636839500454578
2002-01-31,0.0010805542195502227,-0.10515697191318818
2002-02-28,0.0005121179220832772,0.02542578124717565
2002-03-31,0.0009874640281117841,0.0679178699078351
2002-04-30,0.0010345104389208881,0.046502510419995646
2002-05-31,0.0008463380617329541,-0.08537563026309014
2002-06-30,0.0009404198283802234,0.13257411752552906
2002-07-31,0.0010815590609116743,-0.03890299166727029
2002-08-31,0.0012056931600057386,0.007828945259509723
2002-09-30,0.0012147002870017687,-0.05158287821850027
2002-10-31,0.001116588326521173,-0.04895993057612491
2002-11-30,0.0013028075570651332,-0.0614483268276238
2002-12-31,0.0013648883311332405,-0.04848910478515833
2003-01-31,0.001240730631765663,0.08983848679306838
2003-02-28,0.00093040372845965,0.010957903688330495
2003-03-31,0.001302807557064689,-0.009369394893929739
2003-04-30,0.001358880523299133,-0.0044521173362571664
2003-05-31,0.000903380616279037,0.04165734209506233
2003-06-30,0.001311818748670479,-0.06093271187329252
2003-07-31,0.0014730367524071752,-0.008448445294028772
2003-08-31,0.0013568759271542774,-0.03559236640559438
2003-09-30,0.0016112377197490257,-0.044560103562141684
2003-10-31,0.0013378444584868365,-0.018645042428057312
