,alpha,p,rsquare,fund_size,return_gap,fund_flow,sharp,treynor,beta,vol
re501009OF,0.012647960797547847,0.08738346652295426,278.0,304.0,27.0,128.0,72.0,26.0,202.0,98.0
re501010OF,0.012767457855102235,0.08381264298309857,276.0,151.0,28.0,191.0,71.0,27.0,197.0,99.0
re501050OF,0.007313809678275324,0.07978453477542366,303.0,87.0,152.0,19.0,202.0,247.0,411.0,254.0
re502000OF,0.0021288681716415663,0.47143068522553455,130.0,145.0,249.0,347.0,420.0,262.0,163.0,310.0
re502003OF,0.020865827672984873,0.1746682201375429,417.0,395.0,50.0,122.0,274.0,443.0,441.0,35.0
re502010OF,0.008551667623344635,0.25331203640841005,288.0,130.0,424.0,130.0,426.0,88.0,14.0,95.0
re502013OF,0.019878571906531098,0.17057916101808301,432.0,371.0,257.0,135.0,238.0,386.0,438.0,37.0
re502023OF,0.012189145665088245,0.5228087968143771,426.0,54.0,340.0,10.0,337.0,74.0,417.0,15.0
re502053OF,0.006714088151518788,0.7519055078132516,407.0,352.0,419.0,444.0,407.0,100.0,25.0,7.0
re510010OF,0.0003862603119223502,0.84594486641578,56.0,301.0,324.0,107.0,333.0,210.0,318.0,396.0
re510020OF,0.0021798579242873735,0.2923359814684242,61.0,286.0,278.0,245.0,245.0,77.0,326.0,391.0
re510030OF,0.0034671330621350695,0.0564358460148433,43.0,196.0,387.0,198.0,168.0,181.0,388.0,407.0
re510050OF,0.000490189664718802,0.842384624006443,89.0,170.0,146.0,2.0,242.0,117.0,291.0,359.0
re510060OF,0.0012861047882881888,0.4699625656513462,44.0,319.0,327.0,437.0,390.0,148.0,382.0,408.0
re510090OF,0.0038750887669498184,0.10814048782285546,112.0,240.0,315.0,259.0,105.0,249.0,315.0,360.0
re510110OF,0.0025704662915401206,0.31107078334553684,87.0,243.0,347.0,289.0,291.0,264.0,309.0,354.0
re510130OF,0.0016572111035321512,0.3444177228398069,31.0,242.0,261.0,40.0,387.0,119.0,178.0,414.0
re510150OF,0.0001313011589141634,0.9778077539631609,199.0,179.0,25.0,281.0,119.0,55.0,198.0,228.0
re510170OF,0.001454588088884105,0.818195279391886,339.0,273.0,389.0,325.0,434.0,260.0,117.0,145.0
re510210OF,0.0003647627097908496,0.7590412459588347,14.0,186.0,297.0,156.0,394.0,102.0,328.0,443.0
re510220OF,0.0025546407636436843,0.17534394848097012,33.0,109.0,279.0,252.0,398.0,97.0,136.0,401.0
re510290OF,0.00013232034925384113,0.9533268031554988,50.0,270.0,320.0,44.0,427.0,81.0,111.0,372.0
re510310OF,0.001227175219480828,0.35960756459399923,6.0,127.0,246.0,358.0,250.0,186.0,153.0,432.0
re510360OF,0.0012305698506287783,0.356250267780998,8.0,131.0,228.0,386.0,247.0,180.0,161.0,433.0
re510630OF,0.010147851155226326,0.20039154648165614,366.0,220.0,8.0,46.0,16.0,7.0,237.0,84.0
re510650OF,0.004688685765699439,0.08201205023963228,94.0,287.0,365.0,326.0,199.0,218.0,304.0,345.0
re510660OF,0.005070205464888499,0.4772920459438603,313.0,216.0,52.0,123.0,157.0,22.0,200.0,113.0
re510680OF,0.0031299752196404067,0.16112118931148378,73.0,16.0,191.0,396.0,115.0,116.0,333.0,373.0
re510710OF,0.003948811835018634,0.07514260110612282,62.0,73.0,195.0,9.0,101.0,114.0,294.0,375.0
re512000OF,0.011171482511540154,0.12458569576349933,249.0,15.0,431.0,300.0,416.0,86.0,4.0,104.0
re512010OF,0.004650159119214417,0.5657987030779814,364.0,14.0,14.0,282.0,124.0,25.0,293.0,74.0
re512070OF,0.006464825174689248,0.1887663659256057,188.0,174.0,404.0,149.0,244.0,246.0,26.0,220.0
re512100OF,4.863878124894156e-05,0.9862131455803236,57.0,199.0,369.0,377.0,440.0,199.0,58.0,329.0
re512120OF,0.0025983430330478157,0.7032912296666061,297.0,181.0,58.0,229.0,227.0,33.0,209.0,128.0
re512220OF,0.00425959867699232,0.5867779237453439,309.0,320.0,380.0,134.0,336.0,388.0,15.0,87.0
re512330OF,0.01219683840876783,0.14691510491091092,310.0,75.0,425.0,315.0,204.0,396.0,32.0,67.0
re512510OF,0.0008594445268814014,0.7629218647118027,91.0,141.0,334.0,349.0,428.0,228.0,85.0,321.0
re512600OF,0.00855277695503934,0.2622547494352352,300.0,187.0,26.0,439.0,30.0,20.0,57.0,90.0
re512610OF,0.0007999166062731527,0.9039877833806234,287.0,345.0,55.0,132.0,307.0,47.0,201.0,134.0
re512640OF,0.004085711350920895,0.15481700872561432,118.0,225.0,388.0,98.0,326.0,222.0,174.0,319.0
re512880OF,0.01102124520777409,0.1298450710373831,247.0,7.0,432.0,21.0,421.0,84.0,2.0,103.0
re512990OF,0.0014997410372319317,0.32924269725107236,23.0,163.0,182.0,190.0,215.0,161.0,213.0,420.0
re513660OF,0.001073195324249699,0.8377534001054082,386.0,354.0,274.0,84.0,404.0,405.0,425.0,205.0
re519027OF,0.0019351456258557736,0.4082045266284038,85.0,307.0,339.0,418.0,318.0,272.0,363.0,369.0
re519100OF,0.0025262996258253595,0.17896618610412207,37.0,222.0,188.0,38.0,132.0,156.0,264.0,402.0
re519116OF,0.0015198406964320108,0.5456427740409684,124.0,83.0,313.0,306.0,231.0,368.0,253.0,355.0
re519180OF,0.0006696795134458859,0.6331224899993738,21.0,256.0,229.0,24.0,312.0,124.0,301.0,426.0
re519193OF,0.01880616308153298,0.0027635054233342373,292.0,178.0,344.0,374.0,17.0,350.0,44.0,148.0
re519673OF,0.007673278907149878,0.02859753123094232,180.0,289.0,120.0,256.0,15.0,128.0,379.0,277.0
re519677OF,0.0027644644442091568,0.18216210583033832,58.0,360.0,360.0,169.0,431.0,61.0,247.0,390.0
re519686OF,0.00027917949609287344,0.8800023620762648,54.0,294.0,314.0,189.0,339.0,219.0,356.0,403.0
re519935OF,0.0034802659906639534,0.6455411186726964,376.0,403.0,83.0,403.0,91.0,432.0,357.0,93.0
re519965OF,0.0008167791843467932,0.7923326489704899,168.0,376.0,131.0,114.0,376.0,206.0,284.0,291.0
re530010OF,0.0033647821276014452,0.1382378114132159,109.0,244.0,312.0,355.0,125.0,243.0,355.0,371.0
re530015OF,0.004540937234012041,0.1893752505707592,154.0,46.0,361.0,129.0,120.0,304.0,96.0,278.0
re530018OF,0.0006586094125918852,0.8152314909556448,101.0,193.0,162.0,319.0,201.0,162.0,83.0,327.0
re540006OF,0.005586001612937052,0.06919689360754791,161.0,202.0,211.0,28.0,136.0,315.0,188.0,298.0
re540007OF,0.006603089697844762,0.10621674484512264,179.0,275.0,168.0,428.0,161.0,309.0,165.0,259.0
re540010OF,0.006820463772578075,0.5221702509825519,387.0,173.0,301.0,249.0,171.0,426.0,123.0,45.0
re580008OF,0.001726612149318853,0.7484685240802249,317.0,94.0,130.0,299.0,108.0,290.0,367.0,194.0
re585001OF,0.00015557920748293826,0.9713623381980633,195.0,306.0,217.0,241.0,386.0,337.0,134.0,244.0
re660008OF,0.0011714590620632917,0.37220177332017,12.0,229.0,245.0,34.0,254.0,187.0,207.0,435.0
re673090OF,0.004308052842212997,0.41876094370756656,312.0,327.0,167.0,223.0,259.0,95.0,229.0,197.0
re700002OF,0.0014653721813329065,0.6339495755362158,120.0,172.0,157.0,273.0,275.0,291.0,56.0,296.0
re960000OF,0.005506833646157861,0.07409628849057988,163.0,64.0,212.0,104.0,137.0,314.0,189.0,294.0
