,alpha,p,rsquare,fund_size,return_gap,fund_flow,sharp,treynor,beta,vol
re001629OF,0.009657692757963375,0.18292115912272766,285.0,38.0,304.0,127.0,206.0,345.0,77.0,108.0
re001630OF,0.00947447416037953,0.19083652947500473,284.0,49.0,302.0,121.0,213.0,346.0,78.0,109.0
re001631OF,0.007630179521341674,0.3406480965267945,341.0,53.0,15.0,275.0,55.0,12.0,60.0,78.0
re001632OF,0.007442133139127435,0.3524821721195841,340.0,72.0,16.0,250.0,56.0,13.0,61.0,79.0
re001637OF,0.005831185894754381,0.09880033612789978,167.0,379.0,277.0,233.0,279.0,192.0,133.0,273.0
re001638OF,0.0017964874080657958,0.839065638639887,382.0,356.0,407.0,427.0,146.0,76.0,175.0,62.0
re001643OF,0.007642710499430315,0.488009663056146,396.0,239.0,132.0,90.0,154.0,435.0,66.0,43.0
re001644OF,0.0072585567860590765,0.5096510753714512,395.0,147.0,133.0,359.0,160.0,436.0,65.0,44.0
re001645OF,0.01464652903186792,0.03488561412452103,261.0,122.0,440.0,43.0,40.0,286.0,168.0,121.0
re001651OF,0.0026974854303287443,0.3029823652628315,160.0,182.0,276.0,201.0,75.0,134.0,383.0,351.0
re001677OF,0.0030163013703587583,0.32034960687234526,155.0,129.0,20.0,253.0,41.0,71.0,332.0,305.0
re001692OF,0.004048268937462541,0.4111134720633809,262.0,292.0,60.0,314.0,90.0,376.0,378.0,219.0
re001714OF,0.009481174576716732,0.12184051053509247,360.0,35.0,138.0,232.0,32.0,329.0,343.0,153.0
re001717OF,0.01810694571375248,0.015831400188940244,352.0,47.0,4.0,263.0,8.0,15.0,371.0,94.0
re001718OF,0.007307571782631986,0.17592903434768947,332.0,226.0,107.0,391.0,69.0,411.0,313.0,193.0
re001719OF,0.009363960508282995,0.04748801397560473,177.0,154.0,374.0,242.0,107.0,125.0,30.0,227.0
re001733OF,0.0007613930202298967,0.785792132952674,114.0,389.0,201.0,375.0,423.0,155.0,101.0,330.0
re001736OF,0.005426237208399224,0.1311610716745003,202.0,211.0,141.0,32.0,57.0,159.0,349.0,271.0
re001766OF,0.01705806281583188,0.00593779828788959,335.0,111.0,23.0,313.0,5.0,36.0,420.0,149.0
re001781OF,0.0031055913167069,0.5091616754503481,216.0,388.0,24.0,407.0,186.0,129.0,144.0,229.0
re001849OF,0.006629115542939356,0.028092916719055543,144.0,396.0,326.0,368.0,133.0,158.0,145.0,306.0
re001915OF,0.008810388370277478,0.20814865180135134,270.0,339.0,36.0,140.0,42.0,14.0,368.0,116.0
re001917OF,0.004020916592125666,0.16219716212441126,131.0,406.0,386.0,320.0,311.0,78.0,149.0,318.0
re001938OF,0.010384409806089774,0.05633830062550056,327.0,8.0,113.0,18.0,63.0,374.0,255.0,191.0
re001956OF,0.007586460878566669,0.5091398998290897,384.0,70.0,84.0,432.0,78.0,412.0,126.0,42.0
re001974OF,0.0030134008647092862,0.14901598176739575,72.0,77.0,139.0,53.0,109.0,250.0,281.0,389.0
re001975OF,0.011411498683978992,0.04443680352764297,318.0,24.0,143.0,197.0,34.0,363.0,361.0,180.0
re002168OF,0.010803342248666402,0.21801158400764187,385.0,102.0,43.0,408.0,58.0,416.0,232.0,64.0
re002210OF,0.006569022075782197,0.0023372562528665808,40.0,394.0,322.0,80.0,388.0,147.0,177.0,381.0
re002229OF,0.006731169000448832,0.41743367607494797,398.0,66.0,124.0,145.0,104.0,430.0,398.0,68.0
re002236OF,0.011354228905788051,0.0003623175463966698,74.0,282.0,437.0,400.0,418.0,54.0,89.0,287.0
re002300OF,0.00898413849165108,0.16858271423202453,357.0,318.0,3.0,301.0,43.0,16.0,396.0,136.0
re002310OF,0.0007550699450532827,0.8656712790896275,248.0,355.0,170.0,148.0,306.0,178.0,275.0,239.0
re002311OF,0.00432346055724772,0.10132091858917178,97.0,136.0,295.0,120.0,352.0,194.0,148.0,347.0
re002315OF,0.000586171495809305,0.8989786267721298,260.0,12.0,169.0,192.0,317.0,179.0,274.0,236.0
re002316OF,0.004355958955442295,0.09699770387193016,96.0,20.0,294.0,248.0,346.0,196.0,151.0,349.0
re002332OF,0.00031485705020032825,0.9519209497954219,273.0,215.0,96.0,70.0,295.0,348.0,170.0,206.0
re002385OF,0.0004177209543177341,0.7850330184380718,27.0,81.0,205.0,26.0,221.0,225.0,325.0,421.0
re002510OF,0.0027840612850235456,0.5069358152300713,184.0,194.0,305.0,425.0,319.0,352.0,106.0,251.0
re002556OF,0.008708590416837999,0.10193155640409708,328.0,91.0,224.0,409.0,61.0,356.0,277.0,198.0
re002595OF,0.00948607082909704,0.05705696726423792,266.0,219.0,142.0,48.0,50.0,357.0,279.0,218.0
re002621OF,0.015635543796717458,0.02388742746372974,347.0,312.0,316.0,205.0,6.0,8.0,292.0,123.0
re002656OF,0.005609177258825801,0.3352311246177796,233.0,39.0,104.0,73.0,335.0,322.0,113.0,168.0
re002671OF,0.008400425866573425,0.3060913323350195,390.0,4.0,411.0,324.0,87.0,104.0,270.0,72.0
re002697OF,0.01546780548338042,0.024641626663687837,346.0,52.0,319.0,239.0,7.0,9.0,295.0,124.0
re002900OF,0.011054706645721949,0.16399782171676924,305.0,128.0,421.0,74.0,219.0,397.0,62.0,83.0
re002906OF,0.0014981167449213606,0.7051135430638216,176.0,137.0,240.0,330.0,417.0,319.0,121.0,263.0
re002907OF,0.0012216418618879472,0.759240750020076,178.0,88.0,234.0,221.0,422.0,323.0,119.0,262.0
re002952OF,0.0015962504855931894,0.560412065308747,150.0,370.0,207.0,328.0,309.0,80.0,329.0,339.0
re002974OF,0.006302152967277121,0.3853855643810191,280.0,13.0,392.0,141.0,332.0,395.0,48.0,107.0
re002978OF,0.003166732649423234,0.5482531716932932,222.0,27.0,82.0,64.0,270.0,46.0,317.0,201.0
re002979OF,0.004408331691239937,0.09290081776183041,110.0,9.0,401.0,155.0,324.0,214.0,251.0,350.0
re002980OF,0.012307520957339956,0.06663701350399738,304.0,365.0,85.0,172.0,46.0,338.0,342.0,133.0
re002987OF,0.000643823538148694,0.6060147833470801,3.0,138.0,216.0,76.0,281.0,193.0,231.0,441.0
re003015OF,0.002843161284120468,0.1633729008683399,63.0,58.0,154.0,416.0,173.0,140.0,262.0,394.0
re003016OF,0.004988754530044076,0.07957238549553096,125.0,61.0,283.0,164.0,349.0,101.0,142.0,322.0
re003053OF,0.00700751310885064,0.2811260663249665,323.0,393.0,123.0,168.0,170.0,403.0,125.0,137.0
re003054OF,0.006651826836571492,0.3048038911217419,320.0,295.0,125.0,351.0,178.0,404.0,127.0,139.0
re003145OF,0.005696937211358321,0.476246569222014,351.0,377.0,111.0,220.0,261.0,335.0,159.0,80.0
re003190OF,0.012639755689650449,0.10792502503290478,413.0,415.0,11.0,435.0,11.0,43.0,428.0,86.0
re003191OF,0.012761266977101332,0.1092188168276416,415.0,6.0,12.0,376.0,12.0,48.0,431.0,81.0
re003230OF,0.019298587021861668,0.016409256111164772,402.0,416.0,29.0,440.0,3.0,6.0,419.0,77.0
re003231OF,0.020391477373181886,0.00956491220786499,403.0,5.0,30.0,283.0,1.0,5.0,422.0,85.0
re003298OF,0.006910214808628111,0.09604237400204244,265.0,374.0,352.0,31.0,60.0,318.0,375.0,256.0
re003299OF,0.0067802349344547016,0.1056852625444056,269.0,149.0,351.0,323.0,64.0,326.0,376.0,252.0
re003366OF,0.002667447223740735,0.5250018948444657,175.0,409.0,310.0,94.0,439.0,64.0,98.0,250.0
re003475OF,0.001916835530184114,0.31007039716624507,49.0,195.0,232.0,116.0,179.0,241.0,235.0,400.0
re003578OF,0.0049948493651953245,0.08052608046002456,127.0,2.0,284.0,92.0,350.0,103.0,139.0,320.0
re003579OF,0.0030439528500968357,0.0965808921316034,47.0,1.0,155.0,298.0,147.0,143.0,266.0,406.0
re003624OF,0.0023733984832418785,0.7996731761883757,392.0,51.0,290.0,20.0,382.0,369.0,155.0,54.0
re003625OF,0.001979690389973111,0.8333244069538829,394.0,48.0,289.0,222.0,391.0,372.0,160.0,51.0
re003634OF,0.010458726273583836,0.255429589683454,393.0,390.0,54.0,163.0,66.0,2.0,331.0,57.0
re003646OF,0.008205519205521707,0.0005707415690622451,52.0,45.0,318.0,360.0,353.0,136.0,135.0,365.0
re003647OF,0.007976432696012996,0.0007737281282744124,51.0,29.0,317.0,188.0,358.0,139.0,137.0,367.0
re003876OF,0.0033628620390995963,0.14241917848274258,80.0,17.0,202.0,50.0,95.0,233.0,216.0,370.0
re003884OF,0.002838778581458966,0.5371273991807588,362.0,284.0,186.0,394.0,99.0,347.0,413.0,237.0
re003885OF,0.0008884873355232675,0.8168696892532867,282.0,41.0,185.0,412.0,189.0,340.0,402.0,264.0
re003956OF,0.011063076142644278,0.20023542015134987,375.0,221.0,129.0,11.0,83.0,434.0,239.0,65.0
re003986OF,0.005852144757692206,0.11996839235258987,174.0,84.0,309.0,54.0,197.0,93.0,124.0,266.0
re004190OF,0.0025127949994790486,0.11434998262604072,25.0,351.0,190.0,101.0,145.0,94.0,249.0,417.0
re004191OF,0.0022426747279156566,0.1582714890507988,24.0,3.0,189.0,261.0,153.0,96.0,248.0,418.0
re020011OF,0.0008975089263217476,0.472257530853599,1.0,209.0,213.0,1.0,262.0,189.0,214.0,440.0
re040180OF,0.0010290987237336312,0.46530743118097495,22.0,303.0,226.0,343.0,293.0,127.0,312.0,425.0
re050002OF,0.0005165825787950568,0.7417256020307172,28.0,190.0,208.0,12.0,211.0,221.0,324.0,419.0
re050013OF,0.0013257100172351915,0.503484385531146,65.0,290.0,275.0,411.0,287.0,79.0,365.0,397.0
re050021OF,0.006617883482287886,0.22125081241583033,217.0,150.0,98.0,341.0,176.0,282.0,43.0,192.0
re070023OF,0.0028605548066119,0.35238947341884963,139.0,31.0,370.0,55.0,222.0,301.0,86.0,297.0
re090010OF,0.0004264496017796788,0.9256968192868956,345.0,26.0,395.0,62.0,414.0,268.0,393.0,238.0
re090012OF,0.0028555048423890648,0.7021302206969706,319.0,269.0,172.0,322.0,285.0,302.0,35.0,96.0
re100053OF,6.160976635302597e-05,0.9531516215373881,5.0,283.0,286.0,422.0,399.0,110.0,370.0,444.0
re110003OF,0.005695842551386925,0.10640858018097954,171.0,146.0,71.0,13.0,31.0,67.0,290.0,274.0
re110019OF,0.001650606558346904,0.5589359572268606,86.0,254.0,148.0,392.0,209.0,227.0,51.0,325.0
re110020OF,0.0010964326401046312,0.38384473282492204,4.0,169.0,235.0,93.0,253.0,184.0,222.0,439.0
re110021OF,0.0015385699073893512,0.33824591010783034,29.0,236.0,258.0,404.0,389.0,126.0,269.0,416.0
re110022OF,0.0033675437535507086,0.5684428929600034,211.0,30.0,38.0,22.0,38.0,65.0,75.0,166.0
re110026OF,0.004190192765854188,0.4641227613055826,243.0,95.0,110.0,345.0,365.0,333.0,150.0,176.0
re110030OF,0.002241359474964813,0.306767910179232,78.0,134.0,187.0,296.0,159.0,141.0,272.0,376.0
re159901OF,0.0017393974568847195,0.5626366092059457,88.0,133.0,149.0,125.0,210.0,234.0,27.0,307.0
re159903OF,0.0006501277770063728,0.8336503486268784,106.0,271.0,267.0,356.0,380.0,289.0,39.0,293.0
re159905OF,0.0030869681075116756,0.4784086165833419,172.0,55.0,288.0,179.0,102.0,240.0,36.0,243.0
re159906OF,0.004008184817495529,0.6253485382429266,333.0,265.0,171.0,390.0,266.0,297.0,13.0,71.0
re159908OF,0.007707170346210572,0.16997503808640202,212.0,135.0,95.0,335.0,163.0,273.0,16.0,184.0
re159909OF,0.0036582411579572233,0.6844318570190115,337.0,80.0,307.0,225.0,302.0,384.0,5.0,60.0
re159910OF,0.003032183908784375,0.34921237174744146,136.0,28.0,382.0,57.0,220.0,298.0,49.0,284.0
re159912OF,0.00037988843500561323,0.9008405709665595,104.0,167.0,241.0,383.0,357.0,295.0,40.0,303.0
re159913OF,0.00011956304000370482,0.9721516672533265,140.0,158.0,371.0,254.0,260.0,296.0,34.0,279.0
re159915OF,0.0052686238445900455,0.37694182433451295,219.0,112.0,101.0,3.0,354.0,325.0,94.0,162.0
re159916OF,0.004780895208609493,0.1968583070450931,156.0,43.0,375.0,434.0,121.0,305.0,53.0,269.0
re159923OF,0.0012622027648420252,0.5265154424751476,42.0,293.0,199.0,420.0,175.0,151.0,208.0,395.0
re159925OF,0.0016024481640420276,0.24525304566106132,10.0,159.0,248.0,27.0,224.0,177.0,141.0,430.0
re159928OF,0.009911659366502241,0.19121479336002822,298.0,105.0,33.0,219.0,20.0,18.0,59.0,92.0
re159929OF,0.001974192201415339,0.7552938803916195,274.0,96.0,53.0,388.0,257.0,40.0,243.0,144.0
re159931OF,0.0029657770019146067,0.2960665727592785,117.0,235.0,399.0,152.0,363.0,255.0,184.0,323.0
re159933OF,0.006057357319091615,0.03689705920243328,129.0,241.0,383.0,42.0,184.0,259.0,245.0,317.0
re159935OF,0.00043241553040953336,0.8726057157600547,81.0,98.0,332.0,215.0,433.0,217.0,99.0,344.0
re159938OF,0.0037982939828918663,0.5007999312273855,228.0,104.0,74.0,68.0,258.0,41.0,236.0,181.0
re159939OF,0.007259653411983279,0.3501062328505259,283.0,107.0,403.0,364.0,323.0,393.0,18.0,89.0
re159940OF,0.005821625389061535,0.035327277249815464,105.0,69.0,405.0,208.0,273.0,198.0,172.0,334.0
re159943OF,0.0009214543168996007,0.7638708938644193,111.0,341.0,259.0,262.0,375.0,288.0,46.0,300.0
re159948OF,0.005380237744552475,0.37006719219079975,218.0,56.0,100.0,35.0,348.0,320.0,88.0,159.0
re159949OF,0.004059776627083856,0.5766942818261399,268.0,23.0,97.0,58.0,383.0,307.0,55.0,105.0
re160133OF,0.009798893122098123,0.005473346868907058,186.0,86.0,134.0,379.0,9.0,63.0,373.0,275.0
re160137OF,0.010486199471086869,0.590421271872446,418.0,329.0,293.0,237.0,310.0,409.0,336.0,13.0
re160218OF,0.010744852974427132,0.5394230720728415,441.0,334.0,433.0,95.0,226.0,408.0,430.0,24.0
re160219OF,0.009308135153160412,0.6020032580771162,420.0,407.0,35.0,100.0,195.0,21.0,418.0,22.0
re160222OF,0.0009465168553843151,0.9476510699554539,406.0,125.0,22.0,97.0,278.0,24.0,72.0,39.0
re160223OF,0.005259738504567473,0.3581139427250414,226.0,108.0,89.0,401.0,347.0,313.0,120.0,177.0
re160225OF,0.0012235363146565186,0.8959625102237513,369.0,90.0,136.0,108.0,415.0,378.0,31.0,53.0
re160516OF,0.005095807694338426,0.3260616925773533,200.0,296.0,362.0,266.0,406.0,149.0,24.0,208.0
re160517OF,0.003822030625221788,0.21745801548517651,152.0,214.0,296.0,165.0,282.0,229.0,410.0,292.0
re160615OF,0.001854309759894519,0.18602081695042527,19.0,165.0,239.0,144.0,185.0,174.0,210.0,427.0
re160616OF,0.00043628451127439034,0.8741682264103664,95.0,210.0,325.0,207.0,429.0,215.0,114.0,336.0
re160625OF,0.004529274656150659,0.368000443729381,197.0,245.0,414.0,85.0,410.0,160.0,28.0,214.0
re160628OF,0.0028648960023428278,0.6695026268702418,361.0,162.0,435.0,181.0,408.0,145.0,215.0,132.0
re160629OF,0.01864352741890686,0.23923392463085602,400.0,380.0,423.0,184.0,364.0,327.0,12.0,32.0
re160630OF,0.008132894954052842,0.5745855298862617,430.0,383.0,13.0,25.0,305.0,387.0,400.0,38.0
re160631OF,0.00043579521045297937,0.8687116932088297,121.0,361.0,336.0,180.0,395.0,248.0,401.0,348.0
re160632OF,0.0021922217911331757,0.9035494104908398,421.0,175.0,441.0,357.0,276.0,60.0,338.0,20.0
re160633OF,0.015197312474398473,0.4611863898863173,414.0,198.0,426.0,112.0,370.0,306.0,414.0,8.0
re160635OF,0.001242961134631194,0.8391460938987007,271.0,155.0,61.0,227.0,290.0,42.0,285.0,154.0
re160636OF,0.0012754688170159324,0.8588875884712681,306.0,288.0,260.0,161.0,272.0,402.0,84.0,111.0
re160637OF,0.018499059602724643,0.2689975657521789,427.0,401.0,91.0,126.0,141.0,410.0,416.0,27.0
re160638OF,0.0070449431778693335,0.6456140596057421,442.0,321.0,328.0,115.0,249.0,342.0,436.0,36.0
re160639OF,0.005078409795538057,0.7582399605478712,439.0,405.0,384.0,71.0,397.0,72.0,432.0,29.0
re160706OF,6.9380061767009e-05,0.9612480850070645,20.0,204.0,252.0,6.0,338.0,204.0,223.0,423.0
re160716OF,0.0008364493816042711,0.6077860359497825,30.0,176.0,367.0,336.0,297.0,244.0,391.0,415.0
re160807OF,0.0004216765825239468,0.8597111923054171,113.0,99.0,397.0,293.0,303.0,166.0,258.0,364.0
re160814OF,0.0028660180171102678,0.33358206044417305,141.0,251.0,391.0,99.0,322.0,236.0,240.0,308.0
re160919OF,0.008930806097999639,0.02885499393157842,183.0,305.0,122.0,230.0,155.0,170.0,288.0,260.0
re161022OF,0.01871413186428693,0.2485482853854547,424.0,372.0,106.0,151.0,130.0,422.0,421.0,30.0
re161024OF,0.020133003394032165,0.1948578099939795,416.0,367.0,37.0,136.0,320.0,444.0,442.0,34.0
re161025OF,0.014135426195813455,0.47783030850298747,434.0,404.0,242.0,387.0,88.0,414.0,194.0,11.0
re161027OF,0.018210517166437918,0.4445798825224945,429.0,272.0,422.0,442.0,396.0,3.0,444.0,2.0
re161028OF,0.007244312168568191,0.7368533560025787,435.0,266.0,444.0,212.0,361.0,442.0,409.0,6.0
re161029OF,0.0033228378112303385,0.27520862930028367,149.0,378.0,341.0,280.0,301.0,266.0,397.0,304.0
re161030OF,0.021609946733658698,0.4271535991839239,431.0,384.0,439.0,369.0,203.0,59.0,9.0,1.0
re161031OF,0.005732874803484821,0.7590451765950217,408.0,331.0,145.0,78.0,277.0,377.0,6.0,18.0
re161033OF,0.00606725157861192,0.5085324743304328,374.0,97.0,358.0,397.0,152.0,413.0,110.0,59.0
re161035OF,0.01049233246727808,0.07953779970653793,263.0,255.0,32.0,162.0,44.0,11.0,372.0,160.0
re161121OF,0.002998817247861412,0.3076368391554888,145.0,310.0,337.0,61.0,314.0,223.0,395.0,313.0
re161122OF,0.010168543164360583,0.19171460446461086,286.0,280.0,49.0,271.0,402.0,37.0,162.0,88.0
re161123OF,0.0028995231635907575,0.8614786763396067,440.0,387.0,285.0,79.0,342.0,364.0,435.0,28.0
re161211OF,0.0058762329470885815,0.03105328578697862,128.0,238.0,372.0,243.0,177.0,252.0,316.0,341.0
re161217OF,0.0004523762291367239,0.941806778632278,344.0,234.0,376.0,291.0,437.0,317.0,171.0,150.0
re161227OF,0.0012452152408599752,0.6499848699925008,76.0,332.0,147.0,147.0,246.0,220.0,50.0,337.0
re161612OF,0.0017897014633784184,0.560380436440203,122.0,259.0,250.0,363.0,330.0,299.0,68.0,299.0
re161613OF,0.004256121382877901,0.46386093139298745,239.0,160.0,88.0,91.0,369.0,334.0,140.0,171.0
re161718OF,0.008148497897331493,0.6585503044278673,436.0,257.0,354.0,424.0,271.0,406.0,384.0,19.0
re161720OF,0.019454138764752778,0.33740799236713226,437.0,362.0,418.0,4.0,198.0,278.0,380.0,9.0
re161721OF,0.0312993709073139,0.07743187243452078,404.0,164.0,436.0,423.0,134.0,82.0,29.0,23.0
re161723OF,0.0031646716019369326,0.3163400485441742,162.0,212.0,333.0,105.0,296.0,263.0,408.0,288.0
re161726OF,0.0035829268297283955,0.7682205898528316,388.0,203.0,87.0,414.0,340.0,31.0,154.0,40.0
re161907OF,0.00016934083460693004,0.9375677681858605,132.0,258.0,406.0,431.0,401.0,157.0,377.0,379.0
re162208OF,0.0007055351930986865,0.9071346311642259,257.0,279.0,44.0,36.0,255.0,168.0,74.0,156.0
re162213OF,0.0028656456931224917,0.16595970579016195,55.0,106.0,164.0,260.0,151.0,112.0,203.0,392.0
re162216OF,0.003800587480593311,0.36430791160610776,181.0,206.0,311.0,196.0,381.0,208.0,107.0,253.0
re162413OF,0.007081989492507761,0.7199668941251549,425.0,346.0,287.0,231.0,360.0,381.0,423.0,12.0
