,2020/03
re000008OF,-0.08034750181718761
re000042OF,-0.06963074346039402
re000051OF,0.09846854656950578
re000059OF,0.06458503127982647
re000082OF,0.042820805134588594
re000176OF,0.1421262442982688
re000248OF,0.2884945831291823
re000309OF,0.1150097070939526
re000311OF,0.017738753412303104
re000312OF,0.05325071763500686
re000313OF,0.04377092635262384
re000326OF,0.14417401787637352
re000368OF,0.10876929557336742
re000373OF,0.1147932964333383
re000376OF,0.1098995743097647
re000409OF,0.1355579772839538
re000411OF,0.10706179932654526
re000418OF,0.2678464575801543
re000457OF,-0.06701170145868222
re000471OF,-0.11742955921409419
re000478OF,-0.05083382936274734
re000512OF,-0.17458665788847635
re000513OF,0.26115565318692846
re000524OF,0.10597730915954282
re000549OF,0.16639873043018946
re000577OF,0.17113325083903214
re000586OF,0.08983583776098426
re000592OF,0.16539804468171412
re000594OF,0.0794208115109639
re000596OF,-0.06291563777279464
re000613OF,0.010895173947072139
re000628OF,0.23518690940135048
re000656OF,0.07924884059892157
re000688OF,0.10657914067384676
re000696OF,-0.1003203933746616
re000697OF,0.06813622657929075
re000711OF,0.19988154502245783
re000729OF,0.049613225229978575
re000746OF,0.2761906597614073
re000751OF,0.3926813276884628
re000756OF,0.04454164328751728
re000761OF,0.09054001733014133
re000778OF,0.17143542486417346
re000780OF,0.18851210322502093
re000793OF,-0.0018940016315008485
re000803OF,0.17216228634934488
re000826OF,0.14204098078051203
re000827OF,0.14237585162439687
re000828OF,0.15637916855671152
re000831OF,0.27277281989816493
re000835OF,0.23422105421290665
re000854OF,0.23646556385134168
re000866OF,0.02627242853969955
re000867OF,0.17979830202471736
re000884OF,0.24805146909429254
re000893OF,-0.14475777330145373
re000913OF,0.2546873116576688
re000916OF,-0.03024304036931562
re000925OF,0.046101572526941526
re000942OF,0.07024489402582147
re000948OF,
re000950OF,0.1084424233622124
re000955OF,0.09369778878753464
re000960OF,0.28793441019559507
re000961OF,0.10504174511188041
re000962OF,-0.04059520648348237
re000968OF,0.024930184551414665
re000971OF,0.06164670813958973
re000974OF,0.05289299224023163
re000975OF,0.08294126208265444
re000978OF,-0.05693604508999998
re000979OF,0.15004955010137683
re000985OF,0.11782401020816563
re000991OF,0.2851978577644392
re000996OF,0.07078187872352615
re001008OF,0.18086643009575046
re001009OF,0.17481629812239974
re001015OF,0.1318804355871832
re001016OF,0.12282443679011794
re001027OF,0.19428023347034426
re001028OF,0.12884314032497207
re001036OF,0.1569446396576829
re001039OF,0.1652180087242772
re001040OF,0.20697323012060184
re001042OF,-0.052592954004319924
re001043OF,0.2689949814706421
re001044OF,0.23394438794391573
re001047OF,0.20130610238530303
re001048OF,0.024003676426279617
re001050OF,0.08958240811451211
re001051OF,0.13230641721531683
re001052OF,-0.05002736108347255
re001054OF,0.2547669581998659
re001064OF,-0.13777243680271745
re001070OF,0.1547619827423797
re001072OF,0.19871822738503914
re001097OF,0.07730490583614857
re001104OF,0.2821671579244097
re001105OF,0.09078802170876914
re001113OF,-0.08027895236475986
re001126OF,0.2077109081524874
re001133OF,-0.07395085785501003
re001149OF,-0.005671373081616117
re001158OF,0.0626812919298158
re001162OF,0.1545993616264071
re001163OF,0.18216362903339683
re001166OF,-0.04940394199947851
re001167OF,0.06058070868289393
re001171OF,0.30200369064076676
re001178OF,0.12977459705109443
re001180OF,0.09980040665026599
re001186OF,0.28252249613991626
re001188OF,0.1109281242960839
re001193OF,0.05732541337651332
re001195OF,0.1881778861153052
re001208OF,0.27808773255110164
re001214OF,-0.027021188107777646
re001223OF,0.06705951280608406
re001230OF,0.18592966039209818
re001236OF,0.22784751735659717
re001237OF,0.1665622846241653
re001241OF,-0.04863987069285301
re001242OF,0.04830952665527505
re001243OF,0.04835555566662576
re001245OF,0.005866413412761093
re001277OF,-0.0019970237517506016
re001291OF,-0.052247403879159424
re001313OF,0.13710178330924053
re001319OF,0.15648709172713038
re001351OF,-0.05183638775657579
re001361OF,0.06329807640697926
re001396OF,0.09922238377147999
re001397OF,0.05207782423785017
re001404OF,0.1254260721642181
re001409OF,0.03772799320999695
re001410OF,0.33318149227888827
re001416OF,0.04573274167292122
re001420OF,0.03509855023087305
re001421OF,-0.0362714615085305
re001426OF,0.0277957503189062
re001455OF,-0.03626563226478594
re001469OF,0.0779946685097137
re001473OF,0.21488826620493465
re001476OF,0.05450296039475966
re001482OF,0.21592997633919733
re001490OF,0.10666396146531325
re001496OF,0.016078781859030104
re001521OF,0.04071402815758051
re001528OF,0.17146444995399482
re001539OF,0.07158444531101844
re001541OF,0.14081909866274678
re001542OF,0.13187568477148595
re001548OF,0.1727685579121203
re001549OF,0.16893778116363994
re001550OF,0.11091910651398253
re001551OF,0.10790907637766121
re001552OF,0.08816518574387872
re001553OF,0.08531642329132962
re001577OF,0.16021144654124905
re001583OF,0.025893343973163174
re001588OF,0.1160867850050945
re001589OF,0.11208294147991457
re001592OF,0.05713633154796044
re001593OF,0.05426084208020539
re001594OF,0.10371338748243394
re001595OF,0.0999593882727775
re001605OF,0.30807673260936463
re001616OF,0.168690115254019
re001617OF,0.11878380334670961
re001618OF,0.11655625869793355
re001626OF,0.17231945833119838
re001628OF,0.1259473293201151
re001629OF,0.11993922355937377
re001630OF,0.1174537659183032
re001631OF,0.22524104268687695
re001632OF,0.2227654760880003
re001637OF,0.09434911429347798
re001638OF,0.15341993309845983
re001643OF,0.1479814025970932
re001644OF,0.14347193244885484
