,time,thscode,netAssetValue
0,2017-04-28,160133.OF,1.927
1,2017-05-31,160133.OF,1.883
2,2017-06-30,160133.OF,2.022
3,2017-07-31,160133.OF,2.012
4,2017-08-31,160133.OF,2.029
5,2017-09-29,160133.OF,2.055
6,2017-10-31,160133.OF,2.187
7,2017-11-30,160133.OF,2.173
8,2017-12-29,160133.OF,2.257
9,2018-01-31,160133.OF,2.306
10,2018-02-28,160133.OF,2.275
11,2018-03-30,160133.OF,2.243
12,2018-04-27,160133.OF,2.168
13,2018-05-31,160133.OF,2.253
14,2018-06-29,160133.OF,2.171
15,2018-07-31,160133.OF,2.193
16,2018-08-31,160133.OF,2.075
17,2018-09-28,160133.OF,2.095
18,2018-10-31,160133.OF,1.869
19,2018-11-30,160133.OF,1.914
20,2018-12-28,160133.OF,1.899
21,2019-01-31,160133.OF,1.942
22,2019-02-28,160133.OF,2.218
23,2019-03-29,160133.OF,2.368
24,2019-04-30,160133.OF,2.351
25,2019-05-31,160133.OF,2.242
26,2019-06-28,160133.OF,2.39
27,2019-07-31,160133.OF,2.509
28,2019-08-30,160133.OF,2.66
29,2019-09-30,160133.OF,2.722
30,2019-10-31,160133.OF,2.788
31,2019-11-29,160133.OF,2.731
32,2019-12-31,160133.OF,2.882
33,2020-01-23,160133.OF,2.987
34,2020-02-28,160133.OF,3.241
35,2020-03-31,160133.OF,3.193
36,2020-04-30,160133.OF,3.392
37,2020-05-29,160133.OF,3.526
38,2020-06-30,160133.OF,3.967
39,2020-07-31,160133.OF,4.417
40,2020-08-31,160133.OF,4.422
41,2020-09-30,160133.OF,4.237
42,2020-10-30,160133.OF,4.367
43,2020-11-30,160133.OF,4.315
44,2020-12-31,160133.OF,4.638
45,2021-01-29,160133.OF,4.734
46,2021-02-26,160133.OF,4.678
47,2021-03-31,160133.OF,4.46
48,2021-04-30,160133.OF,4.689
49,2021-05-31,160133.OF,4.749
50,2021-06-30,160133.OF,4.754
51,2021-07-30,160133.OF,4.454
52,2021-08-31,160133.OF,4.241
53,2021-09-30,160133.OF,4.144
54,2021-10-29,160133.OF,4.325
55,2021-11-30,160133.OF,4.36
56,2021-12-31,160133.OF,4.249
57,2022-01-28,160133.OF,3.821
58,2022-02-28,160133.OF,3.871
59,2022-03-01,160133.OF,3.886
