,time,thscode,netAssetValue
0,2017-04-28,020011.OF,0.7336
1,2017-05-31,020011.OF,0.7454
2,2017-06-30,020011.OF,0.7859
3,2017-07-31,020011.OF,0.8065
4,2017-08-31,020011.OF,0.8254
5,2017-09-29,020011.OF,0.8274
6,2017-10-31,020011.OF,0.8612
7,2017-11-30,020011.OF,0.8586
8,2017-12-29,020011.OF,0.8628
9,2018-01-31,020011.OF,0.9125
10,2018-02-28,020011.OF,0.8618
11,2018-03-30,020011.OF,0.8361
12,2018-04-27,020011.OF,0.8066
13,2018-05-31,020011.OF,0.8177
14,2018-06-29,020011.OF,0.7643
15,2018-07-31,020011.OF,0.7711
16,2018-08-31,020011.OF,0.7339
17,2018-09-28,020011.OF,0.7573
18,2018-10-31,020011.OF,0.6965
19,2018-11-30,020011.OF,0.7015
20,2018-12-28,020011.OF,0.6684
21,2019-01-31,020011.OF,0.7078
22,2019-02-28,020011.OF,0.8027
23,2019-03-29,020011.OF,0.8438
24,2019-04-30,020011.OF,0.8512
25,2019-05-31,020011.OF,0.797
26,2019-06-28,020011.OF,0.8424
27,2019-07-31,020011.OF,0.853
28,2019-08-30,020011.OF,0.8463
29,2019-09-30,020011.OF,0.8505
30,2019-10-31,020011.OF,0.866
31,2019-11-29,020011.OF,0.8546
32,2019-12-31,020011.OF,0.9116
33,2020-01-23,020011.OF,0.894
34,2020-02-28,020011.OF,0.8796
35,2020-03-31,020011.OF,0.8251
36,2020-04-30,020011.OF,0.8729
37,2020-05-29,020011.OF,0.8672
38,2020-06-30,020011.OF,0.9367
39,2020-07-31,020011.OF,1.0821
40,2020-08-31,020011.OF,1.1163
41,2020-09-30,020011.OF,1.07
42,2020-10-30,020011.OF,1.095
43,2020-11-30,020011.OF,1.154
44,2020-12-31,020011.OF,1.2162
45,2021-01-29,020011.OF,1.0842
46,2021-02-26,020011.OF,1.0807
47,2021-03-31,020011.OF,1.0285
48,2021-04-30,020011.OF,1.0467
49,2021-05-31,020011.OF,1.0869
50,2021-06-30,020011.OF,1.0723
51,2021-07-30,020011.OF,1.003
52,2021-08-31,020011.OF,1.0051
53,2021-09-30,020011.OF,1.0193
54,2021-10-29,020011.OF,1.0277
55,2021-11-30,020011.OF,1.0146
56,2021-12-31,020011.OF,1.0439
57,2022-01-28,020011.OF,0.9693
58,2022-02-28,020011.OF,0.9725
59,2022-03-01,020011.OF,0.9801
