,time,thscode,netAssetValue
0,2017-04-28,501011.OF,1.0433
1,2017-05-31,501011.OF,1.0278
2,2017-06-30,501011.OF,1.0754
3,2017-07-31,501011.OF,1.0163
4,2017-08-31,501011.OF,1.021
5,2017-09-29,501011.OF,1.0184
6,2017-10-31,501011.OF,1.0686
7,2017-11-30,501011.OF,1.0012
8,2017-12-29,501011.OF,1.0102
9,2018-01-31,501011.OF,1.0099
10,2018-02-28,501011.OF,0.9653
11,2018-03-30,501011.OF,1.0434
12,2018-04-27,501011.OF,1.043
13,2018-05-31,501011.OF,1.1315
14,2018-06-29,501011.OF,1.0159
15,2018-07-31,501011.OF,0.9825
16,2018-08-31,501011.OF,0.8932
17,2018-09-28,501011.OF,0.8838
18,2018-10-31,501011.OF,0.7705
19,2018-11-30,501011.OF,0.7872
20,2018-12-28,501011.OF,0.7393
21,2019-01-31,501011.OF,0.7075
22,2019-02-28,501011.OF,0.8239
23,2019-03-29,501011.OF,0.8864
24,2019-04-30,501011.OF,0.8913
25,2019-05-31,501011.OF,0.803
26,2019-06-28,501011.OF,0.8092
27,2019-07-31,501011.OF,0.773
28,2019-08-30,501011.OF,0.7751
29,2019-09-30,501011.OF,0.7593
30,2019-10-31,501011.OF,0.7841
31,2019-11-29,501011.OF,0.7592
32,2019-12-31,501011.OF,0.7818
33,2020-01-23,501011.OF,0.8203
34,2020-02-28,501011.OF,0.7868
35,2020-03-31,501011.OF,0.7675
36,2020-04-30,501011.OF,0.807
37,2020-05-29,501011.OF,0.8131
38,2020-06-30,501011.OF,0.91
39,2020-07-31,501011.OF,1.0258
40,2020-08-31,501011.OF,1.0414
41,2020-09-30,501011.OF,0.9665
42,2020-10-30,501011.OF,0.9602
43,2020-11-30,501011.OF,0.9351
44,2020-12-31,501011.OF,0.9447
45,2021-01-29,501011.OF,0.9324
46,2021-02-26,501011.OF,0.9509
47,2021-03-31,501011.OF,0.9533
48,2021-04-30,501011.OF,1.0198
49,2021-05-31,501011.OF,1.1152
50,2021-06-30,501011.OF,1.175
51,2021-07-30,501011.OF,1.0802
52,2021-08-31,501011.OF,1.0567
53,2021-09-30,501011.OF,1.0585
54,2021-10-29,501011.OF,1.0484
55,2021-11-30,501011.OF,1.1022
56,2021-12-31,501011.OF,1.3184
57,2022-01-28,501011.OF,1.1305
58,2022-02-28,501011.OF,1.1878
59,2022-03-01,501011.OF,1.1832
