,time,thscode,netAssetValue
0,2017-04-28,000656.OF,1.113
1,2017-05-31,000656.OF,1.102
2,2017-06-30,000656.OF,1.151
3,2017-07-31,000656.OF,1.173
4,2017-08-31,000656.OF,1.208
5,2017-09-29,000656.OF,1.206
6,2017-10-31,000656.OF,1.247
7,2017-11-30,000656.OF,1.236
8,2017-12-29,000656.OF,1.243
9,2018-01-31,000656.OF,1.301
10,2018-02-28,000656.OF,1.253
11,2018-03-30,000656.OF,1.217
12,2018-04-27,000656.OF,1.171
13,2018-05-31,000656.OF,1.178
14,2018-06-29,000656.OF,1.098
15,2018-07-31,000656.OF,1.108
16,2018-08-31,000656.OF,1.113
17,2018-09-28,000656.OF,1.151
18,2018-10-31,000656.OF,1.056
19,2018-11-30,000656.OF,1.038
20,2018-12-28,000656.OF,0.987
21,2019-01-31,000656.OF,1.056
22,2019-02-28,000656.OF,1.213
23,2019-03-29,000656.OF,1.303
24,2019-04-30,000656.OF,1.321
25,2019-05-31,000656.OF,1.23
26,2019-06-28,000656.OF,1.301
27,2019-07-31,000656.OF,1.313
28,2019-08-30,000656.OF,1.304
29,2019-09-30,000656.OF,1.309
30,2019-10-31,000656.OF,1.336
31,2019-11-29,000656.OF,1.33
32,2019-12-31,000656.OF,1.425
33,2020-01-23,000656.OF,1.405
34,2020-02-28,000656.OF,1.281
35,2020-03-31,000656.OF,1.206
36,2020-04-30,000656.OF,1.285
37,2020-05-29,000656.OF,1.285
38,2020-06-30,000656.OF,1.399
39,2020-07-31,000656.OF,1.622
40,2020-08-31,000656.OF,1.689
41,2020-09-30,000656.OF,1.634
42,2020-10-30,000656.OF,1.68
43,2020-11-30,000656.OF,1.786
44,2020-12-31,000656.OF,1.885
45,2021-01-29,000656.OF,1.938
46,2021-02-26,000656.OF,1.942
47,2021-03-31,000656.OF,1.859
48,2021-04-30,000656.OF,1.907
49,2021-05-31,000656.OF,1.991
50,2021-06-30,000656.OF,1.983
51,2021-07-30,000656.OF,1.865
52,2021-08-31,000656.OF,1.884
53,2021-09-30,000656.OF,1.918
54,2021-10-29,000656.OF,1.937
55,2021-11-30,000656.OF,1.917
56,2021-12-31,000656.OF,1.969
57,2022-01-28,000656.OF,1.832
58,2022-02-28,000656.OF,1.84
59,2022-03-01,000656.OF,1.854
