,time,thscode,netAssetValue
0,2017-08-31,004408.OF,1.305
1,2017-09-29,004408.OF,1.354
2,2017-10-31,004408.OF,1.44
3,2017-11-30,004408.OF,1.402
4,2017-12-29,004408.OF,1.434
5,2018-01-31,004408.OF,1.479
6,2018-02-28,004408.OF,1.42
7,2018-03-30,004408.OF,1.393
8,2018-04-27,004408.OF,1.313
9,2018-05-31,004408.OF,1.343
10,2018-06-29,004408.OF,1.243
11,2018-07-31,004408.OF,1.2141
12,2018-08-31,004408.OF,1.1273
13,2018-09-28,004408.OF,1.1307
14,2018-10-31,004408.OF,1.0091
15,2018-11-30,004408.OF,1.0415
16,2018-12-28,004408.OF,0.9756
17,2019-01-31,004408.OF,1.038
18,2019-02-28,004408.OF,1.234
19,2019-03-29,004408.OF,1.3422
20,2019-04-30,004408.OF,1.3404
21,2019-05-31,004408.OF,1.2467
22,2019-06-28,004408.OF,1.3038
23,2019-07-31,004408.OF,1.3453
24,2019-08-30,004408.OF,1.3591
25,2019-09-30,004408.OF,1.366
26,2019-10-31,004408.OF,1.4183
27,2019-11-29,004408.OF,1.4099
28,2019-12-31,004408.OF,1.5227
29,2020-01-23,004408.OF,1.5287
30,2020-02-28,004408.OF,1.5656
31,2020-03-31,004408.OF,1.4392
32,2020-04-30,004408.OF,1.5475
33,2020-05-29,004408.OF,1.5544
34,2020-06-30,004408.OF,1.7511
35,2020-07-31,004408.OF,1.9854
36,2020-08-31,004408.OF,2.0294
37,2020-09-30,004408.OF,1.9323
38,2020-10-30,004408.OF,2.0347
39,2020-11-30,004408.OF,2.1051
40,2020-12-31,004408.OF,2.2803
41,2021-01-29,004408.OF,2.3777
42,2021-02-26,004408.OF,2.3177
43,2021-03-31,004408.OF,2.1876
44,2021-04-30,004408.OF,2.3266
45,2021-05-31,004408.OF,2.4064
46,2021-06-30,004408.OF,2.4314
47,2021-07-30,004408.OF,2.2797
48,2021-08-31,004408.OF,2.2213
49,2021-09-30,004408.OF,2.2566
50,2021-10-29,004408.OF,2.3036
51,2021-11-30,004408.OF,2.3126
52,2021-12-31,004408.OF,2.3263
53,2022-01-28,004408.OF,2.125
54,2022-02-28,004408.OF,2.0978
55,2022-03-01,004408.OF,2.1081
