,time,thscode,netAssetValue
0,2017-04-28,690008.OF,0.692
1,2017-05-31,690008.OF,0.668
2,2017-06-30,690008.OF,0.714
3,2017-07-31,690008.OF,0.848
4,2017-08-31,690008.OF,0.881
5,2017-09-29,690008.OF,0.874
6,2017-10-31,690008.OF,0.839
7,2017-11-30,690008.OF,0.814
8,2017-12-29,690008.OF,0.827
9,2018-01-31,690008.OF,0.86
10,2018-02-28,690008.OF,0.827
11,2018-03-30,690008.OF,0.786
12,2018-04-27,690008.OF,0.754
13,2018-05-31,690008.OF,0.742
14,2018-06-29,690008.OF,0.699
15,2018-07-31,690008.OF,0.689
16,2018-08-31,690008.OF,0.643
17,2018-09-28,690008.OF,0.673
18,2018-10-31,690008.OF,0.619
19,2018-11-30,690008.OF,0.596
20,2018-12-28,690008.OF,0.564
21,2019-01-31,690008.OF,0.575
22,2019-02-28,690008.OF,0.662
23,2019-03-29,690008.OF,0.666
24,2019-04-30,690008.OF,0.647
25,2019-05-31,690008.OF,0.629
26,2019-06-28,690008.OF,0.643
27,2019-07-31,690008.OF,0.622
28,2019-08-30,690008.OF,0.614
29,2019-09-30,690008.OF,0.604
30,2019-10-31,690008.OF,0.582
31,2019-11-29,690008.OF,0.586
32,2019-12-31,690008.OF,0.648
33,2020-01-23,690008.OF,0.629
34,2020-02-28,690008.OF,0.595
35,2020-03-31,690008.OF,0.547
36,2020-04-30,690008.OF,0.551
37,2020-05-29,690008.OF,0.553
38,2020-06-30,690008.OF,0.567
39,2020-07-31,690008.OF,0.657
40,2020-08-31,690008.OF,0.655
41,2020-09-30,690008.OF,0.609
42,2020-10-30,690008.OF,0.621
43,2020-11-30,690008.OF,0.744
44,2020-12-31,690008.OF,0.759
45,2021-01-29,690008.OF,0.793
46,2021-02-26,690008.OF,0.866
47,2021-03-31,690008.OF,0.795
48,2021-04-30,690008.OF,0.85
49,2021-05-31,690008.OF,0.912
50,2021-06-30,690008.OF,0.882
51,2021-07-30,690008.OF,1.054
52,2021-08-31,690008.OF,1.228
53,2021-09-30,690008.OF,1.107
54,2021-10-29,690008.OF,1.069
55,2021-11-30,690008.OF,1.072
56,2021-12-31,690008.OF,1.036
57,2022-01-28,690008.OF,0.96
58,2022-02-28,690008.OF,1.102
59,2022-03-01,690008.OF,1.092
