,time,thscode,netAssetValue
0,2017-04-28,163109.OF,0.5779
1,2017-05-31,163109.OF,0.5595
2,2017-06-30,163109.OF,0.5963
3,2017-07-31,163109.OF,0.5948
4,2017-08-31,163109.OF,0.6117
5,2017-09-29,163109.OF,0.6255
6,2017-10-31,163109.OF,0.6377
7,2017-11-30,163109.OF,0.6134
8,2017-12-29,163109.OF,0.6171
9,2018-01-31,163109.OF,0.6001
10,2018-02-28,163109.OF,0.5832
11,2018-03-30,163109.OF,0.5841
12,2018-04-27,163109.OF,0.5547
13,2018-05-31,163109.OF,0.5538
14,2018-06-29,163109.OF,0.5094
15,2018-07-31,163109.OF,0.5001
16,2018-08-31,163109.OF,0.4636
17,2018-09-28,163109.OF,0.4604
18,2018-10-31,163109.OF,0.4126
19,2018-11-30,163109.OF,0.4247
20,2018-12-28,163109.OF,0.4027
21,2019-01-31,163109.OF,0.415
22,2019-02-28,163109.OF,0.4946
23,2019-03-29,163109.OF,0.5385
24,2019-04-30,163109.OF,0.5267
25,2019-05-31,163109.OF,0.49
26,2019-06-28,163109.OF,0.5042
27,2019-07-31,163109.OF,0.5124
28,2019-08-30,163109.OF,0.5153
29,2019-09-30,163109.OF,0.519
30,2019-10-31,163109.OF,0.5285
31,2019-11-29,163109.OF,0.5254
32,2019-12-31,163109.OF,0.568
33,2020-01-23,163109.OF,0.5623
34,2020-02-28,163109.OF,0.5766
35,2020-03-31,163109.OF,0.5264
36,2020-04-30,163109.OF,0.5635
37,2020-05-29,163109.OF,0.5655
38,2020-06-30,163109.OF,0.6285
39,2020-07-31,163109.OF,0.7096
40,2020-08-31,163109.OF,0.7159
41,2020-09-30,163109.OF,0.6743
42,2020-10-30,163109.OF,0.6903
43,2020-11-30,163109.OF,0.7114
44,2020-12-31,163109.OF,0.7512
45,2021-01-29,163109.OF,0.7621
46,2021-02-26,163109.OF,0.7466
47,2021-03-31,163109.OF,0.7124
48,2021-04-30,163109.OF,0.7456
49,2021-05-31,163109.OF,0.7742
50,2021-06-30,163109.OF,0.7861
51,2021-07-30,163109.OF,0.7562
52,2021-08-31,163109.OF,0.7526
53,2021-09-30,163109.OF,0.7526
54,2021-10-29,163109.OF,0.7595
55,2021-11-30,163109.OF,0.7767
56,2021-12-31,163109.OF,0.781
57,2022-01-28,163109.OF,0.7053
58,2022-02-28,163109.OF,0.7105
59,2022-03-01,163109.OF,0.7121
