,time,thscode,netAssetValue
0,2017-04-28,001551.OF,0.7361
1,2017-05-31,001551.OF,0.7169
2,2017-06-30,001551.OF,0.7517
3,2017-07-31,001551.OF,0.718
4,2017-08-31,001551.OF,0.7354
5,2017-09-29,001551.OF,0.7483
6,2017-10-31,001551.OF,0.7878
7,2017-11-30,001551.OF,0.761
8,2017-12-29,001551.OF,0.7738
9,2018-01-31,001551.OF,0.7624
10,2018-02-28,001551.OF,0.7438
11,2018-03-30,001551.OF,0.8203
12,2018-04-27,001551.OF,0.8314
13,2018-05-31,001551.OF,0.8691
14,2018-06-29,001551.OF,0.7983
15,2018-07-31,001551.OF,0.7517
16,2018-08-31,001551.OF,0.694
17,2018-09-28,001551.OF,0.6862
18,2018-10-31,001551.OF,0.6165
19,2018-11-30,001551.OF,0.6448
20,2018-12-28,001551.OF,0.5878
21,2019-01-31,001551.OF,0.5639
22,2019-02-28,001551.OF,0.6748
23,2019-03-29,001551.OF,0.7474
24,2019-04-30,001551.OF,0.7272
25,2019-05-31,001551.OF,0.6754
26,2019-06-28,001551.OF,0.6905
27,2019-07-31,001551.OF,0.7064
28,2019-08-30,001551.OF,0.7455
29,2019-09-30,001551.OF,0.7467
30,2019-10-31,001551.OF,0.7683
31,2019-11-29,001551.OF,0.7542
32,2019-12-31,001551.OF,0.7826
33,2020-01-23,001551.OF,0.8386
34,2020-02-28,001551.OF,0.8588
35,2020-03-31,001551.OF,0.8556
36,2020-04-30,001551.OF,0.916
37,2020-05-29,001551.OF,0.9594
38,2020-06-30,001551.OF,1.1046
39,2020-07-31,001551.OF,1.2503
40,2020-08-31,001551.OF,1.2425
41,2020-09-30,001551.OF,1.1407
42,2020-10-30,001551.OF,1.1469
43,2020-11-30,001551.OF,1.0855
44,2020-12-31,001551.OF,1.1141
45,2021-01-29,001551.OF,1.1351
46,2021-02-26,001551.OF,1.1278
47,2021-03-31,001551.OF,1.106
48,2021-04-30,001551.OF,1.2027
49,2021-05-31,001551.OF,1.2361
50,2021-06-30,001551.OF,1.2221
51,2021-07-30,001551.OF,1.1134
52,2021-08-31,001551.OF,1.0378
53,2021-09-30,001551.OF,1.0709
54,2021-10-29,001551.OF,1.0389
55,2021-11-30,001551.OF,1.0844
56,2021-12-31,001551.OF,1.0979
57,2022-01-28,001551.OF,0.9533
58,2022-02-28,001551.OF,0.9824
59,2022-03-01,001551.OF,0.9786
