,time,thscode,netAssetValue
0,2017-04-28,410010.OF,1.291
1,2017-05-31,410010.OF,1.255
2,2017-06-30,410010.OF,1.335
3,2017-07-31,410010.OF,1.35
4,2017-08-31,410010.OF,1.388
5,2017-09-29,410010.OF,1.419
6,2017-10-31,410010.OF,1.459
7,2017-11-30,410010.OF,1.408
8,2017-12-29,410010.OF,1.404
9,2018-01-31,410010.OF,1.378
10,2018-02-28,410010.OF,1.383
11,2018-03-30,410010.OF,1.375
12,2018-04-27,410010.OF,1.297
13,2018-05-31,410010.OF,1.315
14,2018-06-29,410010.OF,1.2058
15,2018-07-31,410010.OF,1.1802
16,2018-08-31,410010.OF,1.0888
17,2018-09-28,410010.OF,1.0684
18,2018-10-31,410010.OF,0.936
19,2018-11-30,410010.OF,0.9615
20,2018-12-28,410010.OF,0.9005
21,2019-01-31,410010.OF,0.9221
22,2019-02-28,410010.OF,1.0948
23,2019-03-29,410010.OF,1.1679
24,2019-04-30,410010.OF,1.1095
25,2019-05-31,410010.OF,1.018
26,2019-06-28,410010.OF,1.0535
27,2019-07-31,410010.OF,1.0744
28,2019-08-30,410010.OF,1.0883
29,2019-09-30,410010.OF,1.1064
30,2019-10-31,410010.OF,1.1296
31,2019-11-29,410010.OF,1.1192
32,2019-12-31,410010.OF,1.2039
33,2020-01-23,410010.OF,1.274
34,2020-02-28,410010.OF,1.3066
35,2020-03-31,410010.OF,1.18
36,2020-04-30,410010.OF,1.2731
37,2020-05-29,410010.OF,1.2583
38,2020-06-30,410010.OF,1.4223
39,2020-07-31,410010.OF,1.5984
40,2020-08-31,410010.OF,1.6053
41,2020-09-30,410010.OF,1.5249
42,2020-10-30,410010.OF,1.5672
43,2020-11-30,410010.OF,1.5731
44,2020-12-31,410010.OF,1.6443
45,2021-01-29,410010.OF,1.7106
46,2021-02-26,410010.OF,1.6638
47,2021-03-31,410010.OF,1.5315
48,2021-04-30,410010.OF,1.5862
49,2021-05-31,410010.OF,1.6345
50,2021-06-30,410010.OF,1.678
51,2021-07-30,410010.OF,1.6024
52,2021-08-31,410010.OF,1.6047
53,2021-09-30,410010.OF,1.5863
54,2021-10-29,410010.OF,1.6357
55,2021-11-30,410010.OF,1.6367
56,2021-12-31,410010.OF,1.6278
57,2022-01-28,410010.OF,1.4876
58,2022-02-28,410010.OF,1.5316
59,2022-03-01,410010.OF,1.5326
