,time,thscode,netAssetValue
0,2017-04-28,161024.OF,1.012
1,2017-05-31,161024.OF,0.877
2,2017-06-30,161024.OF,0.913
3,2017-07-31,161024.OF,0.888
4,2017-08-31,161024.OF,0.916
5,2017-09-29,161024.OF,0.948
6,2017-10-31,161024.OF,0.903
7,2017-11-30,161024.OF,0.87
8,2017-12-29,161024.OF,0.833
9,2018-01-31,161024.OF,0.783
10,2018-02-28,161024.OF,0.763
11,2018-03-30,161024.OF,0.829
12,2018-04-27,161024.OF,0.822
13,2018-05-31,161024.OF,0.745
14,2018-06-29,161024.OF,0.689
15,2018-07-31,161024.OF,0.714
16,2018-08-31,161024.OF,0.681
17,2018-09-28,161024.OF,0.705
18,2018-10-31,161024.OF,0.99
19,2018-11-30,161024.OF,1.019
20,2018-12-28,161024.OF,0.951
21,2019-01-31,161024.OF,0.98
22,2019-02-28,161024.OF,1.155
23,2019-03-29,161024.OF,1.237
24,2019-04-30,161024.OF,1.156
25,2019-05-31,161024.OF,1.128
26,2019-06-28,161024.OF,1.125
27,2019-07-31,161024.OF,1.181
28,2019-08-30,161024.OF,1.222
29,2019-09-30,161024.OF,1.159
30,2019-10-31,161024.OF,1.119
31,2019-11-29,161024.OF,1.096
32,2019-12-31,161024.OF,1.119
33,2020-01-23,161024.OF,1.16
34,2020-02-28,161024.OF,1.206
35,2020-03-31,161024.OF,1.103
36,2020-04-30,161024.OF,1.192
37,2020-05-29,161024.OF,1.184
38,2020-06-30,161024.OF,1.221
39,2020-07-31,161024.OF,1.07
40,2020-08-31,161024.OF,1.129
41,2020-09-30,161024.OF,1.074
42,2020-10-30,161024.OF,1.028
43,2020-11-30,161024.OF,1.111
44,2020-12-31,161024.OF,1.251
45,2021-01-29,161024.OF,1.167
46,2021-02-26,161024.OF,1.138
47,2021-03-31,161024.OF,1.033
48,2021-04-30,161024.OF,0.987
49,2021-05-31,161024.OF,1.123
50,2021-06-30,161024.OF,1.136
51,2021-07-30,161024.OF,1.19
52,2021-08-31,161024.OF,1.362
53,2021-09-30,161024.OF,1.218
54,2021-10-29,161024.OF,1.279
55,2021-11-30,161024.OF,1.44
56,2021-12-31,161024.OF,1.426
57,2022-01-28,161024.OF,1.182
58,2022-02-28,161024.OF,1.241
59,2022-03-01,161024.OF,1.257
