,time,thscode,netAssetValue
0,2017-04-28,002210.OF,1.155
1,2017-05-31,002210.OF,1.08
2,2017-06-30,002210.OF,1.126
3,2017-07-31,002210.OF,1.1496
4,2017-08-31,002210.OF,1.1824
5,2017-09-29,002210.OF,1.1983
6,2017-10-31,002210.OF,1.1853
7,2017-11-30,002210.OF,1.1431
8,2017-12-29,002210.OF,1.1378
9,2018-01-31,002210.OF,1.1301
10,2018-02-28,002210.OF,1.0909
11,2018-03-30,002210.OF,1.1232
12,2018-04-27,002210.OF,1.0886
13,2018-05-31,002210.OF,1.0753
14,2018-06-29,002210.OF,0.9809
15,2018-07-31,002210.OF,1.0061
16,2018-08-31,002210.OF,0.945
17,2018-09-28,002210.OF,0.9431
18,2018-10-31,002210.OF,0.8648
19,2018-11-30,002210.OF,0.9238
20,2018-12-28,002210.OF,0.879
21,2019-01-31,002210.OF,0.8743
22,2019-02-28,002210.OF,1.0376
23,2019-03-29,002210.OF,1.1438
24,2019-04-30,002210.OF,1.1367
25,2019-05-31,002210.OF,1.0772
26,2019-06-28,002210.OF,1.0808
27,2019-07-31,002210.OF,1.0598
28,2019-08-30,002210.OF,1.0559
29,2019-09-30,002210.OF,1.0732
30,2019-10-31,002210.OF,1.0735
31,2019-11-29,002210.OF,1.0687
32,2019-12-31,002210.OF,1.1602
33,2020-01-23,002210.OF,1.2
34,2020-02-28,002210.OF,1.224
35,2020-03-31,002210.OF,1.1549
36,2020-04-30,002210.OF,1.2305
37,2020-05-29,002210.OF,1.2547
38,2020-06-30,002210.OF,1.3835
39,2020-07-31,002210.OF,1.5887
40,2020-08-31,002210.OF,1.6636
41,2020-09-30,002210.OF,1.5631
42,2020-10-30,002210.OF,1.5598
43,2020-11-30,002210.OF,1.5814
44,2020-12-31,002210.OF,1.6258
45,2021-01-29,002210.OF,1.6172
46,2021-02-26,002210.OF,1.6362
47,2021-03-31,002210.OF,1.6433
48,2021-04-30,002210.OF,1.7165
49,2021-05-31,002210.OF,1.8218
50,2021-06-30,002210.OF,1.8979
51,2021-07-30,002210.OF,1.8944
52,2021-08-31,002210.OF,2.0294
53,2021-09-30,002210.OF,1.9798
54,2021-10-29,002210.OF,1.959
55,2021-11-30,002210.OF,2.1109
56,2021-12-31,002210.OF,2.1036
57,2022-01-28,002210.OF,1.8616
58,2022-02-28,002210.OF,1.9329
59,2022-03-01,002210.OF,1.9352
