,time,thscode,netAssetValue
0,2017-04-28,167703.OF,0.9811
1,2017-05-31,167703.OF,0.9864
2,2017-06-30,167703.OF,1.0521
3,2017-07-31,167703.OF,1.1146
4,2017-08-31,167703.OF,1.1312
5,2017-09-29,167703.OF,1.1347
6,2017-10-31,167703.OF,1.1547
7,2017-11-30,167703.OF,1.1591
8,2017-12-29,167703.OF,1.1674
9,2018-01-31,167703.OF,1.2461
10,2018-02-28,167703.OF,1.2059
11,2018-03-30,167703.OF,1.1703
12,2018-04-27,167703.OF,1.1486
13,2018-05-31,167703.OF,1.1623
14,2018-06-29,167703.OF,1.0894
15,2018-07-31,167703.OF,1.1215
16,2018-08-31,167703.OF,1.0618
17,2018-09-28,167703.OF,1.0731
18,2018-10-31,167703.OF,0.9883
19,2018-11-30,167703.OF,0.9754
20,2018-12-28,167703.OF,0.9356
21,2019-01-31,167703.OF,0.9717
22,2019-02-28,167703.OF,1.1062
23,2019-03-29,167703.OF,1.1826
24,2019-04-30,167703.OF,1.175
25,2019-05-31,167703.OF,1.1143
26,2019-06-28,167703.OF,1.1669
27,2019-07-31,167703.OF,1.2198
28,2019-08-30,167703.OF,1.2137
29,2019-09-30,167703.OF,1.239
30,2019-10-31,167703.OF,1.2589
31,2019-11-29,167703.OF,1.2561
32,2019-12-31,167703.OF,1.3535
33,2020-01-23,167703.OF,1.3819
34,2020-02-28,167703.OF,1.4211
35,2020-03-31,167703.OF,1.3462
36,2020-04-30,167703.OF,1.4142
37,2020-05-29,167703.OF,1.4193
38,2020-06-30,167703.OF,1.4792
39,2020-07-31,167703.OF,1.6772
40,2020-08-31,167703.OF,1.7539
41,2020-09-30,167703.OF,1.5861
42,2020-10-30,167703.OF,1.5828
43,2020-11-30,167703.OF,1.655
44,2020-12-31,167703.OF,1.5987
45,2021-01-29,167703.OF,1.5866
46,2021-02-26,167703.OF,1.5661
47,2021-03-31,167703.OF,1.4988
48,2021-04-30,167703.OF,1.5699
49,2021-05-31,167703.OF,1.6546
50,2021-06-30,167703.OF,1.6517
51,2021-07-30,167703.OF,1.5551
52,2021-08-31,167703.OF,1.5963
53,2021-09-30,167703.OF,1.5497
54,2021-10-29,167703.OF,1.5787
55,2021-11-30,167703.OF,1.5576
56,2021-12-31,167703.OF,1.4573
57,2022-01-28,167703.OF,1.3274
58,2022-02-28,167703.OF,1.3483
59,2022-03-01,167703.OF,1.3561
