,time,thscode,netAssetValue
0,2017-04-28,004189.OF,0.999
1,2017-05-31,004189.OF,0.997
2,2017-06-30,004189.OF,1.001
3,2017-07-31,004189.OF,0.999
4,2017-08-31,004189.OF,1.01
5,2017-09-29,004189.OF,1.041
6,2017-10-31,004189.OF,1.073
7,2017-11-30,004189.OF,1.055
8,2017-12-29,004189.OF,1.045
9,2018-01-31,004189.OF,1.035
10,2018-02-28,004189.OF,0.988
11,2018-03-30,004189.OF,0.984
12,2018-04-27,004189.OF,0.923
13,2018-05-31,004189.OF,0.919
14,2018-06-29,004189.OF,0.846
15,2018-07-31,004189.OF,0.806
16,2018-08-31,004189.OF,0.734
17,2018-09-28,004189.OF,0.721
18,2018-10-31,004189.OF,0.64
19,2018-11-30,004189.OF,0.644
20,2018-12-28,004189.OF,0.616
21,2019-01-31,004189.OF,0.629
22,2019-02-28,004189.OF,0.725
23,2019-03-29,004189.OF,0.785
24,2019-04-30,004189.OF,0.754
25,2019-05-31,004189.OF,0.706
26,2019-06-28,004189.OF,0.709
27,2019-07-31,004189.OF,1.0122
28,2019-08-30,004189.OF,1.0363
29,2019-09-30,004189.OF,1.0217
30,2019-10-31,004189.OF,1.0493
31,2019-11-29,004189.OF,1.0242
32,2019-12-31,004189.OF,1.0686
33,2020-01-23,004189.OF,1.0617
34,2020-02-28,004189.OF,1.0524
35,2020-03-31,004189.OF,1.0618
36,2020-04-30,004189.OF,1.1419
37,2020-05-29,004189.OF,1.2254
38,2020-06-30,004189.OF,1.3431
39,2020-07-31,004189.OF,1.5717
40,2020-08-31,004189.OF,1.7191
41,2020-09-30,004189.OF,1.5773
42,2020-10-30,004189.OF,1.6206
43,2020-11-30,004189.OF,1.6584
44,2020-12-31,004189.OF,1.9241
45,2021-01-29,004189.OF,1.9664
46,2021-02-26,004189.OF,1.8648
47,2021-03-31,004189.OF,1.7857
48,2021-04-30,004189.OF,1.9273
49,2021-05-31,004189.OF,1.971
50,2021-06-30,004189.OF,1.9405
51,2021-07-30,004189.OF,1.6261
52,2021-08-31,004189.OF,1.5788
53,2021-09-30,004189.OF,1.62
54,2021-10-29,004189.OF,1.6872
55,2021-11-30,004189.OF,1.6875
56,2021-12-31,004189.OF,1.6756
57,2022-01-28,004189.OF,1.5039
58,2022-02-28,004189.OF,1.4663
59,2022-03-01,004189.OF,1.486
