,time,thscode,netAssetValue
0,2017-04-28,502056.OF,1.0036
1,2017-05-31,502056.OF,0.9617
2,2017-06-30,502056.OF,0.9978
3,2017-07-31,502056.OF,0.9333
4,2017-08-31,502056.OF,0.9705
5,2017-09-29,502056.OF,0.9843
6,2017-10-31,502056.OF,1.0194
7,2017-11-30,502056.OF,0.9611
8,2017-12-29,502056.OF,0.9631
9,2018-01-31,502056.OF,0.9741
10,2018-02-28,502056.OF,0.964
11,2018-03-30,502056.OF,1.1007
12,2018-04-27,502056.OF,1.1438
13,2018-05-31,502056.OF,1.1739
14,2018-06-29,502056.OF,1.0834
15,2018-07-31,502056.OF,1.0467
16,2018-08-31,502056.OF,0.9859
17,2018-09-28,502056.OF,0.9992
18,2018-10-31,502056.OF,0.8835
19,2018-11-30,502056.OF,0.9345
20,2018-12-28,502056.OF,0.8347
21,2019-01-31,502056.OF,0.8196
22,2019-02-28,502056.OF,0.9853
23,2019-03-29,502056.OF,1.0759
24,2019-04-30,502056.OF,1.0547
25,2019-05-31,502056.OF,1.0015
26,2019-06-28,502056.OF,1.0402
27,2019-07-31,502056.OF,1.051
28,2019-08-30,502056.OF,1.1413
29,2019-09-30,502056.OF,1.1729
30,2019-10-31,502056.OF,1.2382
31,2019-11-29,502056.OF,1.208
32,2019-12-31,502056.OF,1.2005
33,2020-01-23,502056.OF,1.2689
34,2020-02-28,502056.OF,1.3978
35,2020-03-31,502056.OF,0.9156
36,2020-04-30,502056.OF,1.0015
37,2020-05-29,502056.OF,1.0708
38,2020-06-30,502056.OF,1.2614
39,2020-07-31,502056.OF,1.3749
40,2020-08-31,502056.OF,1.3714
41,2020-09-30,502056.OF,1.2947
42,2020-10-30,502056.OF,1.3836
43,2020-11-30,502056.OF,1.2511
44,2020-12-31,502056.OF,1.4435
45,2021-01-29,502056.OF,1.5756
46,2021-02-26,502056.OF,1.4766
47,2021-03-31,502056.OF,1.4116
48,2021-04-30,502056.OF,1.5871
49,2021-05-31,502056.OF,1.6671
50,2021-06-30,502056.OF,1.7368
51,2021-07-30,502056.OF,1.5193
52,2021-08-31,502056.OF,1.3184
53,2021-09-30,502056.OF,1.4459
54,2021-10-29,502056.OF,1.3626
55,2021-11-30,502056.OF,1.342
56,2021-12-31,502056.OF,1.2777
57,2022-01-28,502056.OF,1.0628
58,2022-02-28,502056.OF,1.1039
59,2022-03-01,502056.OF,1.1063
