,time,thscode,netAssetValue
0,2017-04-28,000803.OF,1.297
1,2017-05-31,000803.OF,1.252
2,2017-06-30,000803.OF,1.318
3,2017-07-31,000803.OF,1.368
4,2017-08-31,000803.OF,1.434
5,2017-09-29,000803.OF,1.439
6,2017-10-31,000803.OF,1.448
7,2017-11-30,000803.OF,1.42
8,2017-12-29,000803.OF,1.432
9,2018-01-31,000803.OF,1.479
10,2018-02-28,000803.OF,1.406
11,2018-03-30,000803.OF,1.386
12,2018-04-27,000803.OF,1.324
13,2018-05-31,000803.OF,1.294
14,2018-06-29,000803.OF,1.236
15,2018-07-31,000803.OF,1.264
16,2018-08-31,000803.OF,1.239
17,2018-09-28,000803.OF,1.221
18,2018-10-31,000803.OF,1.104
19,2018-11-30,000803.OF,1.128
20,2018-12-28,000803.OF,1.072
21,2019-01-31,000803.OF,1.117
22,2019-02-28,000803.OF,1.294
23,2019-03-29,000803.OF,1.386
24,2019-04-30,000803.OF,1.309
25,2019-05-31,000803.OF,1.236
26,2019-06-28,000803.OF,1.298
27,2019-07-31,000803.OF,1.339
28,2019-08-30,000803.OF,1.373
29,2019-09-30,000803.OF,1.426
30,2019-10-31,000803.OF,1.449
31,2019-11-29,000803.OF,1.497
32,2019-12-31,000803.OF,1.658
33,2020-01-23,000803.OF,1.755
34,2020-02-28,000803.OF,1.883
35,2020-03-31,000803.OF,1.678
36,2020-04-30,000803.OF,1.814
37,2020-05-29,000803.OF,1.816
38,2020-06-30,000803.OF,2.126
39,2020-07-31,000803.OF,2.373
40,2020-08-31,000803.OF,2.507
41,2020-09-30,000803.OF,2.469
42,2020-10-30,000803.OF,2.657
43,2020-11-30,000803.OF,2.869
44,2020-12-31,000803.OF,3.131
45,2021-01-29,000803.OF,3.195
46,2021-02-26,000803.OF,3.152
47,2021-03-31,000803.OF,2.95
48,2021-04-30,000803.OF,3.23
49,2021-05-31,000803.OF,3.378
50,2021-06-30,000803.OF,3.309
51,2021-07-30,000803.OF,3.177
52,2021-08-31,000803.OF,3.463
53,2021-09-30,000803.OF,3.518
54,2021-10-29,000803.OF,3.46
55,2021-11-30,000803.OF,3.458
56,2021-12-31,000803.OF,3.77
57,2022-01-28,000803.OF,3.592
58,2022-02-28,000803.OF,3.443
59,2022-03-01,000803.OF,3.473
