,time,thscode,netAssetValue
0,2017-04-28,001188.OF,0.803
1,2017-05-31,001188.OF,0.783
2,2017-06-30,001188.OF,0.824
3,2017-07-31,001188.OF,0.823
4,2017-08-31,001188.OF,0.836
5,2017-09-29,001188.OF,0.843
6,2017-10-31,001188.OF,0.883
7,2017-11-30,001188.OF,0.869
8,2017-12-29,001188.OF,0.908
9,2018-01-31,001188.OF,0.911
10,2018-02-28,001188.OF,0.865
11,2018-03-30,001188.OF,0.848
12,2018-04-27,001188.OF,0.835
13,2018-05-31,001188.OF,0.855
14,2018-06-29,001188.OF,0.806
15,2018-07-31,001188.OF,0.812
16,2018-08-31,001188.OF,0.754
17,2018-09-28,001188.OF,0.784
18,2018-10-31,001188.OF,0.73
19,2018-11-30,001188.OF,0.736
20,2018-12-28,001188.OF,0.727
21,2019-01-31,001188.OF,0.75
22,2019-02-28,001188.OF,0.834
23,2019-03-29,001188.OF,0.909
24,2019-04-30,001188.OF,0.913
25,2019-05-31,001188.OF,0.853
26,2019-06-28,001188.OF,0.894
27,2019-07-31,001188.OF,0.915
28,2019-08-30,001188.OF,0.932
29,2019-09-30,001188.OF,0.925
30,2019-10-31,001188.OF,0.93
31,2019-11-29,001188.OF,0.916
32,2019-12-31,001188.OF,0.997
33,2020-01-23,001188.OF,0.973
34,2020-02-28,001188.OF,0.972
35,2020-03-31,001188.OF,0.913
36,2020-04-30,001188.OF,0.97
37,2020-05-29,001188.OF,0.977
38,2020-06-30,001188.OF,1.051
39,2020-07-31,001188.OF,1.208
40,2020-08-31,001188.OF,1.217
41,2020-09-30,001188.OF,1.176
42,2020-10-30,001188.OF,1.203
43,2020-11-30,001188.OF,1.187
44,2020-12-31,001188.OF,1.373
45,2021-01-29,001188.OF,1.434
46,2021-02-26,001188.OF,1.335
47,2021-03-31,001188.OF,1.278
48,2021-04-30,001188.OF,1.382
49,2021-05-31,001188.OF,1.435
50,2021-06-30,001188.OF,1.541
51,2021-07-30,001188.OF,1.5
52,2021-08-31,001188.OF,1.441
53,2021-09-30,001188.OF,1.407
54,2021-10-29,001188.OF,1.492
55,2021-11-30,001188.OF,1.607
56,2021-12-31,001188.OF,1.553
57,2022-01-28,001188.OF,1.378
58,2022-02-28,001188.OF,1.383
59,2022-03-01,001188.OF,1.39
