,time,thscode,netAssetValue
0,2017-04-28,159915.OF,1.7747
1,2017-05-31,159915.OF,1.6982
2,2017-06-30,159915.OF,1.7514
3,2017-07-31,159915.OF,1.6729
4,2017-08-31,159915.OF,1.781
5,2017-09-29,159915.OF,1.7975
6,2017-10-31,159915.OF,1.7989
7,2017-11-30,159915.OF,1.6992
8,2017-12-29,159915.OF,1.6808
9,2018-01-31,159915.OF,1.6367
10,2018-02-28,159915.OF,1.6552
11,2018-03-30,159915.OF,1.7916
12,2018-04-27,159915.OF,1.704
13,2018-05-31,159915.OF,1.65
14,2018-06-29,159915.OF,1.524
15,2018-07-31,159915.OF,1.4897
16,2018-08-31,159915.OF,1.3693
17,2018-09-28,159915.OF,1.3451
18,2018-10-31,159915.OF,1.2181
19,2018-11-30,159915.OF,1.2706
20,2018-12-28,159915.OF,1.1993
21,2019-01-31,159915.OF,1.1785
22,2019-02-28,159915.OF,1.4707
23,2019-03-29,159915.OF,1.6205
24,2019-04-30,159915.OF,1.5544
25,2019-05-31,159915.OF,1.4242
26,2019-06-28,159915.OF,1.4555
27,2019-07-31,159915.OF,1.513
28,2019-08-30,159915.OF,1.5514
29,2019-09-30,159915.OF,1.5669
30,2019-10-31,159915.OF,1.6097
31,2019-11-29,159915.OF,1.6029
32,2019-12-31,159915.OF,1.7304
33,2020-01-23,159915.OF,1.8541
34,2020-02-28,159915.OF,1.9921
35,2020-03-31,159915.OF,1.8002
36,2020-04-30,159915.OF,1.9907
37,2020-05-29,159915.OF,2.01
38,2020-06-30,159915.OF,2.3567
39,2020-07-31,159915.OF,2.701
40,2020-08-31,159915.OF,2.6364
41,2020-09-30,159915.OF,2.4874
42,2020-10-30,159915.OF,2.5647
43,2020-11-30,159915.OF,2.5416
44,2020-12-31,159915.OF,2.8662
45,2021-01-29,159915.OF,3.0216
46,2021-02-26,159915.OF,2.8136
47,2021-03-31,159915.OF,2.6632
48,2021-04-30,159915.OF,2.9885
49,2021-05-31,159915.OF,3.2016
50,2021-06-30,159915.OF,3.369
51,2021-07-30,159915.OF,3.3348
52,2021-08-31,159915.OF,3.1163
53,2021-09-30,159915.OF,3.1453
54,2021-10-29,159915.OF,3.2471
55,2021-11-30,159915.OF,3.3868
56,2021-12-31,159915.OF,3.2198
57,2022-01-28,159915.OF,2.8185
58,2022-02-28,159915.OF,2.7904
59,2022-03-01,159915.OF,2.7947
