,time,thscode,netAssetValue
0,2017-04-28,000991.OF,0.967
1,2017-05-31,000991.OF,0.974
2,2017-06-30,000991.OF,1.023
3,2017-07-31,000991.OF,1.07
4,2017-08-31,000991.OF,1.092
5,2017-09-29,000991.OF,1.138
6,2017-10-31,000991.OF,1.184
7,2017-11-30,000991.OF,1.209
8,2017-12-29,000991.OF,1.247
9,2018-01-31,000991.OF,1.27
10,2018-02-28,000991.OF,1.246
11,2018-03-30,000991.OF,1.307
12,2018-04-27,000991.OF,1.268
13,2018-05-31,000991.OF,1.235
14,2018-06-29,000991.OF,1.13
15,2018-07-31,000991.OF,1.148
16,2018-08-31,000991.OF,1.079
17,2018-09-28,000991.OF,1.062
18,2018-10-31,000991.OF,0.944
19,2018-11-30,000991.OF,1.017
20,2018-12-28,000991.OF,0.964
21,2019-01-31,000991.OF,1.012
22,2019-02-28,000991.OF,1.194
23,2019-03-29,000991.OF,1.261
24,2019-04-30,000991.OF,1.242
25,2019-05-31,000991.OF,1.199
26,2019-06-28,000991.OF,1.226
27,2019-07-31,000991.OF,1.244
28,2019-08-30,000991.OF,1.296
29,2019-09-30,000991.OF,1.368
30,2019-10-31,000991.OF,1.33
31,2019-11-29,000991.OF,1.338
32,2019-12-31,000991.OF,1.485
33,2020-01-23,000991.OF,1.564
34,2020-02-28,000991.OF,1.671
35,2020-03-31,000991.OF,1.563
36,2020-04-30,000991.OF,1.712
37,2020-05-29,000991.OF,1.822
38,2020-06-30,000991.OF,2.056
39,2020-07-31,000991.OF,2.54
40,2020-08-31,000991.OF,2.625
41,2020-09-30,000991.OF,2.704
42,2020-10-30,000991.OF,2.817
43,2020-11-30,000991.OF,3.03
44,2020-12-31,000991.OF,3.074
45,2021-01-29,000991.OF,3.128
46,2021-02-26,000991.OF,3.256
47,2021-03-31,000991.OF,3.315
48,2021-04-30,000991.OF,3.288
49,2021-05-31,000991.OF,3.395
50,2021-06-30,000991.OF,3.467
51,2021-07-30,000991.OF,3.485
52,2021-08-31,000991.OF,3.654
53,2021-09-30,000991.OF,3.612
54,2021-10-29,000991.OF,3.539
55,2021-11-30,000991.OF,3.585
56,2021-12-31,000991.OF,3.918
57,2022-01-28,000991.OF,3.893
58,2022-02-28,000991.OF,3.874
59,2022-03-01,000991.OF,3.918
