,time,thscode,netAssetValue
0,2017-04-28,160636.OF,1.008
1,2017-05-31,160636.OF,0.969
2,2017-06-30,160636.OF,1.036
3,2017-07-31,160636.OF,1.024
4,2017-08-31,160636.OF,1.069
5,2017-09-29,160636.OF,1.105
6,2017-10-31,160636.OF,1.151
7,2017-11-30,160636.OF,1.073
8,2017-12-29,160636.OF,1.066
9,2018-01-31,160636.OF,1.007
10,2018-02-28,160636.OF,1.046
11,2018-03-30,160636.OF,1.062
12,2018-04-27,160636.OF,0.981
13,2018-05-31,160636.OF,1.002
14,2018-06-29,160636.OF,0.942
15,2018-07-31,160636.OF,0.923
16,2018-08-31,160636.OF,0.863
17,2018-09-28,160636.OF,0.855
18,2018-10-31,160636.OF,0.746
19,2018-11-30,160636.OF,0.754
20,2018-12-28,160636.OF,0.722
21,2019-01-31,160636.OF,0.731
22,2019-02-28,160636.OF,0.897
23,2019-03-29,160636.OF,0.954
24,2019-04-30,160636.OF,0.931
25,2019-05-31,160636.OF,0.859
26,2019-06-28,160636.OF,0.913
27,2019-07-31,160636.OF,0.941
28,2019-08-30,160636.OF,0.974
29,2019-09-30,160636.OF,1.012
30,2019-10-31,160636.OF,1.015
31,2019-11-29,160636.OF,1.011
32,2019-12-31,160636.OF,1.089
33,2020-01-23,160636.OF,1.203
34,2020-02-28,160636.OF,1.303
35,2020-03-31,160636.OF,1.11
36,2020-04-30,160636.OF,1.237
37,2020-05-29,160636.OF,1.224
38,2020-06-30,160636.OF,1.459
39,2020-07-31,160636.OF,1.007
40,2020-08-31,160636.OF,0.99
41,2020-09-30,160636.OF,0.945
42,2020-10-30,160636.OF,0.944
43,2020-11-30,160636.OF,0.948
44,2020-12-31,160636.OF,0.995
45,2021-01-29,160636.OF,1.026
46,2021-02-26,160636.OF,0.972
47,2021-03-31,160636.OF,0.9
48,2021-04-30,160636.OF,0.955
49,2021-05-31,160636.OF,1.007
50,2021-06-30,160636.OF,1.052
51,2021-07-30,160636.OF,1.028
52,2021-08-31,160636.OF,0.965
53,2021-09-30,160636.OF,0.955
54,2021-10-29,160636.OF,0.978
55,2021-11-30,160636.OF,1.006
56,2021-12-31,160636.OF,1.024
57,2022-01-28,160636.OF,0.901
58,2022-02-28,160636.OF,0.899
59,2022-03-01,160636.OF,0.9
