,time,thscode,netAssetValue
0,2017-04-28,000925.OF,1.071
1,2017-05-31,000925.OF,1.021
2,2017-06-30,000925.OF,1.126
3,2017-07-31,000925.OF,1.209
4,2017-08-31,000925.OF,1.267
5,2017-09-29,000925.OF,1.341
6,2017-10-31,000925.OF,1.429
7,2017-11-30,000925.OF,1.267
8,2017-12-29,000925.OF,1.217
9,2018-01-31,000925.OF,1.153
10,2018-02-28,000925.OF,1.24
11,2018-03-30,000925.OF,1.294
12,2018-04-27,000925.OF,1.191
13,2018-05-31,000925.OF,1.189
14,2018-06-29,000925.OF,1.127
15,2018-07-31,000925.OF,1.115
16,2018-08-31,000925.OF,1.002
17,2018-09-28,000925.OF,0.959
18,2018-10-31,000925.OF,0.818
19,2018-11-30,000925.OF,0.845
20,2018-12-28,000925.OF,0.796
21,2019-01-31,000925.OF,0.831
22,2019-02-28,000925.OF,0.931
23,2019-03-29,000925.OF,0.986
24,2019-04-30,000925.OF,0.986
25,2019-05-31,000925.OF,0.924
26,2019-06-28,000925.OF,0.98
27,2019-07-31,000925.OF,0.992
28,2019-08-30,000925.OF,1.005
29,2019-09-30,000925.OF,1.009
30,2019-10-31,000925.OF,1.06
31,2019-11-29,000925.OF,1.031
32,2019-12-31,000925.OF,1.074
33,2020-01-23,000925.OF,1.043
34,2020-02-28,000925.OF,1.066
35,2020-03-31,000925.OF,1.054
36,2020-04-30,000925.OF,1.158
37,2020-05-29,000925.OF,1.266
38,2020-06-30,000925.OF,1.382
39,2020-07-31,000925.OF,1.65
40,2020-08-31,000925.OF,1.651
41,2020-09-30,000925.OF,1.553
42,2020-10-30,000925.OF,1.572
43,2020-11-30,000925.OF,1.534
44,2020-12-31,000925.OF,1.716
45,2021-01-29,000925.OF,1.818
46,2021-02-26,000925.OF,1.791
47,2021-03-31,000925.OF,1.706
48,2021-04-30,000925.OF,1.794
49,2021-05-31,000925.OF,1.858
50,2021-06-30,000925.OF,1.898
51,2021-07-30,000925.OF,1.873
52,2021-08-31,000925.OF,1.868
53,2021-09-30,000925.OF,1.762
54,2021-10-29,000925.OF,1.83
55,2021-11-30,000925.OF,1.899
56,2021-12-31,000925.OF,1.832
57,2022-01-28,000925.OF,1.675
58,2022-02-28,000925.OF,1.693
59,2022-03-01,000925.OF,1.704
