,time,thscode,netAssetValue
0,2017-04-28,510710.OF,2.3657
1,2017-05-31,510710.OF,2.5034
2,2017-06-30,510710.OF,2.5986
3,2017-07-31,510710.OF,2.7267
4,2017-08-31,510710.OF,2.8202
5,2017-09-29,510710.OF,2.7968
6,2017-10-31,510710.OF,2.931
7,2017-11-30,510710.OF,3.0168
8,2017-12-29,510710.OF,3.0142
9,2018-01-31,510710.OF,3.289
10,2018-02-28,510710.OF,3.0381
11,2018-03-30,510710.OF,2.8724
12,2018-04-27,510710.OF,2.8035
13,2018-05-31,510710.OF,2.8186
14,2018-06-29,510710.OF,2.6555
15,2018-07-31,510710.OF,2.7579
16,2018-08-31,510710.OF,2.6847
17,2018-09-28,510710.OF,2.8336
18,2018-10-31,510710.OF,2.6624
19,2018-11-30,510710.OF,2.6388
20,2018-12-28,510710.OF,2.4903
21,2019-01-31,510710.OF,2.696
22,2019-02-28,510710.OF,2.9757
23,2019-03-29,510710.OF,3.078
24,2019-04-30,510710.OF,3.1949
25,2019-05-31,510710.OF,2.9738
26,2019-06-28,510710.OF,3.2142
27,2019-07-31,510710.OF,3.2252
28,2019-08-30,510710.OF,3.1995
29,2019-09-30,510710.OF,3.2391
30,2019-10-31,510710.OF,3.3035
31,2019-11-29,510710.OF,3.2483
32,2019-12-31,510710.OF,3.4382
33,2020-01-23,510710.OF,3.3026
34,2020-02-28,510710.OF,3.2047
35,2020-03-31,510710.OF,3.0548
36,2020-04-30,510710.OF,3.2587
37,2020-05-29,510710.OF,3.2121
38,2020-06-30,510710.OF,3.4075
39,2020-07-31,510710.OF,3.8339
40,2020-08-31,510710.OF,3.9629
41,2020-09-30,510710.OF,3.8421
42,2020-10-30,510710.OF,3.9143
43,2020-11-30,510710.OF,4.1471
44,2020-12-31,510710.OF,4.3516
45,2021-01-29,510710.OF,4.4381
46,2021-02-26,510710.OF,4.4895
47,2021-03-31,510710.OF,4.2325
48,2021-04-30,510710.OF,4.1929
49,2021-05-31,510710.OF,4.3963
50,2021-06-30,510710.OF,4.2582
51,2021-07-30,510710.OF,3.8502
52,2021-08-31,510710.OF,3.8329
53,2021-09-30,510710.OF,3.9625
54,2021-10-29,510710.OF,4.053
55,2021-11-30,510710.OF,3.9302
56,2021-12-31,510710.OF,4.0612
57,2022-01-28,510710.OF,3.7914
58,2022-02-28,510710.OF,3.8248
59,2022-03-01,510710.OF,3.8803
