,time,thscode,netAssetValue
0,2017-04-28,410008.OF,1.0436
1,2017-05-31,410008.OF,1.0977
2,2017-06-30,410008.OF,1.1563
3,2017-07-31,410008.OF,1.1934
4,2017-08-31,410008.OF,1.2265
5,2017-09-29,410008.OF,1.2398
6,2017-10-31,410008.OF,1.3152
7,2017-11-30,410008.OF,1.3355
8,2017-12-29,410008.OF,1.3448
9,2018-01-31,410008.OF,1.4618
10,2018-02-28,410008.OF,1.3644
11,2018-03-30,410008.OF,1.3071
12,2018-04-27,410008.OF,1.2655
13,2018-05-31,410008.OF,1.291
14,2018-06-29,410008.OF,1.2214
15,2018-07-31,410008.OF,1.2473
16,2018-08-31,410008.OF,1.2029
17,2018-09-28,410008.OF,1.2546
18,2018-10-31,410008.OF,1.171
19,2018-11-30,410008.OF,1.1704
20,2018-12-28,410008.OF,1.1139
21,2019-01-31,410008.OF,1.1953
22,2019-02-28,410008.OF,1.3369
23,2019-03-29,410008.OF,1.3955
24,2019-04-30,410008.OF,1.4409
25,2019-05-31,410008.OF,1.351
26,2019-06-28,410008.OF,1.4427
27,2019-07-31,410008.OF,1.4919
28,2019-08-30,410008.OF,1.4986
29,2019-09-30,410008.OF,1.5066
30,2019-10-31,410008.OF,1.5419
31,2019-11-29,410008.OF,1.5227
32,2019-12-31,410008.OF,1.6239
33,2020-01-23,410008.OF,1.5891
34,2020-02-28,410008.OF,1.5636
35,2020-03-31,410008.OF,1.4777
36,2020-04-30,410008.OF,1.5651
37,2020-05-29,410008.OF,1.5517
38,2020-06-30,410008.OF,1.6699
39,2020-07-31,410008.OF,1.8869
40,2020-08-31,410008.OF,1.9873
41,2020-09-30,410008.OF,1.9258
42,2020-10-30,410008.OF,1.9901
43,2020-11-30,410008.OF,2.1326
44,2020-12-31,410008.OF,2.2497
45,2021-01-29,410008.OF,2.3199
46,2021-02-26,410008.OF,2.3321
47,2021-03-31,410008.OF,2.2263
48,2021-04-30,410008.OF,2.2576
49,2021-05-31,410008.OF,2.3398
50,2021-06-30,410008.OF,2.3273
51,2021-07-30,410008.OF,2.1233
52,2021-08-31,410008.OF,2.1125
53,2021-09-30,410008.OF,2.212
54,2021-10-29,410008.OF,2.2398
55,2021-11-30,410008.OF,2.1838
56,2021-12-31,410008.OF,2.2527
57,2022-01-28,410008.OF,2.1186
58,2022-02-28,410008.OF,2.1063
59,2022-03-01,410008.OF,2.128
