,time,thscode,netAssetValue
0,2017-04-28,512120.OF,1.404
1,2017-05-31,512120.OF,1.413
2,2017-06-30,512120.OF,1.487
3,2017-07-31,512120.OF,1.41
4,2017-08-31,512120.OF,1.431
5,2017-09-29,512120.OF,1.476
6,2017-10-31,512120.OF,1.588
7,2017-11-30,512120.OF,1.539
8,2017-12-29,512120.OF,1.599
9,2018-01-31,512120.OF,1.589
10,2018-02-28,512120.OF,1.543
11,2018-03-30,512120.OF,1.702
12,2018-04-27,512120.OF,1.683
13,2018-05-31,512120.OF,1.854
14,2018-06-29,512120.OF,1.71
15,2018-07-31,512120.OF,1.599
16,2018-08-31,512120.OF,1.498
17,2018-09-28,512120.OF,1.489
18,2018-10-31,512120.OF,1.297
19,2018-11-30,512120.OF,1.351
20,2018-12-28,512120.OF,1.189
21,2019-01-31,512120.OF,1.156
22,2019-02-28,512120.OF,1.391
23,2019-03-29,512120.OF,1.534
24,2019-04-30,512120.OF,1.497
25,2019-05-31,512120.OF,1.361
26,2019-06-28,512120.OF,1.409
27,2019-07-31,512120.OF,1.418
28,2019-08-30,512120.OF,1.509
29,2019-09-30,512120.OF,1.497
30,2019-10-31,512120.OF,1.579
31,2019-11-29,512120.OF,1.525
32,2019-12-31,512120.OF,1.569
33,2020-01-23,512120.OF,1.632
34,2020-02-28,512120.OF,1.634
35,2020-03-31,512120.OF,1.669
36,2020-04-30,512120.OF,1.787
37,2020-05-29,512120.OF,1.868
38,2020-06-30,512120.OF,2.188
39,2020-07-31,512120.OF,2.563
40,2020-08-31,512120.OF,2.48
41,2020-09-30,512120.OF,2.267
42,2020-10-30,512120.OF,2.287
43,2020-11-30,512120.OF,2.127
44,2020-12-31,512120.OF,2.372
45,2021-01-29,512120.OF,2.412
46,2021-02-26,512120.OF,2.383
47,2021-03-31,512120.OF,2.296
48,2021-04-30,512120.OF,2.512
49,2021-05-31,512120.OF,2.549
50,2021-06-30,512120.OF,2.505
51,2021-07-30,512120.OF,2.275
52,2021-08-31,512120.OF,2.073
53,2021-09-30,512120.OF,2.151
54,2021-10-29,512120.OF,2.077
55,2021-11-30,512120.OF,2.14
56,2021-12-31,512120.OF,2.052
57,2022-01-28,512120.OF,1.744
58,2022-02-28,512120.OF,1.794
59,2022-03-01,512120.OF,1.806
