,time,thscode,netAssetValue
0,2017-04-28,161613.OF,0.901
1,2017-05-31,161613.OF,0.86
2,2017-06-30,161613.OF,0.885
3,2017-07-31,161613.OF,0.848
4,2017-08-31,161613.OF,0.88
5,2017-09-29,161613.OF,0.884
6,2017-10-31,161613.OF,0.878
7,2017-11-30,161613.OF,0.825
8,2017-12-29,161613.OF,0.817
9,2018-01-31,161613.OF,0.81
10,2018-02-28,161613.OF,0.822
11,2018-03-30,161613.OF,0.891
12,2018-04-27,161613.OF,0.848
13,2018-05-31,161613.OF,0.823
14,2018-06-29,161613.OF,0.769
15,2018-07-31,161613.OF,0.753
16,2018-08-31,161613.OF,0.694
17,2018-09-28,161613.OF,0.682
18,2018-10-31,161613.OF,0.621
19,2018-11-30,161613.OF,0.645
20,2018-12-28,161613.OF,0.61
21,2019-01-31,161613.OF,0.6
22,2019-02-28,161613.OF,0.74
23,2019-03-29,161613.OF,0.812
24,2019-04-30,161613.OF,0.779
25,2019-05-31,161613.OF,0.717
26,2019-06-28,161613.OF,0.735
27,2019-07-31,161613.OF,0.761
28,2019-08-30,161613.OF,0.783
29,2019-09-30,161613.OF,0.789
30,2019-10-31,161613.OF,0.81
31,2019-11-29,161613.OF,0.808
32,2019-12-31,161613.OF,0.869
33,2020-01-23,161613.OF,0.93
34,2020-02-28,161613.OF,0.993
35,2020-03-31,161613.OF,0.898
36,2020-04-30,161613.OF,0.988
37,2020-05-29,161613.OF,0.997
38,2020-06-30,161613.OF,1.163
39,2020-07-31,161613.OF,1.326
40,2020-08-31,161613.OF,1.298
41,2020-09-30,161613.OF,1.234
42,2020-10-30,161613.OF,1.274
43,2020-11-30,161613.OF,1.263
44,2020-12-31,161613.OF,1.43
45,2021-01-29,161613.OF,1.457
46,2021-02-26,161613.OF,1.34
47,2021-03-31,161613.OF,1.265
48,2021-04-30,161613.OF,1.422
49,2021-05-31,161613.OF,1.508
50,2021-06-30,161613.OF,1.598
51,2021-07-30,161613.OF,1.587
52,2021-08-31,161613.OF,1.489
53,2021-09-30,161613.OF,1.495
54,2021-10-29,161613.OF,1.543
55,2021-11-30,161613.OF,1.594
56,2021-12-31,161613.OF,1.502
57,2022-01-28,161613.OF,1.039
58,2022-02-28,161613.OF,1.03
59,2022-03-01,161613.OF,1.032
