,time,thscode,netAssetValue
0,2017-04-28,090010.OF,1.54
1,2017-05-31,090010.OF,1.564
2,2017-06-30,090010.OF,1.656
3,2017-07-31,090010.OF,1.699
4,2017-08-31,090010.OF,1.729
5,2017-09-29,090010.OF,1.748
6,2017-10-31,090010.OF,1.789
7,2017-11-30,090010.OF,1.786
8,2017-12-29,090010.OF,1.798
9,2018-01-31,090010.OF,1.912
10,2018-02-28,090010.OF,1.819
11,2018-03-30,090010.OF,1.758
12,2018-04-27,090010.OF,1.704
13,2018-05-31,090010.OF,1.756
14,2018-06-29,090010.OF,1.652
15,2018-07-31,090010.OF,1.684
16,2018-08-31,090010.OF,1.599
17,2018-09-28,090010.OF,1.656
18,2018-10-31,090010.OF,1.547
19,2018-11-30,090010.OF,1.564
20,2018-12-28,090010.OF,1.55
21,2019-01-31,090010.OF,1.616
22,2019-02-28,090010.OF,1.778
23,2019-03-29,090010.OF,1.892
24,2019-04-30,090010.OF,1.895
25,2019-05-31,090010.OF,1.811
26,2019-06-28,090010.OF,1.648
27,2019-07-31,090010.OF,1.656
28,2019-08-30,090010.OF,1.606
29,2019-09-30,090010.OF,1.608
30,2019-10-31,090010.OF,1.616
31,2019-11-29,090010.OF,1.605
32,2019-12-31,090010.OF,1.691
33,2020-01-23,090010.OF,1.65
34,2020-02-28,090010.OF,1.609
35,2020-03-31,090010.OF,1.521
36,2020-04-30,090010.OF,1.568
37,2020-05-29,090010.OF,1.547
38,2020-06-30,090010.OF,1.603
39,2020-07-31,090010.OF,1.784
40,2020-08-31,090010.OF,1.84
41,2020-09-30,090010.OF,1.76
42,2020-10-30,090010.OF,1.784
43,2020-11-30,090010.OF,1.927
44,2020-12-31,090010.OF,1.842
45,2021-01-29,090010.OF,1.783
46,2021-02-26,090010.OF,1.886
47,2021-03-31,090010.OF,1.934
48,2021-04-30,090010.OF,1.986
49,2021-05-31,090010.OF,2.095
50,2021-06-30,090010.OF,2.099
51,2021-07-30,090010.OF,2.023
52,2021-08-31,090010.OF,2.232
53,2021-09-30,090010.OF,2.181
54,2021-10-29,090010.OF,2.072
55,2021-11-30,090010.OF,2.103
56,2021-12-31,090010.OF,2.158
57,2022-01-28,090010.OF,2.083
58,2022-02-28,090010.OF,2.158
59,2022-03-01,090010.OF,2.175
