,time,thscode,netAssetValue
0,2017-04-28,163118.OF,0.8798
1,2017-05-31,163118.OF,0.8773
2,2017-06-30,163118.OF,0.8954
3,2017-07-31,163118.OF,0.8527
4,2017-08-31,163118.OF,0.8692
5,2017-09-29,163118.OF,0.8898
6,2017-10-31,163118.OF,0.9462
7,2017-11-30,163118.OF,0.9181
8,2017-12-29,163118.OF,0.9471
9,2018-01-31,163118.OF,0.9442
10,2018-02-28,163118.OF,0.9178
11,2018-03-30,163118.OF,1.0141
12,2018-04-27,163118.OF,1.0189
13,2018-05-31,163118.OF,1.0972
14,2018-06-29,163118.OF,0.9974
15,2018-07-31,163118.OF,0.9293
16,2018-08-31,163118.OF,0.8614
17,2018-09-28,163118.OF,0.8549
18,2018-10-31,163118.OF,0.7445
19,2018-11-30,163118.OF,0.7815
20,2018-12-28,163118.OF,0.6904
21,2019-01-31,163118.OF,0.6775
22,2019-02-28,163118.OF,0.807
23,2019-03-29,163118.OF,0.8888
24,2019-04-30,163118.OF,0.8622
25,2019-05-31,163118.OF,0.8028
26,2019-06-28,163118.OF,0.8061
27,2019-07-31,163118.OF,0.8283
28,2019-08-30,163118.OF,0.8858
29,2019-09-30,163118.OF,0.8864
30,2019-10-31,163118.OF,0.931
31,2019-11-29,163118.OF,0.9142
32,2019-12-31,163118.OF,0.9428
33,2020-01-23,163118.OF,0.987
34,2020-02-28,163118.OF,1.008
35,2020-03-31,163118.OF,1.0213
36,2020-04-30,163118.OF,1.0925
37,2020-05-29,163118.OF,1.1456
38,2020-06-30,163118.OF,1.3079
39,2020-07-31,163118.OF,1.0799
40,2020-08-31,163118.OF,1.0691
41,2020-09-30,163118.OF,0.9927
42,2020-10-30,163118.OF,1.0222
43,2020-11-30,163118.OF,0.9544
44,2020-12-31,163118.OF,1.0738
45,2021-01-29,163118.OF,1.1065
46,2021-02-26,163118.OF,1.0786
47,2021-03-31,163118.OF,1.0436
48,2021-04-30,163118.OF,1.1554
49,2021-05-31,163118.OF,1.1904
50,2021-06-30,163118.OF,1.2027
51,2021-07-30,163118.OF,1.0874
52,2021-08-31,163118.OF,0.991
53,2021-09-30,163118.OF,1.0536
54,2021-10-29,163118.OF,1.0126
55,2021-11-30,163118.OF,1.0273
56,2021-12-31,163118.OF,1.0085
57,2022-01-28,163118.OF,0.8568
58,2022-02-28,163118.OF,0.8836
59,2022-03-01,163118.OF,0.8858
