,time,thscode,netAssetValue
0,2017-04-28,000577.OF,2.384
1,2017-05-31,000577.OF,2.335
2,2017-06-30,000577.OF,2.552
3,2017-07-31,000577.OF,2.596
4,2017-08-31,000577.OF,2.632
5,2017-09-29,000577.OF,2.743
6,2017-10-31,000577.OF,2.862
7,2017-11-30,000577.OF,2.814
8,2017-12-29,000577.OF,2.923
9,2018-01-31,000577.OF,3.037
10,2018-02-28,000577.OF,2.97
11,2018-03-30,000577.OF,2.926
12,2018-04-27,000577.OF,2.812
13,2018-05-31,000577.OF,2.926
14,2018-06-29,000577.OF,2.705
15,2018-07-31,000577.OF,2.685
16,2018-08-31,000577.OF,2.457
17,2018-09-28,000577.OF,2.472
18,2018-10-31,000577.OF,2.311
19,2018-11-30,000577.OF,2.314
20,2018-12-28,000577.OF,2.234
21,2019-01-31,000577.OF,2.372
22,2019-02-28,000577.OF,2.521
23,2019-03-29,000577.OF,2.772
24,2019-04-30,000577.OF,2.806
25,2019-05-31,000577.OF,2.634
26,2019-06-28,000577.OF,2.766
27,2019-07-31,000577.OF,2.773
28,2019-08-30,000577.OF,2.728
29,2019-09-30,000577.OF,2.708
30,2019-10-31,000577.OF,2.799
31,2019-11-29,000577.OF,2.857
32,2019-12-31,000577.OF,3.169
33,2020-01-23,000577.OF,3.197
34,2020-02-28,000577.OF,3.143
35,2020-03-31,000577.OF,3.0
36,2020-04-30,000577.OF,3.218
37,2020-05-29,000577.OF,3.294
38,2020-06-30,000577.OF,3.682
39,2020-07-31,000577.OF,4.328
40,2020-08-31,000577.OF,4.352
41,2020-09-30,000577.OF,4.12
42,2020-10-30,000577.OF,4.23
43,2020-11-30,000577.OF,4.417
44,2020-12-31,000577.OF,4.85
45,2021-01-29,000577.OF,5.026
46,2021-02-26,000577.OF,4.93
47,2021-03-31,000577.OF,4.837
48,2021-04-30,000577.OF,4.962
49,2021-05-31,000577.OF,5.099
50,2021-06-30,000577.OF,5.22
51,2021-07-30,000577.OF,4.647
52,2021-08-31,000577.OF,4.669
53,2021-09-30,000577.OF,4.744
54,2021-10-29,000577.OF,4.799
55,2021-11-30,000577.OF,4.914
56,2021-12-31,000577.OF,5.079
57,2022-01-28,000577.OF,4.755
58,2022-02-28,000577.OF,4.785
59,2022-03-01,000577.OF,4.826
