,time,thscode,netAssetValue
0,2017-04-28,512500.OF,3.0035
1,2017-05-31,512500.OF,2.8255
2,2017-06-30,512500.OF,2.9849
3,2017-07-31,512500.OF,3.0663
4,2017-08-31,512500.OF,3.1532
5,2017-09-29,512500.OF,3.2186
6,2017-10-31,512500.OF,3.1992
7,2017-11-30,512500.OF,3.0606
8,2017-12-29,512500.OF,3.057
9,2018-01-31,512500.OF,3.0251
10,2018-02-28,512500.OF,2.9445
11,2018-03-30,512500.OF,2.9871
12,2018-04-27,512500.OF,2.8652
13,2018-05-31,512500.OF,2.8215
14,2018-06-29,512500.OF,2.5705
15,2018-07-31,512500.OF,2.5622
16,2018-08-31,512500.OF,2.3817
17,2018-09-28,512500.OF,2.3785
18,2018-10-31,512500.OF,2.1201
19,2018-11-30,512500.OF,2.1789
20,2018-12-28,512500.OF,2.0775
21,2019-01-31,512500.OF,2.0813
22,2019-02-28,512500.OF,2.4994
23,2019-03-29,512500.OF,2.7565
24,2019-04-30,512500.OF,2.6374
25,2019-05-31,512500.OF,2.4493
26,2019-06-28,512500.OF,2.4765
27,2019-07-31,512500.OF,2.4651
28,2019-08-30,512500.OF,2.4579
29,2019-09-30,512500.OF,2.4855
30,2019-10-31,512500.OF,2.472
31,2019-11-29,512500.OF,2.4615
32,2019-12-31,512500.OF,2.6524
33,2020-01-23,512500.OF,2.7082
34,2020-02-28,512500.OF,2.7482
35,2020-03-31,512500.OF,2.5421
36,2020-04-30,512500.OF,2.7018
37,2020-05-29,512500.OF,2.7345
38,2020-06-30,512500.OF,2.9835
39,2020-07-31,512500.OF,3.362
40,2020-08-31,512500.OF,3.4117
41,2020-09-30,512500.OF,3.1715
42,2020-10-30,512500.OF,3.1327
43,2020-11-30,512500.OF,3.241
44,2020-12-31,512500.OF,3.2818
45,2021-01-29,512500.OF,3.2722
46,2021-02-26,512500.OF,3.2831
47,2021-03-31,512500.OF,3.2289
48,2021-04-30,512500.OF,3.3528
49,2021-05-31,512500.OF,3.4883
50,2021-06-30,512500.OF,3.5469
51,2021-07-30,512500.OF,3.5424
52,2021-08-31,512500.OF,3.7988
53,2021-09-30,512500.OF,3.7189
54,2021-10-29,512500.OF,3.6752
55,2021-11-30,512500.OF,3.7982
56,2021-12-31,512500.OF,3.8464
57,2022-01-28,512500.OF,3.439
58,2022-02-28,512500.OF,3.5802
59,2022-03-01,512500.OF,3.5909
