,time,thscode,netAssetValue
0,2017-04-28,000688.OF,1.278
1,2017-05-31,000688.OF,1.243
2,2017-06-30,000688.OF,1.334
3,2017-07-31,000688.OF,1.415
4,2017-08-31,000688.OF,1.447
5,2017-09-29,000688.OF,1.47
6,2017-10-31,000688.OF,1.516
7,2017-11-30,000688.OF,1.502
8,2017-12-29,000688.OF,1.52
9,2018-01-31,000688.OF,1.602
10,2018-02-28,000688.OF,1.554
11,2018-03-30,000688.OF,1.534
12,2018-04-27,000688.OF,1.496
13,2018-05-31,000688.OF,1.518
14,2018-06-29,000688.OF,1.414
15,2018-07-31,000688.OF,1.451
16,2018-08-31,000688.OF,1.354
17,2018-09-28,000688.OF,1.363
18,2018-10-31,000688.OF,1.253
19,2018-11-30,000688.OF,1.245
20,2018-12-28,000688.OF,1.19
21,2019-01-31,000688.OF,1.222
22,2019-02-28,000688.OF,1.375
23,2019-03-29,000688.OF,1.484
24,2019-04-30,000688.OF,1.487
25,2019-05-31,000688.OF,1.393
26,2019-06-28,000688.OF,1.467
27,2019-07-31,000688.OF,1.481
28,2019-08-30,000688.OF,1.483
29,2019-09-30,000688.OF,1.488
30,2019-10-31,000688.OF,1.507
31,2019-11-29,000688.OF,1.474
32,2019-12-31,000688.OF,1.557
33,2020-01-23,000688.OF,1.537
34,2020-02-28,000688.OF,1.522
35,2020-03-31,000688.OF,1.451
36,2020-04-30,000688.OF,1.535
37,2020-05-29,000688.OF,1.525
38,2020-06-30,000688.OF,1.663
39,2020-07-31,000688.OF,1.869
40,2020-08-31,000688.OF,1.943
41,2020-09-30,000688.OF,1.854
42,2020-10-30,000688.OF,1.882
43,2020-11-30,000688.OF,1.89
44,2020-12-31,000688.OF,2.031
45,2021-01-29,000688.OF,2.117
46,2021-02-26,000688.OF,2.079
47,2021-03-31,000688.OF,1.924
48,2021-04-30,000688.OF,1.948
49,2021-05-31,000688.OF,2.025
50,2021-06-30,000688.OF,2.056
51,2021-07-30,000688.OF,1.871
52,2021-08-31,000688.OF,1.915
53,2021-09-30,000688.OF,1.911
54,2021-10-29,000688.OF,1.974
55,2021-11-30,000688.OF,1.923
56,2021-12-31,000688.OF,2.015
57,2022-01-28,000688.OF,1.721
58,2022-02-28,000688.OF,1.749
59,2022-03-01,000688.OF,1.75
