,time,thscode,netAssetValue
0,2017-04-28,001915.OF,0.854
1,2017-05-31,001915.OF,0.838
2,2017-06-30,001915.OF,0.869
3,2017-07-31,001915.OF,0.815
4,2017-08-31,001915.OF,0.84
5,2017-09-29,001915.OF,0.866
6,2017-10-31,001915.OF,0.947
7,2017-11-30,001915.OF,0.927
8,2017-12-29,001915.OF,1.013
9,2018-01-31,001915.OF,0.957
10,2018-02-28,001915.OF,0.93
11,2018-03-30,001915.OF,1.017
12,2018-04-27,001915.OF,1.039
13,2018-05-31,001915.OF,1.069
14,2018-06-29,001915.OF,1.001
15,2018-07-31,001915.OF,0.903
16,2018-08-31,001915.OF,0.848
17,2018-09-28,001915.OF,0.856
18,2018-10-31,001915.OF,0.725
19,2018-11-30,001915.OF,0.765
20,2018-12-28,001915.OF,0.673
21,2019-01-31,001915.OF,0.682
22,2019-02-28,001915.OF,0.807
23,2019-03-29,001915.OF,0.895
24,2019-04-30,001915.OF,0.9
25,2019-05-31,001915.OF,0.878
26,2019-06-28,001915.OF,0.931
27,2019-07-31,001915.OF,0.952
28,2019-08-30,001915.OF,1.082
29,2019-09-30,001915.OF,1.098
30,2019-10-31,001915.OF,1.175
31,2019-11-29,001915.OF,1.145
32,2019-12-31,001915.OF,1.163
33,2020-01-23,001915.OF,1.287
34,2020-02-28,001915.OF,1.367
35,2020-03-31,001915.OF,1.42
36,2020-04-30,001915.OF,1.524
37,2020-05-29,001915.OF,1.716
38,2020-06-30,001915.OF,2.045
39,2020-07-31,001915.OF,2.236
40,2020-08-31,001915.OF,2.188
41,2020-09-30,001915.OF,2.044
42,2020-10-30,001915.OF,2.102
43,2020-11-30,001915.OF,1.863
44,2020-12-31,001915.OF,2.09
45,2021-01-29,001915.OF,2.174
46,2021-02-26,001915.OF,2.046
47,2021-03-31,001915.OF,2.018
48,2021-04-30,001915.OF,2.323
49,2021-05-31,001915.OF,2.407
50,2021-06-30,001915.OF,2.571
51,2021-07-30,001915.OF,2.213
52,2021-08-31,001915.OF,2.013
53,2021-09-30,001915.OF,2.196
54,2021-10-29,001915.OF,2.022
55,2021-11-30,001915.OF,2.014
56,2021-12-31,001915.OF,1.895
57,2022-01-28,001915.OF,1.566
58,2022-02-28,001915.OF,1.659
59,2022-03-01,001915.OF,1.67
