,time,thscode,netAssetValue
0,2017-04-28,000756.OF,1.417
1,2017-05-31,000756.OF,1.348
2,2017-06-30,000756.OF,1.441
3,2017-07-31,000756.OF,1.418
4,2017-08-31,000756.OF,1.388
5,2017-09-29,000756.OF,1.432
6,2017-10-31,000756.OF,1.516
7,2017-11-30,000756.OF,1.429
8,2017-12-29,000756.OF,1.511
9,2018-01-31,000756.OF,1.56
10,2018-02-28,000756.OF,1.519
11,2018-03-30,000756.OF,1.509
12,2018-04-27,000756.OF,1.458
13,2018-05-31,000756.OF,1.449
14,2018-06-29,000756.OF,1.349
15,2018-07-31,000756.OF,1.336
16,2018-08-31,000756.OF,1.249
17,2018-09-28,000756.OF,1.219
18,2018-10-31,000756.OF,1.119
19,2018-11-30,000756.OF,1.142
20,2018-12-28,000756.OF,1.106
21,2019-01-31,000756.OF,1.115
22,2019-02-28,000756.OF,1.34
23,2019-03-29,000756.OF,1.427
24,2019-04-30,000756.OF,1.405
25,2019-05-31,000756.OF,1.31
26,2019-06-28,000756.OF,1.33
27,2019-07-31,000756.OF,1.322
28,2019-08-30,000756.OF,1.342
29,2019-09-30,000756.OF,1.348
30,2019-10-31,000756.OF,1.36
31,2019-11-29,000756.OF,1.353
32,2019-12-31,000756.OF,1.463
33,2020-01-23,000756.OF,1.508
34,2020-02-28,000756.OF,1.597
35,2020-03-31,000756.OF,1.456
36,2020-04-30,000756.OF,1.537
37,2020-05-29,000756.OF,1.584
38,2020-06-30,000756.OF,1.786
39,2020-07-31,000756.OF,2.085
40,2020-08-31,000756.OF,2.059
41,2020-09-30,000756.OF,2.048
42,2020-10-30,000756.OF,2.123
43,2020-11-30,000756.OF,2.161
44,2020-12-31,000756.OF,2.417
45,2021-01-29,000756.OF,2.447
46,2021-02-26,000756.OF,2.525
47,2021-03-31,000756.OF,2.359
48,2021-04-30,000756.OF,2.515
49,2021-05-31,000756.OF,2.679
50,2021-06-30,000756.OF,2.866
51,2021-07-30,000756.OF,2.937
52,2021-08-31,000756.OF,3.427
53,2021-09-30,000756.OF,3.318
54,2021-10-29,000756.OF,3.492
55,2021-11-30,000756.OF,3.729
56,2021-12-31,000756.OF,3.747
57,2022-01-28,000756.OF,3.186
58,2022-02-28,000756.OF,3.52
59,2022-03-01,000756.OF,3.544
