,time,thscode,netAssetValue
0,2017-04-28,001628.OF,0.779
1,2017-05-31,001628.OF,0.744
2,2017-06-30,001628.OF,0.792
3,2017-07-31,001628.OF,0.78
4,2017-08-31,001628.OF,0.792
5,2017-09-29,001628.OF,0.825
6,2017-10-31,001628.OF,0.875
7,2017-11-30,001628.OF,0.835
8,2017-12-29,001628.OF,0.848
9,2018-01-31,001628.OF,0.854
10,2018-02-28,001628.OF,0.831
11,2018-03-30,001628.OF,0.822
12,2018-04-27,001628.OF,0.834
13,2018-05-31,001628.OF,0.89
14,2018-06-29,001628.OF,0.826
15,2018-07-31,001628.OF,0.783
16,2018-08-31,001628.OF,0.747
17,2018-09-28,001628.OF,0.742
18,2018-10-31,001628.OF,0.671
19,2018-11-30,001628.OF,0.696
20,2018-12-28,001628.OF,0.643
21,2019-01-31,001628.OF,0.639
22,2019-02-28,001628.OF,0.777
23,2019-03-29,001628.OF,0.85
24,2019-04-30,001628.OF,0.838
25,2019-05-31,001628.OF,0.796
26,2019-06-28,001628.OF,0.861
27,2019-07-31,001628.OF,0.857
28,2019-08-30,001628.OF,0.945
29,2019-09-30,001628.OF,0.951
30,2019-10-31,001628.OF,0.955
31,2019-11-29,001628.OF,0.921
32,2019-12-31,001628.OF,0.966
33,2020-01-23,001628.OF,0.996
34,2020-02-28,001628.OF,1.002
35,2020-03-31,001628.OF,0.951
36,2020-04-30,001628.OF,1.008
37,2020-05-29,001628.OF,1.061
38,2020-06-30,001628.OF,1.196
39,2020-07-31,001628.OF,1.44
40,2020-08-31,001628.OF,1.412
41,2020-09-30,001628.OF,1.323
42,2020-10-30,001628.OF,1.407
43,2020-11-30,001628.OF,1.291
44,2020-12-31,001628.OF,1.425
45,2021-01-29,001628.OF,1.557
46,2021-02-26,001628.OF,1.543
47,2021-03-31,001628.OF,1.513
48,2021-04-30,001628.OF,1.524
49,2021-05-31,001628.OF,1.59
50,2021-06-30,001628.OF,1.719
51,2021-07-30,001628.OF,1.689
52,2021-08-31,001628.OF,1.547
53,2021-09-30,001628.OF,1.566
54,2021-10-29,001628.OF,1.669
55,2021-11-30,001628.OF,1.671
56,2021-12-31,001628.OF,1.935
57,2022-01-28,001628.OF,1.671
58,2022-02-28,001628.OF,1.586
59,2022-03-01,001628.OF,1.604
