,time,thscode,netAssetValue
0,2017-04-28,004075.OF,0.9977
1,2017-05-31,004075.OF,1.006
2,2017-06-30,004075.OF,1.0372
3,2017-07-31,004075.OF,1.0081
4,2017-08-31,004075.OF,1.0282
5,2017-09-29,004075.OF,1.049
6,2017-10-31,004075.OF,1.1278
7,2017-11-30,004075.OF,1.0769
8,2017-12-29,004075.OF,1.1166
9,2018-01-31,004075.OF,1.1354
10,2018-02-28,004075.OF,1.1318
11,2018-03-30,004075.OF,1.2839
12,2018-04-27,004075.OF,1.3142
13,2018-05-31,004075.OF,1.3592
14,2018-06-29,004075.OF,1.2881
15,2018-07-31,004075.OF,1.2741
16,2018-08-31,004075.OF,1.1937
17,2018-09-28,004075.OF,1.1762
18,2018-10-31,004075.OF,1.0723
19,2018-11-30,004075.OF,1.118
20,2018-12-28,004075.OF,1.0202
21,2019-01-31,004075.OF,1.0289
22,2019-02-28,004075.OF,1.1719
23,2019-03-29,004075.OF,1.3154
24,2019-04-30,004075.OF,1.3204
25,2019-05-31,004075.OF,1.3119
26,2019-06-28,004075.OF,1.4006
27,2019-07-31,004075.OF,1.4238
28,2019-08-30,004075.OF,1.5899
29,2019-09-30,004075.OF,1.6372
30,2019-10-31,004075.OF,1.7221
31,2019-11-29,004075.OF,1.6992
32,2019-12-31,004075.OF,1.7614
33,2020-01-23,004075.OF,1.8835
34,2020-02-28,004075.OF,1.965
35,2020-03-31,004075.OF,1.9645
36,2020-04-30,004075.OF,2.1613
37,2020-05-29,004075.OF,2.4265
38,2020-06-30,004075.OF,2.892
39,2020-07-31,004075.OF,3.2982
40,2020-08-31,004075.OF,3.26
41,2020-09-30,004075.OF,3.0637
42,2020-10-30,004075.OF,3.2162
43,2020-11-30,004075.OF,2.9193
44,2020-12-31,004075.OF,3.4575
45,2021-01-29,004075.OF,3.688
46,2021-02-26,004075.OF,3.4004
47,2021-03-31,004075.OF,3.3765
48,2021-04-30,004075.OF,3.8078
49,2021-05-31,004075.OF,4.0333
50,2021-06-30,004075.OF,4.2702
51,2021-07-30,004075.OF,3.8833
52,2021-08-31,004075.OF,3.4825
53,2021-09-30,004075.OF,3.774
54,2021-10-29,004075.OF,3.5372
55,2021-11-30,004075.OF,3.5967
56,2021-12-31,004075.OF,3.3991
57,2022-01-28,004075.OF,2.8109
58,2022-02-28,004075.OF,2.9168
59,2022-03-01,004075.OF,2.9302
