,time,thscode,netAssetValue
0,2017-04-28,165521.OF,0.899
1,2017-05-31,165521.OF,0.943
2,2017-06-30,165521.OF,0.971
3,2017-07-31,165521.OF,1.032
4,2017-08-31,165521.OF,1.06
5,2017-09-29,165521.OF,1.036
6,2017-10-31,165521.OF,1.051
7,2017-11-30,165521.OF,1.074
8,2017-12-29,165521.OF,1.019
9,2018-01-31,165521.OF,1.108
10,2018-02-28,165521.OF,1.021
11,2018-03-30,165521.OF,0.974
12,2018-04-27,165521.OF,0.953
13,2018-05-31,165521.OF,0.928
14,2018-06-29,165521.OF,0.867
15,2018-07-31,165521.OF,0.906
16,2018-08-31,165521.OF,0.893
17,2018-09-28,165521.OF,0.938
18,2018-10-31,165521.OF,0.927
19,2018-11-30,165521.OF,0.91
20,2018-12-28,165521.OF,0.827
21,2019-01-31,165521.OF,0.894
22,2019-02-28,165521.OF,1.015
23,2019-03-29,165521.OF,1.047
24,2019-04-30,165521.OF,1.069
25,2019-05-31,165521.OF,0.996
26,2019-06-28,165521.OF,1.064
27,2019-07-31,165521.OF,1.069
28,2019-08-30,165521.OF,1.023
29,2019-09-30,165521.OF,1.04
30,2019-10-31,165521.OF,1.059
31,2019-11-29,165521.OF,1.036
32,2019-12-31,165521.OF,1.08
33,2020-01-23,165521.OF,1.035
34,2020-02-28,165521.OF,0.988
35,2020-03-31,165521.OF,0.923
36,2020-04-30,165521.OF,0.961
37,2020-05-29,165521.OF,0.936
38,2020-06-30,165521.OF,0.97
39,2020-07-31,165521.OF,1.087
40,2020-08-31,165521.OF,1.128
41,2020-09-30,165521.OF,1.095
42,2020-10-30,165521.OF,1.105
43,2020-11-30,165521.OF,1.193
44,2020-12-31,165521.OF,1.15
45,2021-01-29,165521.OF,1.149
46,2021-02-26,165521.OF,1.161
47,2021-03-31,165521.OF,1.137
48,2021-04-30,165521.OF,1.115
49,2021-05-31,165521.OF,1.185
50,2021-06-30,165521.OF,1.137
51,2021-07-30,165521.OF,1.033
52,2021-08-31,165521.OF,1.0817
53,2021-09-30,165521.OF,1.0952
54,2021-10-29,165521.OF,1.1038
55,2021-11-30,165521.OF,1.0782
56,2021-12-31,165521.OF,1.107
57,2022-01-28,165521.OF,1.0846
58,2022-02-28,165521.OF,1.0738
59,2022-03-01,165521.OF,1.0836
