,time,thscode,netAssetValue
0,2017-04-28,000376.OF,1.229
1,2017-05-31,000376.OF,1.235
2,2017-06-30,000376.OF,1.294
3,2017-07-31,000376.OF,1.231
4,2017-08-31,000376.OF,1.247
5,2017-09-29,000376.OF,1.283
6,2017-10-31,000376.OF,1.373
7,2017-11-30,000376.OF,1.334
8,2017-12-29,000376.OF,1.382
9,2018-01-31,000376.OF,1.373
10,2018-02-28,000376.OF,1.339
11,2018-03-30,000376.OF,1.464
12,2018-04-27,000376.OF,1.45
13,2018-05-31,000376.OF,1.581
14,2018-06-29,000376.OF,1.47
15,2018-07-31,000376.OF,1.384
16,2018-08-31,000376.OF,1.301
17,2018-09-28,000376.OF,1.295
18,2018-10-31,000376.OF,1.138
19,2018-11-30,000376.OF,1.182
20,2018-12-28,000376.OF,1.05
21,2019-01-31,000376.OF,1.022
22,2019-02-28,000376.OF,1.216
23,2019-03-29,000376.OF,1.332
24,2019-04-30,000376.OF,1.302
25,2019-05-31,000376.OF,1.19
26,2019-06-28,000376.OF,1.229
27,2019-07-31,000376.OF,1.235
28,2019-08-30,000376.OF,1.308
29,2019-09-30,000376.OF,1.298
30,2019-10-31,000376.OF,1.365
31,2019-11-29,000376.OF,1.323
32,2019-12-31,000376.OF,1.359
33,2020-01-23,000376.OF,1.415
34,2020-02-28,000376.OF,1.414
35,2020-03-31,000376.OF,1.443
36,2020-04-30,000376.OF,1.538
37,2020-05-29,000376.OF,1.602
38,2020-06-30,000376.OF,1.852
39,2020-07-31,000376.OF,2.145
40,2020-08-31,000376.OF,2.085
41,2020-09-30,000376.OF,1.915
42,2020-10-30,000376.OF,1.929
43,2020-11-30,000376.OF,1.8
44,2020-12-31,000376.OF,1.995
45,2021-01-29,000376.OF,2.023
46,2021-02-26,000376.OF,1.997
47,2021-03-31,000376.OF,1.931
48,2021-04-30,000376.OF,2.101
49,2021-05-31,000376.OF,2.128
50,2021-06-30,000376.OF,2.09
51,2021-07-30,000376.OF,1.908
52,2021-08-31,000376.OF,1.745
53,2021-09-30,000376.OF,1.804
54,2021-10-29,000376.OF,1.745
55,2021-11-30,000376.OF,1.793
56,2021-12-31,000376.OF,1.723
57,2022-01-28,000376.OF,1.479
58,2022-02-28,000376.OF,1.519
59,2022-03-01,000376.OF,1.529
