,time,thscode,netAssetValue
0,2017-04-28,512580.OF,1.0273
1,2017-05-31,512580.OF,0.9603
2,2017-06-30,512580.OF,0.9908
3,2017-07-31,512580.OF,0.9799
4,2017-08-31,512580.OF,1.0117
5,2017-09-29,512580.OF,1.0573
6,2017-10-31,512580.OF,1.0643
7,2017-11-30,512580.OF,0.9993
8,2017-12-29,512580.OF,0.9977
9,2018-01-31,512580.OF,0.9512
10,2018-02-28,512580.OF,0.9211
11,2018-03-30,512580.OF,0.9467
12,2018-04-27,512580.OF,0.9014
13,2018-05-31,512580.OF,0.8673
14,2018-06-29,512580.OF,0.7786
15,2018-07-31,512580.OF,0.7865
16,2018-08-31,512580.OF,0.7131
17,2018-09-28,512580.OF,0.7101
18,2018-10-31,512580.OF,0.6374
19,2018-11-30,512580.OF,0.6732
20,2018-12-28,512580.OF,0.6498
21,2019-01-31,512580.OF,0.6503
22,2019-02-28,512580.OF,0.7621
23,2019-03-29,512580.OF,0.8199
24,2019-04-30,512580.OF,0.7818
25,2019-05-31,512580.OF,0.7344
26,2019-06-28,512580.OF,0.7372
27,2019-07-31,512580.OF,0.7351
28,2019-08-30,512580.OF,0.7207
29,2019-09-30,512580.OF,0.7285
30,2019-10-31,512580.OF,0.7143
31,2019-11-29,512580.OF,0.7235
32,2019-12-31,512580.OF,0.7875
33,2020-01-23,512580.OF,0.8257
34,2020-02-28,512580.OF,0.8266
35,2020-03-31,512580.OF,0.7378
36,2020-04-30,512580.OF,0.7776
37,2020-05-29,512580.OF,0.7733
38,2020-06-30,512580.OF,0.8523
39,2020-07-31,512580.OF,0.9825
40,2020-08-31,512580.OF,0.9971
41,2020-09-30,512580.OF,0.9892
42,2020-10-30,512580.OF,1.03
43,2020-11-30,512580.OF,1.0698
44,2020-12-31,512580.OF,1.2405
45,2021-01-29,512580.OF,1.3028
46,2021-02-26,512580.OF,1.2248
47,2021-03-31,512580.OF,1.1801
48,2021-04-30,512580.OF,1.2495
49,2021-05-31,512580.OF,1.3658
50,2021-06-30,512580.OF,1.5323
51,2021-07-30,512580.OF,1.6763
52,2021-08-31,512580.OF,1.8157
53,2021-09-30,512580.OF,1.8072
54,2021-10-29,512580.OF,1.9582
55,2021-11-30,512580.OF,1.9209
56,2021-12-31,512580.OF,1.8132
57,2022-01-28,512580.OF,1.6121
58,2022-02-28,512580.OF,1.6949
59,2022-03-01,512580.OF,1.6991
