,time,thscode,netAssetValue
0,2017-04-28,510410.OF,0.6701
1,2017-05-31,510410.OF,0.6468
2,2017-06-30,510410.OF,0.6853
3,2017-07-31,510410.OF,0.8089
4,2017-08-31,510410.OF,0.8482
5,2017-09-29,510410.OF,0.8459
6,2017-10-31,510410.OF,0.8104
7,2017-11-30,510410.OF,0.8008
8,2017-12-29,510410.OF,0.8136
9,2018-01-31,510410.OF,0.8524
10,2018-02-28,510410.OF,0.8004
11,2018-03-30,510410.OF,0.7656
12,2018-04-27,510410.OF,0.7329
13,2018-05-31,510410.OF,0.7143
14,2018-06-29,510410.OF,0.6746
15,2018-07-31,510410.OF,0.6714
16,2018-08-31,510410.OF,0.6337
17,2018-09-28,510410.OF,0.6623
18,2018-10-31,510410.OF,0.6138
19,2018-11-30,510410.OF,0.5871
20,2018-12-28,510410.OF,0.5545
21,2019-01-31,510410.OF,0.5617
22,2019-02-28,510410.OF,0.6517
23,2019-03-29,510410.OF,0.6556
24,2019-04-30,510410.OF,0.6237
25,2019-05-31,510410.OF,0.6162
26,2019-06-28,510410.OF,0.6348
27,2019-07-31,510410.OF,0.6123
28,2019-08-30,510410.OF,0.6082
29,2019-09-30,510410.OF,0.5971
30,2019-10-31,510410.OF,0.5762
31,2019-11-29,510410.OF,0.5794
32,2019-12-31,510410.OF,0.64
33,2020-01-23,510410.OF,0.613
34,2020-02-28,510410.OF,0.5737
35,2020-03-31,510410.OF,0.5402
36,2020-04-30,510410.OF,0.5416
37,2020-05-29,510410.OF,0.5445
38,2020-06-30,510410.OF,0.5562
39,2020-07-31,510410.OF,0.6575
40,2020-08-31,510410.OF,0.6675
41,2020-09-30,510410.OF,0.6166
42,2020-10-30,510410.OF,0.6248
43,2020-11-30,510410.OF,0.7406
44,2020-12-31,510410.OF,0.7549
45,2021-01-29,510410.OF,0.7708
46,2021-02-26,510410.OF,0.8562
47,2021-03-31,510410.OF,0.7868
48,2021-04-30,510410.OF,0.8288
49,2021-05-31,510410.OF,0.8889
50,2021-06-30,510410.OF,0.8764
51,2021-07-30,510410.OF,1.0289
52,2021-08-31,510410.OF,1.2315
53,2021-09-30,510410.OF,1.1383
54,2021-10-29,510410.OF,1.0788
55,2021-11-30,510410.OF,1.0839
56,2021-12-31,510410.OF,1.0708
57,2022-01-28,510410.OF,0.9845
58,2022-02-28,510410.OF,1.1377
59,2022-03-01,510410.OF,1.1361
