,time,thscode,netAssetValue
0,2017-04-28,161122.OF,1.0492
1,2017-05-31,161122.OF,1.0079
2,2017-06-30,161122.OF,1.0262
3,2017-07-31,161122.OF,0.9617
4,2017-08-31,161122.OF,1.004
5,2017-09-29,161122.OF,1.0443
6,2017-10-31,161122.OF,1.0809
7,2017-11-30,161122.OF,1.0787
8,2017-12-29,161122.OF,1.0616
9,2018-01-31,161122.OF,1.0238
10,2018-02-28,161122.OF,1.001
11,2018-03-30,161122.OF,1.1245
12,2018-04-27,161122.OF,1.1645
13,2018-05-31,161122.OF,1.2423
14,2018-06-29,161122.OF,1.1171
15,2018-07-31,161122.OF,0.9794
16,2018-08-31,161122.OF,0.9452
17,2018-09-28,161122.OF,0.9612
18,2018-10-31,161122.OF,0.811
19,2018-11-30,161122.OF,0.8822
20,2018-12-28,161122.OF,0.7967
21,2019-01-31,161122.OF,0.7463
22,2019-02-28,161122.OF,0.9294
23,2019-03-29,161122.OF,1.0717
24,2019-04-30,161122.OF,1.027
25,2019-05-31,161122.OF,0.9735
26,2019-06-28,161122.OF,1.0277
27,2019-07-31,161122.OF,1.0404
28,2019-08-30,161122.OF,1.1157
29,2019-09-30,161122.OF,1.1406
30,2019-10-31,161122.OF,1.2007
31,2019-11-29,161122.OF,1.1421
32,2019-12-31,161122.OF,1.1902
33,2020-01-23,161122.OF,1.2796
34,2020-02-28,161122.OF,1.3332
35,2020-03-31,161122.OF,1.349
36,2020-04-30,161122.OF,1.0239
37,2020-05-29,161122.OF,1.1143
38,2020-06-30,161122.OF,1.3267
39,2020-07-31,161122.OF,1.1136
40,2020-08-31,161122.OF,1.0175
41,2020-09-30,161122.OF,0.9441
42,2020-10-30,161122.OF,0.976
43,2020-11-30,161122.OF,0.869
44,2020-12-31,161122.OF,0.985
45,2021-01-29,161122.OF,1.0237
46,2021-02-26,161122.OF,0.9871
47,2021-03-31,161122.OF,0.9784
48,2021-04-30,161122.OF,1.1431
49,2021-05-31,161122.OF,1.1526
50,2021-06-30,161122.OF,1.1417
51,2021-07-30,161122.OF,1.0793
52,2021-08-31,161122.OF,0.9876
53,2021-09-30,161122.OF,1.0053
54,2021-10-29,161122.OF,0.9673
55,2021-11-30,161122.OF,0.9809
56,2021-12-31,161122.OF,0.9133
57,2022-01-28,161122.OF,0.778
58,2022-02-28,161122.OF,0.8196
59,2022-03-01,161122.OF,0.8185
