,time,thscode,netAssetValue
0,2017-04-28,200002.OF,1.441
1,2017-05-31,200002.OF,1.4642
2,2017-06-30,200002.OF,1.5451
3,2017-07-31,200002.OF,1.5868
4,2017-08-31,200002.OF,1.6253
5,2017-09-29,200002.OF,1.6335
6,2017-10-31,200002.OF,1.7037
7,2017-11-30,200002.OF,1.7037
8,2017-12-29,200002.OF,1.7145
9,2018-01-31,200002.OF,1.8129
10,2018-02-28,200002.OF,1.71
11,2018-03-30,200002.OF,1.651
12,2018-04-27,200002.OF,1.603
13,2018-05-31,200002.OF,1.6224
14,2018-06-29,200002.OF,1.5304
15,2018-07-31,200002.OF,1.5656
16,2018-08-31,200002.OF,1.4839
17,2018-09-28,200002.OF,1.5287
18,2018-10-31,200002.OF,1.4112
19,2018-11-30,200002.OF,1.4025
20,2018-12-28,200002.OF,1.3594
21,2019-01-31,200002.OF,1.4353
22,2019-02-28,200002.OF,1.5752
23,2019-03-29,200002.OF,1.6722
24,2019-04-30,200002.OF,1.7068
25,2019-05-31,200002.OF,1.6052
26,2019-06-28,200002.OF,1.7077
27,2019-07-31,200002.OF,1.7474
28,2019-08-30,200002.OF,1.7539
29,2019-09-30,200002.OF,1.754
30,2019-10-31,200002.OF,1.7884
31,2019-11-29,200002.OF,1.7675
32,2019-12-31,200002.OF,1.8788
33,2020-01-23,200002.OF,1.8538
34,2020-02-28,200002.OF,1.8225
35,2020-03-31,200002.OF,1.7373
36,2020-04-30,200002.OF,1.8516
37,2020-05-29,200002.OF,1.8418
38,2020-06-30,200002.OF,1.9741
39,2020-07-31,200002.OF,2.2383
40,2020-08-31,200002.OF,2.302
41,2020-09-30,200002.OF,2.2282
42,2020-10-30,200002.OF,2.2581
43,2020-11-30,200002.OF,2.3697
44,2020-12-31,200002.OF,2.5035
45,2021-01-29,200002.OF,2.5967
46,2021-02-26,200002.OF,2.5721
47,2021-03-31,200002.OF,2.4552
48,2021-04-30,200002.OF,2.4985
49,2021-05-31,200002.OF,2.576
50,2021-06-30,200002.OF,2.6037
51,2021-07-30,200002.OF,2.3974
52,2021-08-31,200002.OF,2.4414
53,2021-09-30,200002.OF,2.4544
54,2021-10-29,200002.OF,2.4642
55,2021-11-30,200002.OF,2.4229
56,2021-12-31,200002.OF,2.463
57,2022-01-28,200002.OF,2.2633
58,2022-02-28,200002.OF,2.3018
59,2022-03-01,200002.OF,2.3178
