,time,thscode,netAssetValue
0,2017-04-28,159901.OF,4.1546
1,2017-05-31,159901.OF,4.11
2,2017-06-30,159901.OF,4.4789
3,2017-07-31,159901.OF,4.5118
4,2017-08-31,159901.OF,4.6359
5,2017-09-29,159901.OF,4.7679
6,2017-10-31,159901.OF,5.0689
7,2017-11-30,159901.OF,4.9301
8,2017-12-29,159901.OF,5.0399
9,2018-01-31,159901.OF,5.1745
10,2018-02-28,159901.OF,4.9547
11,2018-03-30,159901.OF,4.8457
12,2018-04-27,159901.OF,4.5737
13,2018-05-31,159901.OF,4.6793
14,2018-06-29,159901.OF,4.2924
15,2018-07-31,159901.OF,4.1971
16,2018-08-31,159901.OF,3.8864
17,2018-09-28,159901.OF,3.8759
18,2018-10-31,159901.OF,3.453
19,2018-11-30,159901.OF,3.5442
20,2018-12-28,159901.OF,3.3175
21,2019-01-31,159901.OF,3.5335
22,2019-02-28,159901.OF,4.2284
23,2019-03-29,159901.OF,4.6062
24,2019-04-30,159901.OF,4.5921
25,2019-05-31,159901.OF,4.2515
26,2019-06-28,159901.OF,4.4545
27,2019-07-31,159901.OF,4.6023
28,2019-08-30,159901.OF,4.6483
29,2019-09-30,159901.OF,4.6668
30,2019-10-31,159901.OF,4.8507
31,2019-11-29,159901.OF,4.8088
32,2019-12-31,159901.OF,5.2019
33,2020-01-23,159901.OF,5.2264
34,2020-02-28,159901.OF,5.3487
35,2020-03-31,159901.OF,4.8949
36,2020-04-30,159901.OF,5.2818
37,2020-05-29,159901.OF,5.2963
38,2020-06-30,159901.OF,6.0029
39,2020-07-31,159901.OF,6.9255
40,2020-08-31,159901.OF,7.0411
41,2020-09-30,159901.OF,6.6407
42,2020-10-30,159901.OF,6.9805
43,2020-11-30,159901.OF,7.2229
44,2020-12-31,159901.OF,7.8477
45,2021-01-29,159901.OF,8.1901
46,2021-02-26,159901.OF,7.9521
47,2021-03-31,159901.OF,7.4573
48,2021-04-30,159901.OF,3.9614
49,2021-05-31,159901.OF,4.1012
50,2021-06-30,159901.OF,4.1336
51,2021-07-30,159901.OF,3.8491
52,2021-08-31,159901.OF,3.7366
53,2021-09-30,159901.OF,3.7961
54,2021-10-29,159901.OF,3.8793
55,2021-11-30,159901.OF,3.8927
56,2021-12-31,159901.OF,3.9128
57,2022-01-28,159901.OF,3.5558
58,2022-02-28,159901.OF,3.5109
59,2022-03-01,159901.OF,3.5294
