,time,thscode,netAssetValue
0,2017-04-28,161607.OF,1.051
1,2017-05-31,161607.OF,1.08
2,2017-06-30,161607.OF,1.133
3,2017-07-31,161607.OF,1.176
4,2017-08-31,161607.OF,1.211
5,2017-09-29,161607.OF,1.205
6,2017-10-31,161607.OF,1.254
7,2017-11-30,161607.OF,1.269
8,2017-12-29,161607.OF,1.267
9,2018-01-31,161607.OF,1.288
10,2018-02-28,161607.OF,1.205
11,2018-03-30,161607.OF,1.15
12,2018-04-27,161607.OF,1.112
13,2018-05-31,161607.OF,1.125
14,2018-06-29,161607.OF,1.064
15,2018-07-31,161607.OF,1.082
16,2018-08-31,161607.OF,1.038
17,2018-09-28,161607.OF,1.081
18,2018-10-31,161607.OF,1.002
19,2018-11-30,161607.OF,1.001
20,2018-12-28,161607.OF,0.951
21,2019-01-31,161607.OF,1.026
22,2019-02-28,161607.OF,1.152
23,2019-03-29,161607.OF,1.206
24,2019-04-30,161607.OF,1.233
25,2019-05-31,161607.OF,1.15
26,2019-06-28,161607.OF,1.227
27,2019-07-31,161607.OF,1.268
28,2019-08-30,161607.OF,1.27
29,2019-09-30,161607.OF,1.146
30,2019-10-31,161607.OF,1.17
31,2019-11-29,161607.OF,1.146
32,2019-12-31,161607.OF,1.141
33,2020-01-23,161607.OF,1.116
34,2020-02-28,161607.OF,1.107
35,2020-03-31,161607.OF,1.039
36,2020-04-30,161607.OF,1.104
37,2020-05-29,161607.OF,1.09
38,2020-06-30,161607.OF,1.188
39,2020-07-31,161607.OF,1.364
40,2020-08-31,161607.OF,1.432
41,2020-09-30,161607.OF,1.391
42,2020-10-30,161607.OF,1.442
43,2020-11-30,161607.OF,1.51
44,2020-12-31,161607.OF,1.458
45,2021-01-29,161607.OF,1.493
46,2021-02-26,161607.OF,1.465
47,2021-03-31,161607.OF,1.379
48,2021-04-30,161607.OF,1.422
49,2021-05-31,161607.OF,1.468
50,2021-06-30,161607.OF,1.471
51,2021-07-30,161607.OF,1.334
52,2021-08-31,161607.OF,1.317
53,2021-09-30,161607.OF,1.34
54,2021-10-29,161607.OF,1.387
55,2021-11-30,161607.OF,1.373
56,2021-12-31,161607.OF,1.381
57,2022-01-28,161607.OF,1.079
58,2022-02-28,161607.OF,1.079
59,2022-03-01,161607.OF,1.089
