,time,thscode,netAssetValue
0,2017-04-28,000948.OF,1.0912
1,2017-05-31,000948.OF,1.1318
2,2017-06-30,000948.OF,1.1277
3,2017-07-31,000948.OF,1.1894
4,2017-08-31,000948.OF,1.1968
5,2017-10-31,000948.OF,1.2214
6,2017-11-30,000948.OF,1.2517
7,2017-12-29,000948.OF,1.267
8,2018-01-31,000948.OF,1.3476
9,2018-02-28,000948.OF,1.2661
10,2018-05-31,000948.OF,1.2678
11,2018-06-29,000948.OF,1.2454
12,2018-07-31,000948.OF,1.2728
13,2018-08-31,000948.OF,1.2461
14,2018-10-31,000948.OF,1.1439
15,2018-11-30,000948.OF,1.2106
16,2019-02-28,000948.OF,1.2526
17,2019-03-29,000948.OF,1.2793
18,2019-05-31,000948.OF,1.2249
19,2019-06-28,000948.OF,1.3016
20,2019-07-31,000948.OF,1.2727
21,2019-08-30,000948.OF,1.214
22,2019-10-31,000948.OF,1.2618
23,2019-11-29,000948.OF,1.2364
24,2019-12-31,000948.OF,1.3139
25,2020-02-28,000948.OF,1.2301
26,2020-03-31,000948.OF,1.1396
27,2020-05-29,000948.OF,1.1244
28,2020-06-30,000948.OF,1.2001
29,2020-07-31,000948.OF,1.1942
30,2020-08-31,000948.OF,1.1993
31,2020-09-30,000948.OF,1.114
32,2020-10-30,000948.OF,1.1343
33,2020-11-30,000948.OF,1.2138
34,2020-12-31,000948.OF,1.2515
35,2021-01-29,000948.OF,1.2891
36,2021-02-26,000948.OF,1.3157
37,2021-03-31,000948.OF,1.3073
38,2021-04-30,000948.OF,1.3041
39,2021-05-31,000948.OF,1.3112
40,2021-06-30,000948.OF,1.309
41,2021-07-30,000948.OF,1.1917
42,2021-08-31,000948.OF,1.2067
43,2021-09-30,000948.OF,1.1613
44,2021-10-29,000948.OF,1.1736
45,2021-11-30,000948.OF,1.0984
46,2021-12-31,000948.OF,1.0978
47,2022-01-28,000948.OF,1.11
48,2022-02-28,000948.OF,1.0603
49,2022-03-01,000948.OF,1.0591
