,time,thscode,netAssetValue
0,2017-04-28,001496.OF,0.809
1,2017-05-31,001496.OF,0.772
2,2017-06-30,001496.OF,0.792
3,2017-07-31,001496.OF,0.774
4,2017-08-31,001496.OF,0.783
5,2017-09-29,001496.OF,0.806
6,2017-10-31,001496.OF,0.785
7,2017-11-30,001496.OF,0.747
8,2017-12-29,001496.OF,0.753
9,2018-01-31,001496.OF,0.767
10,2018-02-28,001496.OF,0.719
11,2018-03-30,001496.OF,0.697
12,2018-04-27,001496.OF,0.69
13,2018-05-31,001496.OF,0.71
14,2018-06-29,001496.OF,0.664
15,2018-07-31,001496.OF,0.663
16,2018-08-31,001496.OF,0.622
17,2018-09-28,001496.OF,0.649
18,2018-10-31,001496.OF,0.606
19,2018-11-30,001496.OF,0.599
20,2018-12-28,001496.OF,0.592
21,2019-01-31,001496.OF,0.617
22,2019-02-28,001496.OF,0.662
23,2019-03-29,001496.OF,0.688
24,2019-04-30,001496.OF,0.696
25,2019-05-31,001496.OF,0.679
26,2019-06-28,001496.OF,0.706
27,2019-07-31,001496.OF,0.706
28,2019-08-30,001496.OF,0.705
29,2019-09-30,001496.OF,0.713
30,2019-10-31,001496.OF,0.736
31,2019-11-29,001496.OF,0.737
32,2019-12-31,001496.OF,0.783
33,2020-01-23,001496.OF,0.795
34,2020-02-28,001496.OF,0.806
35,2020-03-31,001496.OF,0.749
36,2020-04-30,001496.OF,0.84
37,2020-05-29,001496.OF,0.912
38,2020-06-30,001496.OF,1.067
39,2020-07-31,001496.OF,1.241
40,2020-08-31,001496.OF,1.296
41,2020-09-30,001496.OF,1.253
42,2020-10-30,001496.OF,1.333
43,2020-11-30,001496.OF,1.352
44,2020-12-31,001496.OF,1.562
45,2021-01-29,001496.OF,1.637
46,2021-02-26,001496.OF,1.553
47,2021-03-31,001496.OF,1.503
48,2021-04-30,001496.OF,1.643
49,2021-05-31,001496.OF,1.748
50,2021-06-30,001496.OF,1.851
51,2021-07-30,001496.OF,1.919
52,2021-08-31,001496.OF,1.92
53,2021-09-30,001496.OF,1.879
54,2021-10-29,001496.OF,1.908
55,2021-11-30,001496.OF,1.951
56,2021-12-31,001496.OF,1.873
57,2022-01-28,001496.OF,1.675
58,2022-02-28,001496.OF,1.672
59,2022-03-01,001496.OF,1.684
