,time,thscode,netAssetValue
0,2017-04-28,519606.OF,1.568
1,2017-05-31,519606.OF,1.549
2,2017-06-30,519606.OF,1.704
3,2017-07-31,519606.OF,1.75
4,2017-08-31,519606.OF,1.781
5,2017-09-29,519606.OF,1.874
6,2017-10-31,519606.OF,2.028
7,2017-11-30,519606.OF,1.937
8,2017-12-29,519606.OF,1.996
9,2018-01-31,519606.OF,1.988
10,2018-02-28,519606.OF,1.955
11,2018-03-30,519606.OF,1.97
12,2018-04-27,519606.OF,1.809
13,2018-05-31,519606.OF,1.877
14,2018-06-29,519606.OF,1.636
15,2018-07-31,519606.OF,1.541
16,2018-08-31,519606.OF,1.392
17,2018-09-28,519606.OF,1.282
18,2018-10-31,519606.OF,1.125
19,2018-11-30,519606.OF,1.111
20,2018-12-28,519606.OF,1.039
21,2019-01-31,519606.OF,1.114
22,2019-02-28,519606.OF,1.294
23,2019-03-29,519606.OF,1.426
24,2019-04-30,519606.OF,1.372
25,2019-05-31,519606.OF,1.31
26,2019-06-28,519606.OF,1.363
27,2019-07-31,519606.OF,1.43
28,2019-08-30,519606.OF,1.443
29,2019-09-30,519606.OF,1.477
30,2019-10-31,519606.OF,1.511
31,2019-11-29,519606.OF,1.536
32,2019-12-31,519606.OF,1.648
33,2020-01-23,519606.OF,1.734
34,2020-02-28,519606.OF,1.834
35,2020-03-31,519606.OF,1.748
36,2020-04-30,519606.OF,1.862
37,2020-05-29,519606.OF,1.923
38,2020-06-30,519606.OF,2.203
39,2020-07-31,519606.OF,2.443
40,2020-08-31,519606.OF,2.551
41,2020-09-30,519606.OF,2.357
42,2020-10-30,519606.OF,2.474
43,2020-11-30,519606.OF,2.512
44,2020-12-31,519606.OF,2.647
45,2021-01-29,519606.OF,2.742
46,2021-02-26,519606.OF,2.656
47,2021-03-31,519606.OF,2.588
48,2021-04-30,519606.OF,2.686
49,2021-05-31,519606.OF,2.777
50,2021-06-30,519606.OF,2.853
51,2021-07-30,519606.OF,2.873
52,2021-08-31,519606.OF,2.853
53,2021-09-30,519606.OF,2.659
54,2021-10-29,519606.OF,2.618
55,2021-11-30,519606.OF,2.691
56,2021-12-31,519606.OF,2.473
57,2022-01-28,519606.OF,2.186
58,2022-02-28,519606.OF,2.179
59,2022-03-01,519606.OF,2.188
