,time,thscode,netAssetValue
0,2017-04-28,320020.OF,0.992
1,2017-05-31,320020.OF,0.986
2,2017-06-30,320020.OF,1.0
3,2017-07-31,320020.OF,1.007
4,2017-08-31,320020.OF,1.006
5,2017-09-29,320020.OF,1.009
6,2017-10-31,320020.OF,0.977
7,2017-11-30,320020.OF,0.969
8,2017-12-29,320020.OF,0.974
9,2018-01-31,320020.OF,0.974
10,2018-02-28,320020.OF,0.978
11,2018-03-30,320020.OF,0.983
12,2018-04-27,320020.OF,0.988
13,2018-05-31,320020.OF,0.995
14,2018-06-29,320020.OF,1.0112
15,2018-07-31,320020.OF,1.0114
16,2018-08-31,320020.OF,1.0106
17,2018-09-28,320020.OF,1.0103
18,2018-10-31,320020.OF,1.0098
19,2018-11-30,320020.OF,1.0092
20,2018-12-28,320020.OF,0.9674
21,2019-01-31,320020.OF,1.0188
22,2019-02-28,320020.OF,1.1301
23,2019-03-29,320020.OF,1.2206
24,2019-04-30,320020.OF,1.2222
25,2019-05-31,320020.OF,1.1575
26,2019-06-28,320020.OF,1.1977
27,2019-07-31,320020.OF,1.2416
28,2019-08-30,320020.OF,1.2292
29,2019-09-30,320020.OF,1.235
30,2019-10-31,320020.OF,1.2451
31,2019-11-29,320020.OF,1.2819
32,2019-12-31,320020.OF,1.4045
33,2020-01-23,320020.OF,1.2682
34,2020-02-28,320020.OF,1.2632
35,2020-03-31,320020.OF,1.2122
36,2020-04-30,320020.OF,1.2819
37,2020-05-29,320020.OF,1.2781
38,2020-06-30,320020.OF,1.3416
39,2020-07-31,320020.OF,1.5162
40,2020-08-31,320020.OF,1.5871
41,2020-09-30,320020.OF,1.5312
42,2020-10-30,320020.OF,1.5732
43,2020-11-30,320020.OF,1.6838
44,2020-12-31,320020.OF,1.6315
45,2021-01-29,320020.OF,1.6273
46,2021-02-26,320020.OF,1.7531
47,2021-03-31,320020.OF,1.7469
48,2021-04-30,320020.OF,1.79
49,2021-05-31,320020.OF,1.798
50,2021-06-30,320020.OF,1.8191
51,2021-07-30,320020.OF,1.7862
52,2021-08-31,320020.OF,1.8585
53,2021-09-30,320020.OF,1.9102
54,2021-10-29,320020.OF,1.8974
55,2021-11-30,320020.OF,2.0405
56,2021-12-31,320020.OF,2.1034
57,2022-01-28,320020.OF,1.9983
58,2022-02-28,320020.OF,2.0126
59,2022-03-01,320020.OF,2.0211
