,time,thscode,netAssetValue
0,2017-04-28,164908.OF,1.058
1,2017-05-31,164908.OF,0.975
2,2017-06-30,164908.OF,0.996
3,2017-07-31,164908.OF,0.932
4,2017-08-31,164908.OF,0.981
5,2017-09-29,164908.OF,0.992
6,2017-10-31,164908.OF,0.981
7,2017-11-30,164908.OF,0.909
8,2017-12-29,164908.OF,0.908
9,2018-01-31,164908.OF,0.837
10,2018-02-28,164908.OF,0.799
11,2018-03-30,164908.OF,0.809
12,2018-04-27,164908.OF,0.767
13,2018-05-31,164908.OF,0.727
14,2018-06-29,164908.OF,0.641
15,2018-07-31,164908.OF,0.624
16,2018-08-31,164908.OF,0.55
17,2018-09-28,164908.OF,0.545
18,2018-10-31,164908.OF,0.483
19,2018-11-30,164908.OF,0.512
20,2018-12-28,164908.OF,0.495
21,2019-01-31,164908.OF,0.472
22,2019-02-28,164908.OF,0.571
23,2019-03-29,164908.OF,0.605
24,2019-04-30,164908.OF,0.573
25,2019-05-31,164908.OF,0.529
26,2019-06-28,164908.OF,0.565
27,2019-07-31,164908.OF,0.528
28,2019-08-30,164908.OF,0.51
29,2019-09-30,164908.OF,0.508
30,2019-10-31,164908.OF,0.511
31,2019-11-29,164908.OF,0.49
32,2019-12-31,164908.OF,0.51
33,2020-01-23,164908.OF,0.512
34,2020-02-28,164908.OF,0.508
35,2020-03-31,164908.OF,0.488
36,2020-04-30,164908.OF,0.497
37,2020-05-29,164908.OF,0.492
38,2020-06-30,164908.OF,0.502
39,2020-07-31,164908.OF,0.557
40,2020-08-31,164908.OF,0.583
41,2020-09-30,164908.OF,0.53
42,2020-10-30,164908.OF,0.517
43,2020-11-30,164908.OF,0.521
44,2020-12-31,164908.OF,0.491
45,2021-01-29,164908.OF,0.459
46,2021-02-26,164908.OF,0.489
47,2021-03-31,164908.OF,0.528
48,2021-04-30,164908.OF,0.492
49,2021-05-31,164908.OF,0.503
50,2021-06-30,164908.OF,0.496
51,2021-07-30,164908.OF,0.49
52,2021-08-31,164908.OF,0.5477
53,2021-09-30,164908.OF,0.5648
54,2021-10-29,164908.OF,0.5204
55,2021-11-30,164908.OF,0.5803
56,2021-12-31,164908.OF,0.589
57,2022-01-28,164908.OF,0.5294
58,2022-02-28,164908.OF,0.5699
59,2022-03-01,164908.OF,0.5708
