,time,thscode,netAssetValue
0,2017-04-28,110026.OF,1.9067
1,2017-05-31,110026.OF,1.8273
2,2017-06-30,110026.OF,1.8835
3,2017-07-31,110026.OF,1.7956
4,2017-08-31,110026.OF,1.9057
5,2017-09-29,110026.OF,1.9235
6,2017-10-31,110026.OF,1.9176
7,2017-11-30,110026.OF,1.8071
8,2017-12-29,110026.OF,1.7878
9,2018-01-31,110026.OF,1.7693
10,2018-02-28,110026.OF,1.79
11,2018-03-30,110026.OF,1.9303
12,2018-04-27,110026.OF,1.8411
13,2018-05-31,110026.OF,1.788
14,2018-06-29,110026.OF,1.6604
15,2018-07-31,110026.OF,1.6255
16,2018-08-31,110026.OF,1.5017
17,2018-09-28,110026.OF,1.4789
18,2018-10-31,110026.OF,1.3495
19,2018-11-30,110026.OF,1.394
20,2018-12-28,110026.OF,1.3212
21,2019-01-31,110026.OF,1.2996
22,2019-02-28,110026.OF,1.5926
23,2019-03-29,110026.OF,1.7446
24,2019-04-30,110026.OF,1.6768
25,2019-05-31,110026.OF,1.5434
26,2019-06-28,110026.OF,1.5744
27,2019-07-31,110026.OF,1.6329
28,2019-08-30,110026.OF,1.673
29,2019-09-30,110026.OF,1.689
30,2019-10-31,110026.OF,1.7327
31,2019-11-29,110026.OF,1.7252
32,2019-12-31,110026.OF,1.8543
33,2020-01-23,110026.OF,1.9786
34,2020-02-28,110026.OF,2.1087
35,2020-03-31,110026.OF,1.9102
36,2020-04-30,110026.OF,2.0989
37,2020-05-29,110026.OF,2.1176
38,2020-06-30,110026.OF,2.4608
39,2020-07-31,110026.OF,2.8001
40,2020-08-31,110026.OF,2.7397
41,2020-09-30,110026.OF,2.5956
42,2020-10-30,110026.OF,2.6732
43,2020-11-30,110026.OF,2.651
44,2020-12-31,110026.OF,2.9686
45,2021-01-29,110026.OF,3.1215
46,2021-02-26,110026.OF,2.9193
47,2021-03-31,110026.OF,2.7733
48,2021-04-30,110026.OF,3.0948
49,2021-05-31,110026.OF,3.3028
50,2021-06-30,110026.OF,3.4633
51,2021-07-30,110026.OF,3.4275
52,2021-08-31,110026.OF,3.2133
53,2021-09-30,110026.OF,3.2435
54,2021-10-29,110026.OF,3.3415
55,2021-11-30,110026.OF,3.4756
56,2021-12-31,110026.OF,3.3101
57,2022-01-28,110026.OF,2.9172
58,2022-02-28,110026.OF,2.8893
59,2022-03-01,110026.OF,2.8936
