,time,thscode,netAssetValue
0,2017-04-28,004190.OF,0.9694
1,2017-05-31,004190.OF,0.9766
2,2017-06-30,004190.OF,1.0422
3,2017-07-31,004190.OF,1.0725
4,2017-08-31,004190.OF,1.0987
5,2017-09-29,004190.OF,1.1141
6,2017-10-31,004190.OF,1.1671
7,2017-11-30,004190.OF,1.1629
8,2017-12-29,004190.OF,1.1765
9,2018-01-31,004190.OF,1.2407
10,2018-02-28,004190.OF,1.1737
11,2018-03-30,004190.OF,1.1273
12,2018-04-27,004190.OF,1.0953
13,2018-05-31,004190.OF,1.1189
14,2018-06-29,004190.OF,1.0569
15,2018-07-31,004190.OF,1.0619
16,2018-08-31,004190.OF,1.0044
17,2018-09-28,004190.OF,1.0383
18,2018-10-31,004190.OF,0.9531
19,2018-11-30,004190.OF,0.9571
20,2018-12-28,004190.OF,0.9151
21,2019-01-31,004190.OF,0.9724
22,2019-02-28,004190.OF,1.0952
23,2019-03-29,004190.OF,1.1684
24,2019-04-30,004190.OF,1.1973
25,2019-05-31,004190.OF,1.1216
26,2019-06-28,004190.OF,1.1785
27,2019-07-31,004190.OF,1.211
28,2019-08-30,004190.OF,1.1989
29,2019-09-30,004190.OF,1.202
30,2019-10-31,004190.OF,1.231
31,2019-11-29,004190.OF,1.2167
32,2019-12-31,004190.OF,1.2862
33,2020-01-23,004190.OF,1.2625
34,2020-02-28,004190.OF,1.246
35,2020-03-31,004190.OF,1.1905
36,2020-04-30,004190.OF,1.2586
37,2020-05-29,004190.OF,1.2554
38,2020-06-30,004190.OF,1.3825
39,2020-07-31,004190.OF,1.5934
40,2020-08-31,004190.OF,1.6701
41,2020-09-30,004190.OF,1.616
42,2020-10-30,004190.OF,1.67
43,2020-11-30,004190.OF,1.7464
44,2020-12-31,004190.OF,1.8328
45,2021-01-29,004190.OF,1.8795
46,2021-02-26,004190.OF,1.8312
47,2021-03-31,004190.OF,1.7521
48,2021-04-30,004190.OF,1.8022
49,2021-05-31,004190.OF,1.8629
50,2021-06-30,004190.OF,1.8469
51,2021-07-30,004190.OF,1.7003
52,2021-08-31,004190.OF,1.7459
53,2021-09-30,004190.OF,1.7651
54,2021-10-29,004190.OF,1.7652
55,2021-11-30,004190.OF,1.7528
56,2021-12-31,004190.OF,1.7544
57,2022-01-28,004190.OF,1.6252
58,2022-02-28,004190.OF,1.65
59,2022-03-01,004190.OF,1.6655
