,time,thscode,netAssetValue
0,2017-04-28,003957.OF,1.0037
1,2017-05-31,003957.OF,1.0041
2,2017-06-30,003957.OF,1.0085
3,2017-07-31,003957.OF,1.0138
4,2017-08-31,003957.OF,1.0095
5,2017-09-29,003957.OF,1.0133
6,2017-10-31,003957.OF,1.0583
7,2017-11-30,003957.OF,1.0657
8,2017-12-29,003957.OF,1.078
9,2018-01-31,003957.OF,1.1499
10,2018-02-28,003957.OF,1.0915
11,2018-03-30,003957.OF,1.0652
12,2018-04-27,003957.OF,1.0255
13,2018-05-31,003957.OF,1.0477
14,2018-06-29,003957.OF,0.9865
15,2018-07-31,003957.OF,1.0022
16,2018-08-31,003957.OF,0.9554
17,2018-09-28,003957.OF,0.9864
18,2018-10-31,003957.OF,0.9122
19,2018-11-30,003957.OF,0.9099
20,2018-12-28,003957.OF,0.8701
21,2019-01-31,003957.OF,0.9295
22,2019-02-28,003957.OF,1.0428
23,2019-03-29,003957.OF,1.1022
24,2019-04-30,003957.OF,1.1189
25,2019-05-31,003957.OF,1.0513
26,2019-06-28,003957.OF,1.1198
27,2019-07-31,003957.OF,1.1294
28,2019-08-30,003957.OF,1.1259
29,2019-09-30,003957.OF,1.1365
30,2019-10-31,003957.OF,1.1661
31,2019-11-29,003957.OF,1.1647
32,2019-12-31,003957.OF,1.2512
33,2020-01-23,003957.OF,1.2364
34,2020-02-28,003957.OF,1.2429
35,2020-03-31,003957.OF,1.1666
36,2020-04-30,003957.OF,1.2502
37,2020-05-29,003957.OF,1.2484
38,2020-06-30,003957.OF,1.3682
39,2020-07-31,003957.OF,1.5907
40,2020-08-31,003957.OF,1.6561
41,2020-09-30,003957.OF,1.6029
42,2020-10-30,003957.OF,1.6585
43,2020-11-30,003957.OF,1.7653
44,2020-12-31,003957.OF,1.8806
45,2021-01-29,003957.OF,1.9359
46,2021-02-26,003957.OF,1.9308
47,2021-03-31,003957.OF,1.8273
48,2021-04-30,003957.OF,1.8604
49,2021-05-31,003957.OF,1.9259
50,2021-06-30,003957.OF,1.929
51,2021-07-30,003957.OF,1.8
52,2021-08-31,003957.OF,1.8153
53,2021-09-30,003957.OF,1.8423
54,2021-10-29,003957.OF,1.8585
55,2021-11-30,003957.OF,1.8232
56,2021-12-31,003957.OF,1.8367
57,2022-01-28,003957.OF,1.6764
58,2022-02-28,003957.OF,1.6895
59,2022-03-01,003957.OF,1.7032
