,time,thscode,netAssetValue
0,2017-04-28,001593.OF,0.7311
1,2017-05-31,001593.OF,0.6988
2,2017-06-30,001593.OF,0.7218
3,2017-07-31,001593.OF,0.6878
4,2017-08-31,001593.OF,0.7281
5,2017-09-29,001593.OF,0.7351
6,2017-10-31,001593.OF,0.729
7,2017-11-30,001593.OF,0.6834
8,2017-12-29,001593.OF,0.677
9,2018-01-31,001593.OF,0.6737
10,2018-02-28,001593.OF,0.6828
11,2018-03-30,001593.OF,0.7347
12,2018-04-27,001593.OF,0.6978
13,2018-05-31,001593.OF,0.6793
14,2018-06-29,001593.OF,0.6307
15,2018-07-31,001593.OF,0.6165
16,2018-08-31,001593.OF,0.5689
17,2018-09-28,001593.OF,0.5606
18,2018-10-31,001593.OF,0.5113
19,2018-11-30,001593.OF,0.5311
20,2018-12-28,001593.OF,0.5035
21,2019-01-31,001593.OF,0.4948
22,2019-02-28,001593.OF,0.6078
23,2019-03-29,001593.OF,0.6685
24,2019-04-30,001593.OF,0.6426
25,2019-05-31,001593.OF,0.5907
26,2019-06-28,001593.OF,0.6048
27,2019-07-31,001593.OF,0.6268
28,2019-08-30,001593.OF,0.6417
29,2019-09-30,001593.OF,0.6466
30,2019-10-31,001593.OF,0.6628
31,2019-11-29,001593.OF,0.66
32,2019-12-31,001593.OF,0.7092
33,2020-01-23,001593.OF,0.7572
34,2020-02-28,001593.OF,0.8132
35,2020-03-31,001593.OF,0.7366
36,2020-04-30,001593.OF,0.8082
37,2020-05-29,001593.OF,0.8154
38,2020-06-30,001593.OF,0.9487
39,2020-07-31,001593.OF,1.0804
40,2020-08-31,001593.OF,1.0562
41,2020-09-30,001593.OF,1.0011
42,2020-10-30,001593.OF,1.0323
43,2020-11-30,001593.OF,1.0233
44,2020-12-31,001593.OF,1.1485
45,2021-01-29,001593.OF,1.2097
46,2021-02-26,001593.OF,1.1325
47,2021-03-31,001593.OF,1.0759
48,2021-04-30,001593.OF,1.2016
49,2021-05-31,001593.OF,1.2817
50,2021-06-30,001593.OF,1.3418
51,2021-07-30,001593.OF,1.3282
52,2021-08-31,001593.OF,1.2442
53,2021-09-30,001593.OF,1.254
54,2021-10-29,001593.OF,1.2922
55,2021-11-30,001593.OF,1.3442
56,2021-12-31,001593.OF,1.2818
57,2022-01-28,001593.OF,1.1301
58,2022-02-28,001593.OF,1.1197
59,2022-03-01,001593.OF,1.1214
