,time,thscode,netAssetValue
0,2017-04-28,501029.OF,1.0152
1,2017-05-31,501029.OF,1.0137
2,2017-06-30,501029.OF,1.0635
3,2017-07-31,501029.OF,1.0817
4,2017-08-31,501029.OF,1.0803
5,2017-09-29,501029.OF,1.0951
6,2017-10-31,501029.OF,1.1032
7,2017-11-30,501029.OF,1.083
8,2017-12-29,501029.OF,1.0918
9,2018-01-31,501029.OF,1.154
10,2018-02-28,501029.OF,1.0934
11,2018-03-30,501029.OF,1.0399
12,2018-04-27,501029.OF,1.0131
13,2018-05-31,501029.OF,1.0386
14,2018-06-29,501029.OF,0.9624
15,2018-07-31,501029.OF,0.9643
16,2018-08-31,501029.OF,0.9063
17,2018-09-28,501029.OF,0.9136
18,2018-10-31,501029.OF,0.8533
19,2018-11-30,501029.OF,0.8484
20,2018-12-28,501029.OF,0.8406
21,2019-01-31,501029.OF,0.8577
22,2019-02-28,501029.OF,0.9799
23,2019-03-29,501029.OF,1.0487
24,2019-04-30,501029.OF,1.0294
25,2019-05-31,501029.OF,0.96
26,2019-06-28,501029.OF,0.9667
27,2019-07-31,501029.OF,0.9449
28,2019-08-30,501029.OF,0.9144
29,2019-09-30,501029.OF,0.9257
30,2019-10-31,501029.OF,0.9292
31,2019-11-29,501029.OF,0.9313
32,2019-12-31,501029.OF,1.0021
33,2020-01-23,501029.OF,0.9847
34,2020-02-28,501029.OF,0.9525
35,2020-03-31,501029.OF,0.9175
36,2020-04-30,501029.OF,0.938
37,2020-05-29,501029.OF,0.9371
38,2020-06-30,501029.OF,0.9792
39,2020-07-31,501029.OF,1.116
40,2020-08-31,501029.OF,1.1462
41,2020-09-30,501029.OF,1.0782
42,2020-10-30,501029.OF,1.0787
43,2020-11-30,501029.OF,1.148
44,2020-12-31,501029.OF,1.0971
45,2021-01-29,501029.OF,1.0686
46,2021-02-26,501029.OF,1.1362
47,2021-03-31,501029.OF,1.1752
48,2021-04-30,501029.OF,1.1705
49,2021-05-31,501029.OF,1.1923
50,2021-06-30,501029.OF,1.1793
51,2021-07-30,501029.OF,1.1395
52,2021-08-31,501029.OF,1.2363
53,2021-09-30,501029.OF,1.3099
54,2021-10-29,501029.OF,1.246
55,2021-11-30,501029.OF,1.2747
56,2021-12-31,501029.OF,1.3574
57,2022-01-28,501029.OF,1.3014
58,2022-02-28,501029.OF,1.3315
59,2022-03-01,501029.OF,1.3421
