,time,thscode,netAssetValue
0,2017-04-28,110022.OF,1.681
1,2017-05-31,110022.OF,1.75
2,2017-06-30,110022.OF,1.904
3,2017-07-31,110022.OF,1.9
4,2017-08-31,110022.OF,1.939
5,2017-09-29,110022.OF,2.004
6,2017-10-31,110022.OF,2.189
7,2017-11-30,110022.OF,2.138
8,2017-12-29,110022.OF,2.331
9,2018-01-31,110022.OF,2.485
10,2018-02-28,110022.OF,2.341
11,2018-03-30,110022.OF,2.214
12,2018-04-27,110022.OF,2.176
13,2018-05-31,110022.OF,2.439
14,2018-06-29,110022.OF,2.352
15,2018-07-31,110022.OF,2.287
16,2018-08-31,110022.OF,2.015
17,2018-09-28,110022.OF,2.12
18,2018-10-31,110022.OF,1.752
19,2018-11-30,110022.OF,1.818
20,2018-12-28,110022.OF,1.784
21,2019-01-31,110022.OF,1.977
22,2019-02-28,110022.OF,2.193
23,2019-03-29,110022.OF,2.527
24,2019-04-30,110022.OF,2.689
25,2019-05-31,110022.OF,2.563
26,2019-06-28,110022.OF,2.789
27,2019-07-31,110022.OF,2.775
28,2019-08-30,110022.OF,2.985
29,2019-09-30,110022.OF,2.886
30,2019-10-31,110022.OF,2.921
31,2019-11-29,110022.OF,2.873
32,2019-12-31,110022.OF,3.057
33,2020-01-23,110022.OF,2.969
34,2020-02-28,110022.OF,2.862
35,2020-03-31,110022.OF,2.794
36,2020-04-30,110022.OF,2.997
37,2020-05-29,110022.OF,3.202
38,2020-06-30,110022.OF,3.394
39,2020-07-31,110022.OF,3.985
40,2020-08-31,110022.OF,4.356
41,2020-09-30,110022.OF,4.083
42,2020-10-30,110022.OF,4.255
43,2020-11-30,110022.OF,4.515
44,2020-12-31,110022.OF,5.274
45,2021-01-29,110022.OF,5.349
46,2021-02-26,110022.OF,5.099
47,2021-03-31,110022.OF,4.903
48,2021-04-30,110022.OF,5.253
49,2021-05-31,110022.OF,5.386
50,2021-06-30,110022.OF,5.152
51,2021-07-30,110022.OF,4.268
52,2021-08-31,110022.OF,4.262
53,2021-09-30,110022.OF,4.554
54,2021-10-29,110022.OF,4.594
55,2021-11-30,110022.OF,4.551
56,2021-12-31,110022.OF,4.684
57,2022-01-28,110022.OF,4.224
58,2022-02-28,110022.OF,4.135
59,2022-03-01,110022.OF,4.204
