,time,thscode,netAssetValue
0,2017-04-28,001589.OF,0.8078
1,2017-05-31,001589.OF,0.8041
2,2017-06-30,001589.OF,0.8498
3,2017-07-31,001589.OF,0.8742
4,2017-08-31,001589.OF,0.8969
5,2017-09-29,001589.OF,0.9102
6,2017-10-31,001589.OF,0.9399
7,2017-11-30,001589.OF,0.9324
8,2017-12-29,001589.OF,0.9306
9,2018-01-31,001589.OF,0.9678
10,2018-02-28,001589.OF,0.9196
11,2018-03-30,001589.OF,0.9027
12,2018-04-27,001589.OF,0.8714
13,2018-05-31,001589.OF,0.8804
14,2018-06-29,001589.OF,0.8217
15,2018-07-31,001589.OF,0.8269
16,2018-08-31,001589.OF,0.7844
17,2018-09-28,001589.OF,0.8019
18,2018-10-31,001589.OF,0.7352
19,2018-11-30,001589.OF,0.7431
20,2018-12-28,001589.OF,0.71
21,2019-01-31,001589.OF,0.7434
22,2019-02-28,001589.OF,0.8562
23,2019-03-29,001589.OF,0.9139
24,2019-04-30,001589.OF,0.9149
25,2019-05-31,001589.OF,0.8585
26,2019-06-28,001589.OF,0.8996
27,2019-07-31,001589.OF,0.9082
28,2019-08-30,001589.OF,0.9036
29,2019-09-30,001589.OF,0.912
30,2019-10-31,001589.OF,0.9261
31,2019-11-29,001589.OF,0.9234
32,2019-12-31,001589.OF,0.9892
33,2020-01-23,001589.OF,0.982
34,2020-02-28,001589.OF,0.9851
35,2020-03-31,001589.OF,0.925
36,2020-04-30,001589.OF,0.9815
37,2020-05-29,001589.OF,0.9823
38,2020-06-30,001589.OF,1.0764
39,2020-07-31,001589.OF,1.2384
40,2020-08-31,001589.OF,1.2699
41,2020-09-30,001589.OF,1.2111
42,2020-10-30,001589.OF,1.2307
43,2020-11-30,001589.OF,1.2901
44,2020-12-31,001589.OF,1.3439
45,2021-01-29,001589.OF,1.3703
46,2021-02-26,001589.OF,1.3711
47,2021-03-31,001589.OF,1.3122
48,2021-04-30,001589.OF,1.341
49,2021-05-31,001589.OF,1.3971
50,2021-06-30,001589.OF,1.3927
51,2021-07-30,001589.OF,1.3165
52,2021-08-31,001589.OF,1.3384
53,2021-09-30,001589.OF,1.3442
54,2021-10-29,001589.OF,1.3486
55,2021-11-30,001589.OF,1.343
56,2021-12-31,001589.OF,1.367
57,2022-01-28,001589.OF,1.2593
58,2022-02-28,001589.OF,1.2736
59,2022-03-01,001589.OF,1.282
