,time,thscode,netAssetValue
0,2017-04-28,164402.OF,0.857
1,2017-05-31,164402.OF,0.734
2,2017-06-30,164402.OF,0.772
3,2017-07-31,164402.OF,0.764
4,2017-08-31,164402.OF,0.793
5,2017-09-29,164402.OF,0.808
6,2017-10-31,164402.OF,0.78
7,2017-11-30,164402.OF,0.738
8,2017-12-29,164402.OF,0.718
9,2018-01-31,164402.OF,0.656
10,2018-02-28,164402.OF,1.079
11,2018-03-30,164402.OF,1.18
12,2018-04-27,164402.OF,1.151
13,2018-05-31,164402.OF,1.05
14,2018-06-29,164402.OF,0.948
15,2018-07-31,164402.OF,0.982
16,2018-08-31,164402.OF,0.933
17,2018-09-28,164402.OF,0.968
18,2018-10-31,164402.OF,0.865
19,2018-11-30,164402.OF,0.893
20,2018-12-28,164402.OF,0.837
21,2019-01-31,164402.OF,0.838
22,2019-02-28,164402.OF,1.002
23,2019-03-29,164402.OF,1.087
24,2019-04-30,164402.OF,1.011
25,2019-05-31,164402.OF,0.978
26,2019-06-28,164402.OF,0.987
27,2019-07-31,164402.OF,1.019
28,2019-08-30,164402.OF,1.057
29,2019-09-30,164402.OF,1.014
30,2019-10-31,164402.OF,0.984
31,2019-11-29,164402.OF,0.972
32,2019-12-31,164402.OF,1.011
33,2020-01-23,164402.OF,0.994
34,2020-02-28,164402.OF,1.017
35,2020-03-31,164402.OF,0.932
36,2020-04-30,164402.OF,0.997
37,2020-05-29,164402.OF,0.999
38,2020-06-30,164402.OF,1.024
39,2020-07-31,164402.OF,1.303
40,2020-08-31,164402.OF,0.945
41,2020-09-30,164402.OF,0.907
42,2020-10-30,164402.OF,0.877
43,2020-11-30,164402.OF,0.953
44,2020-12-31,164402.OF,1.139
45,2021-01-29,164402.OF,1.061
46,2021-02-26,164402.OF,1.036
47,2021-03-31,164402.OF,0.922
48,2021-04-30,164402.OF,0.879
49,2021-05-31,164402.OF,1.014
50,2021-06-30,164402.OF,1.026
51,2021-07-30,164402.OF,1.098
52,2021-08-31,164402.OF,1.291
53,2021-09-30,164402.OF,1.137
54,2021-10-29,164402.OF,1.202
55,2021-11-30,164402.OF,1.363
56,2021-12-31,164402.OF,1.361
57,2022-01-28,164402.OF,1.09
58,2022-02-28,164402.OF,1.1349
59,2022-03-01,164402.OF,1.1547
