,thscode,ths_fund_scale_fund
0,000008.OF,2080377134.23
1,000042.OF,547822735.6500001
2,000051.OF,16117287494.27
3,000059.OF,1908886811.47
4,000082.OF,592650132.63
5,000176.OF,1280956800.35
6,000248.OF,2959741088.62
7,000309.OF,407550157.0599999
8,000311.OF,9493194812.470003
9,000312.OF,289236407.1700001
10,000313.OF,190403848.2
11,000326.OF,184242768.26
12,000368.OF,342044500.91
13,000373.OF,33649695.77000001
14,000376.OF,32541607.84
15,000409.OF,239867626.32
16,000411.OF,96727789.47
17,000418.OF,124830490.57
18,000457.OF,3389046202.19
19,000471.OF,1035474473.25
20,000478.OF,5881391993.700002
21,000512.OF,620970140.8
22,000513.OF,853330343.7100002
23,000524.OF,205747020.82
24,000549.OF,191394228.08
25,000577.OF,4042028851.28
26,000586.OF,541657607.7599999
27,000592.OF,173236792.27
28,000594.OF,56606318.79
29,000596.OF,622662760.5299999
30,000613.OF,5377064747.160001
31,000628.OF,770108946.7099999
32,000656.OF,183051681.01
33,000688.OF,69227336.23
34,000696.OF,1629540873.89
35,000697.OF,5145590346.419999
36,000711.OF,1499337616.0
37,000729.OF,183533026.27
38,000746.OF,542546406.41
39,000751.OF,2279740970.22
40,000756.OF,70173684.60999998
41,000761.OF,451838845.68
42,000778.OF,184233098.17
43,000780.OF,1214455285.68
44,000793.OF,659701663.03
45,000803.OF,65256414.65000001
46,000826.OF,246611947.6400001
47,000827.OF,402268360.5299999
48,000828.OF,85338876.81
49,000831.OF,3238373796.99
50,000835.OF,271204607.6300001
51,000854.OF,658392147.8000002
52,000866.OF,371604980.68
53,000867.OF,204959413.13
54,000884.OF,274692873.23
55,000893.OF,673972589.9300002
56,000913.OF,2356929858.62
57,000916.OF,646523602.91
58,000925.OF,2563954548.47
59,000942.OF,327752950.04
60,000948.OF,703135000.5
61,000950.OF,1709338976.06
62,000955.OF,1129202959.41
63,000960.OF,914018928.06
64,000961.OF,2327310353.76
65,000962.OF,1618659114.2
66,000968.OF,1666165094.27
67,000971.OF,827931250.15
68,000974.OF,1781550353.26
69,000975.OF,163869751.8
70,000978.OF,2151481769.93
71,000979.OF,2275409487.85
72,000985.OF,1116240326.03
73,000991.OF,1071941490.01
74,000996.OF,1241362185.85
75,001008.OF,1419290158.520001
76,001009.OF,811251320.4900001
77,001015.OF,577763395.01
78,001016.OF,261734280.04
79,001027.OF,110887455.48
80,001028.OF,1089140407.01
81,001036.OF,1226484375.64
82,001039.OF,1351306018.35
83,001040.OF,627326193.7600001
84,001042.OF,1728503436.64
85,001043.OF,641196055.9599999
86,001044.OF,2278610890.09
87,001047.OF,1281625573.68
88,001048.OF,1906717641.39
89,001050.OF,1098672155.74
90,001051.OF,1579682367.15
91,001052.OF,3104264122.62
92,001054.OF,759485667.83
93,001064.OF,1286293774.23
94,001070.OF,436658255.87
95,001072.OF,746608680.0899998
96,001097.OF,288827268.04
