,thscode,ths_fund_scale_fund
0,000008.OF,704900037.8200003
1,000042.OF,99970331.12000002
2,000051.OF,11277675745.64
3,000059.OF,1607113377.06
4,000082.OF,479076045.5100001
5,000176.OF,540753515.55
6,000248.OF,1590937682.28
7,000309.OF,602144785.98
8,000311.OF,6585114283.469999
9,000312.OF,1054958953.79
10,000313.OF,407235815.57
11,000326.OF,1772787373.84
12,000368.OF,387970018.18
13,000373.OF,23790880.86
14,000376.OF,39740680.47000001
15,000409.OF,326672944.0700001
16,000411.OF,51679253.76999999
17,000418.OF,73006971.44
18,000457.OF,8443346048.669999
19,000471.OF,1738415549.06
20,000478.OF,1960779136.93
21,000512.OF,258658017.57
22,000513.OF,840946984.26
23,000524.OF,298642979.22
24,000549.OF,206999056.43
25,000577.OF,4264157768.13
26,000586.OF,505484181.6099999
27,000592.OF,342156755.9700001
28,000594.OF,55340315.57
29,000596.OF,823293897.08
30,000613.OF,681398118.32
31,000628.OF,284836223.1500001
32,000656.OF,9684607.420000002
33,000688.OF,247970751.8
34,000696.OF,2755027961.429999
35,000697.OF,4679040005.79
36,000711.OF,1418594294.12
37,000729.OF,245966520.6
38,000746.OF,503645126.8800001
39,000751.OF,935300045.9000003
40,000756.OF,96454240.69
41,000761.OF,13909371.45
42,000778.OF,1276939392.9
43,000780.OF,1324599866.07
44,000793.OF,1048457116.01
45,000803.OF,90739263.24
46,000826.OF,300299872.13
47,000827.OF,514363750.67
48,000828.OF,91967788.3
49,000831.OF,3683835106.530001
50,000835.OF,262464606.06
51,000854.OF,452030738.12
52,000866.OF,521200679.1700001
53,000867.OF,249867472.85
54,000884.OF,271692872.03
55,000893.OF,986217387.87
56,000913.OF,1328640868.73
57,000916.OF,669469558.11
58,000925.OF,3838690130.679999
59,000942.OF,212516656.67
60,000948.OF,1496498350.39
61,000950.OF,913375207.9900001
62,000955.OF,1472904346.12
63,000960.OF,711277831.5100001
64,000961.OF,1130712253.23
65,000962.OF,569106607.48
66,000968.OF,393659060.8899999
67,000971.OF,404487293.5299999
68,000974.OF,2622781688.13
69,000975.OF,132048333.23
70,000978.OF,2851959602.25
71,000979.OF,3965396719.34
72,000985.OF,1662294282.91
73,000991.OF,931158176.2300001
74,000996.OF,1883228161.4
75,001008.OF,2269065659.739999
76,001009.OF,917698041.7600001
77,001015.OF,335466562.23
78,001016.OF,108628594.49
79,001027.OF,79981520.89
80,001028.OF,1250731610.28
81,001036.OF,1596017736.35
82,001039.OF,2003560807.21
83,001040.OF,821117403.2600001
84,001042.OF,2582626516.35
85,001043.OF,604607212.0799999
86,001044.OF,1698523774.78
87,001047.OF,1716444608.67
88,001048.OF,3213589555.579999
89,001050.OF,1378852725.29
90,001051.OF,779252167.8899999
91,001052.OF,710491302.0700002
92,001054.OF,1066468387.66
93,001064.OF,947564771.26
94,001070.OF,583663672.37
95,001072.OF,945855341.3300002
96,001097.OF,403822072.34
97,001104.OF,1987883887.230001
98,001105.OF,689011015.6
99,001113.OF,4797271667.650001
100,001126.OF,1463817762.41
101,001133.OF,358480378.61
102,001149.OF,22253308.97
103,001158.OF,2459164089.66
104,001162.OF,46952752.93
105,001163.OF,1165480826.12
106,001166.OF,3086142457.200001
107,001167.OF,963242566.75
108,001171.OF,717532222.4000001
109,001178.OF,791979134.3900001
110,001180.OF,713241419.2199998
111,001186.OF,2006975736.89
112,001188.OF,1709523042.04
113,001193.OF,241168840.6599999
114,001195.OF,867749053.5100002
115,001208.OF,1688242688.35
116,001214.OF,140359457.32
117,001223.OF,48385851.45999999
118,001230.OF,1468533780.82
119,001236.OF,1432848248.41
120,001237.OF,99247464.05
121,001241.OF,236194590.12
122,001242.OF,1165928758.92
123,001243.OF,252757007.5699999
124,001245.OF,1297992139.33
125,001277.OF,1482165278.46
126,001291.OF,667547062.0300001
127,001313.OF,1815818665.59
128,001319.OF,2002633792.23
129,001351.OF,131270381.85
130,001361.OF,419502392.71
131,001396.OF,1399397124.44
132,001397.OF,198307524.95
133,001404.OF,1744963389.66
134,001409.OF,4745377937.1
135,001410.OF,551601149.0600001
136,001416.OF,6708138877.45
137,001420.OF,702698913.6700002
138,001421.OF,780843005.5500001
139,001426.OF,91968019.14999999
140,001455.OF,320570310.48
141,001469.OF,33765137.59000001
142,001473.OF,380250360.3900001
143,001476.OF,2331455427.17
144,001482.OF,96368296.50999999
