,thscode,ths_fund_scale_fund
0,000008.OF,1494808872.52
1,000042.OF,266564213.86
2,000051.OF,11955456900.32
3,000059.OF,1340922902.26
4,000082.OF,552708022.37
5,000176.OF,2257560445.23
6,000248.OF,5094775292.250002
7,000309.OF,321371626.2499999
8,000311.OF,6748530048.87
9,000312.OF,455483086.27
10,000313.OF,455285918.6300001
11,000326.OF,225792372.4199999
12,000368.OF,461412432.9500001
13,000373.OF,43110885.72
14,000376.OF,48229870.31
15,000409.OF,1146707650.44
16,000411.OF,45616617.63999999
17,000418.OF,406299517.5000001
18,000457.OF,1648610653.91
19,000471.OF,844234133.29
20,000478.OF,4583394435.64
21,000512.OF,321776707.98
22,000513.OF,1730849728.81
23,000524.OF,250031518.4
24,000549.OF,149598732.53
25,000577.OF,3856818411.980001
26,000586.OF,455488283.24
27,000592.OF,747112461.96
28,000594.OF,233384494.61
29,000596.OF,951166093.5
30,000613.OF,5382955513.319999
31,000628.OF,2074401357.69
32,000656.OF,353743717.8
33,000688.OF,292185732.97
34,000696.OF,3071655167.04
35,000697.OF,6906558762.62
36,000711.OF,1428355246.01
37,000729.OF,258034746.8800001
38,000746.OF,4225971980.05
39,000751.OF,14702752484.48
40,000756.OF,72960440.80999999
41,000761.OF,730044868.0
42,000778.OF,474815599.35
43,000780.OF,1162933317.1
44,000793.OF,1705341830.32
45,000803.OF,103835938.33
46,000826.OF,204494138.11
47,000827.OF,385772571.05
48,000828.OF,294633940.19
49,000831.OF,4222070146.83
50,000835.OF,312380904.5099999
51,000854.OF,1028772236.78
52,000866.OF,309896230.73
53,000867.OF,177835141.14
54,000884.OF,417764032.77
55,000893.OF,612565501.2
56,000913.OF,3146833178.940001
57,000916.OF,207581705.91
58,000925.OF,3050133670.61
59,000942.OF,307601226.7699999
60,000948.OF,551649269.6800002
61,000950.OF,1571274002.22
62,000955.OF,852995889.97
63,000960.OF,3225800717.900001
64,000961.OF,2684032607.32
65,000962.OF,1552937941.69
66,000968.OF,1056259488.75
67,000971.OF,1353728674.72
68,000974.OF,527257604.2899999
69,000975.OF,339709213.3699999
70,000978.OF,579410437.5800002
71,000979.OF,2702039517.32
72,000985.OF,883317475.4800001
73,000991.OF,5794963476.47
74,000996.OF,1551141547.27
75,001008.OF,1117527531.71
76,001009.OF,909756548.92
77,001015.OF,834538938.9599999
78,001016.OF,403252129.82
79,001027.OF,815050294.2600002
80,001028.OF,711291898.71
81,001036.OF,669285749.6499999
82,001039.OF,1493670258.14
83,001040.OF,855243315.3299999
84,001042.OF,1733212151.74
85,001043.OF,861690553.1699998
86,001044.OF,1506175508.19
87,001047.OF,953623764.9599999
88,001048.OF,1402349817.74
89,001050.OF,697642512.41
90,001051.OF,1521705402.63
91,001052.OF,2421167750.659999
92,001054.OF,1773878036.74
93,001064.OF,1612180979.27
94,001070.OF,510541611.1900001
95,001072.OF,730511191.48
96,001097.OF,264741644.13
97,001104.OF,2113220579.97
98,001105.OF,425422560.16
99,001113.OF,3043507739.77
100,001126.OF,2318830420.64
101,001133.OF,252350571.52
102,001149.OF,9952638.920000002
103,001158.OF,2134468014.910001
104,001162.OF,139653083.13
105,001163.OF,1298227762.0
106,001166.OF,1452223269.54
107,001167.OF,461593958.3000001
108,001171.OF,3021219404.74
109,001178.OF,2778408445.88
110,001180.OF,1058600037.71
111,001186.OF,1840265891.72
112,001188.OF,556701881.7500001
113,001193.OF,185300895.55
114,001195.OF,1021315480.98
115,001208.OF,540124288.6700001
116,001214.OF,145361230.87
117,001223.OF,151020451.46
118,001230.OF,1699335801.55
119,001236.OF,784862420.5500001
120,001237.OF,273137733.8200001
121,001241.OF,851087875.8099997
122,001242.OF,349536275.34
123,001243.OF,120185725.52
124,001245.OF,1246052337.24
125,001277.OF,683102439.9100001
126,001291.OF,297620638.9500001
127,001313.OF,1007872683.74
128,001319.OF,716266461.5600002
129,001351.OF,93340918.84
130,001361.OF,422585175.44
131,001396.OF,532383789.58
132,001397.OF,50341963.91999999
133,001404.OF,789891830.1899999
134,001409.OF,5045635877.950001
135,001410.OF,12576482476.87
136,001416.OF,2476159160.52
137,001420.OF,307157253.52
138,001421.OF,279848838.67
139,001426.OF,53257055.16999999
140,001455.OF,77867611.76999998
141,001469.OF,903608893.5399998
142,001473.OF,417665176.0699999
143,001476.OF,1460985180.01
144,001482.OF,69554717.01000002
145,001490.OF,851835803.2600001
146,001496.OF,362017486.29
147,001521.OF,520459305.44
148,001528.OF,174515355.21
149,001539.OF,58869394.63
150,001541.OF,421480503.96
151,001542.OF,1423341934.1
152,001548.OF,1015259568.61
153,001549.OF,772786287.0899999
154,001550.OF,511082654.24
155,001551.OF,697093534.4799999
156,001552.OF,898644037.1999999
157,001553.OF,1956536453.41
158,001577.OF,249368060.24
159,001583.OF,1315649840.29
160,001588.OF,23257198.96
161,001589.OF,33068621.74
162,001592.OF,1072871128.71
163,001593.OF,2697296922.25
164,001594.OF,2819350250.45
165,001595.OF,6847767588.72
166,001605.OF,5406904407.429999
167,001616.OF,5943179420.59
168,001617.OF,487947777.8300001
169,001618.OF,1654265604.5
170,001626.OF,265972389.93
171,001628.OF,44506634.52
172,001629.OF,452748148.92
173,001630.OF,1810752568.67
174,001631.OF,1507629489.65
175,001632.OF,2783638965.53
176,001637.OF,214118972.22
177,001638.OF,11481058.63
178,001643.OF,2892899271.759999
179,001644.OF,2143429156.85
180,001645.OF,1927559691.91
181,001651.OF,494039578.68
182,001672.OF,367542133.88
183,001677.OF,383377935.5699999
184,001685.OF,463112352.05
185,001692.OF,298333644.79
186,001703.OF,302136810.5400001
187,001705.OF,4146765867.21
188,001714.OF,13507628226.19
189,001717.OF,6736156827.46
190,001718.OF,173812311.85
191,001719.OF,174198826.1
192,001725.OF,1640834660.44
193,001726.OF,493675526.12
194,001733.OF,245417630.66
195,001736.OF,3122286350.270001
196,001764.OF,759957402.4
197,001766.OF,1430009547.78
198,001781.OF,22113866.48
199,001825.OF,104439817.54
200,001849.OF,67279157.6
201,001877.OF,41160429.58
202,001878.OF,3041633178.91
203,001899.OF,29176307.22
204,001915.OF,961436458.4000002
205,001917.OF,56917468.27000001
206,001938.OF,16551835797.39
207,001956.OF,1848785765.45
208,001974.OF,766877573.57
209,001975.OF,6290545349.650002
210,002063.OF,164808600.24
211,002121.OF,5493079196.92
212,002168.OF,4783998063.360001
213,002199.OF,420171840.12
214,002210.OF,243036104.97
215,002229.OF,2327506437.38
216,002236.OF,50339650.84999999
217,002300.OF,124072475.12
218,002310.OF,311183407.52
219,002311.OF,478624422.74
220,002315.OF,433307714.4099999
