,thscode,ths_fund_scale_fund
0,000008.OF,1051110945.72
1,000042.OF,84577670.31
2,000051.OF,11939529148.2
3,000059.OF,1476153286.33
4,000082.OF,471661353.1100001
5,000176.OF,631844063.3100003
6,000248.OF,1507815146.61
7,000309.OF,372162108.96
8,000311.OF,7485640397.099999
9,000312.OF,174711860.16
10,000313.OF,222336360.68
11,000326.OF,203337463.79
12,000368.OF,266987074.7699999
13,000373.OF,36893749.62
14,000376.OF,31372428.92000001
15,000409.OF,238855099.7900001
16,000411.OF,73258618.74
17,000418.OF,59963755.1
18,000457.OF,3575021125.240001
19,000471.OF,785604999.56
20,000478.OF,3260661626.01
21,000512.OF,29301543.07
22,000513.OF,498007990.61
23,000524.OF,180978702.71
24,000549.OF,137782344.99
25,000577.OF,4003132525.010001
26,000586.OF,513355305.46
27,000592.OF,132340001.02
28,000594.OF,42541475.3
29,000596.OF,534117594.1
30,000613.OF,523988993.1500001
31,000628.OF,432363984.2099999
32,000656.OF,13305997.35
33,000688.OF,37885102.04000001
34,000696.OF,1606448670.32
35,000697.OF,3656606415.159999
36,000711.OF,1480204326.23
37,000729.OF,164167810.87
38,000746.OF,335087078.2000001
39,000751.OF,546966475.5300001
40,000756.OF,62848179.22000001
41,000761.OF,8593711.95
42,000778.OF,339586780.7900001
43,000780.OF,926918042.1400001
44,000793.OF,496495623.55
45,000803.OF,49211373.55000001
46,000826.OF,189341970.18
47,000827.OF,342859536.11
48,000828.OF,51994485.20999999
49,000831.OF,2722400235.18
50,000835.OF,408862109.9
51,000854.OF,343451605.2000001
52,000866.OF,333972650.76
53,000867.OF,181780751.74
54,000884.OF,264567319.16
55,000893.OF,584189234.08
56,000913.OF,1301725700.67
57,000916.OF,653541804.67
58,000925.OF,2387673980.49
59,000942.OF,144279305.93
60,000948.OF,786739749.9699999
61,000950.OF,990424142.7100003
62,000955.OF,905534171.0100002
63,000960.OF,760221140.0199999
64,000961.OF,1922017364.86
65,000962.OF,765642494.77
66,000968.OF,1052505999.77
67,000971.OF,238770889.61
68,000974.OF,2982128023.81
69,000975.OF,158043480.25
70,000978.OF,3246555926.67
71,000979.OF,3251389130.380001
72,000985.OF,848002922.7099999
73,000991.OF,642934317.4
74,000996.OF,961588801.6799998
75,001008.OF,1353151533.45
76,001009.OF,553433201.3500001
77,001015.OF,347640959.97
78,001016.OF,133461402.26
79,001027.OF,63854763.42999999
80,001028.OF,763683332.8900001
81,001036.OF,1002894422.96
82,001039.OF,1098780080.07
83,001040.OF,469945429.91
84,001042.OF,1473097088.45
85,001043.OF,388196125.8300001
86,001044.OF,2606636378.96
87,001047.OF,960013446.29
88,001048.OF,1796618202.06
89,001050.OF,975535142.5699999
90,001051.OF,1024223563.51
91,001052.OF,1176390315.55
92,001054.OF,576818437.13
93,001064.OF,937022253.0899999
94,001070.OF,305066917.7500001
95,001072.OF,638090371.83
96,001097.OF,245852883.24
97,001104.OF,1187786864.57
98,001105.OF,455600389.82
99,001113.OF,2827906488.26
100,001126.OF,956243555.3699999
101,001133.OF,233255753.44
102,001149.OF,27334963.3
103,001158.OF,1600141115.1
104,001162.OF,28176432.81
105,001163.OF,573090827.96
106,001166.OF,1855157528.31
107,001167.OF,555777648.5799999
108,001171.OF,806414973.17
109,001178.OF,550731700.1200001
110,001180.OF,964112292.4200001
111,001186.OF,1162278772.08
112,001188.OF,1173054880.35
113,001193.OF,133914407.14
114,001195.OF,619450816.3100001
115,001208.OF,1077945943.73
116,001214.OF,167826885.88
117,001223.OF,80596146.46
118,001230.OF,1087398484.35
119,001236.OF,945630495.4999999
120,001237.OF,236754901.67
121,001241.OF,175052314.83
122,001242.OF,934933333.5299999
123,001243.OF,170107453.76
124,001245.OF,777621737.6800001
125,001277.OF,979923825.8
126,001291.OF,404454534.55
127,001313.OF,1127282408.85
128,001319.OF,1241285511.47
129,001351.OF,84640699.07000001
130,001361.OF,255823301.94
131,001396.OF,788309771.3699999
132,001397.OF,89716674.50999999
133,001404.OF,1061287564.99
134,001409.OF,2633264121.79
135,001410.OF,798395526.7099999
136,001416.OF,3624957602.249999
137,001420.OF,412700769.85
138,001421.OF,442745888.0699999
139,001426.OF,56726223.41
140,001455.OF,237384650.62
141,001469.OF,222218751.63
142,001473.OF,107842361.99
143,001476.OF,1237038686.94
144,001482.OF,57392863.5
145,001490.OF,508965423.8899999
146,001496.OF,178906514.51
147,001521.OF,333766935.7800001
148,001528.OF,521296260.62
149,001539.OF,45238226.7
150,001541.OF,336595725.14
151,001542.OF,2742185884.84
152,001548.OF,372896269.02
153,001549.OF,343616056.08
154,001550.OF,204867520.26
155,001551.OF,164838221.85
156,001552.OF,121681415.79
157,001553.OF,153963272.06
158,001577.OF,176817199.97
159,001583.OF,420014941.76
160,001588.OF,56226004.16
161,001589.OF,28935440.36
162,001592.OF,636226513.77
163,001593.OF,1467302656.37
164,001594.OF,176068657.4
165,001595.OF,297740697.17
166,001605.OF,148010269.55
167,001616.OF,2353307824.84
168,001617.OF,79489098.41000001
169,001618.OF,104817959.35
170,001626.OF,165987960.31
171,001628.OF,37297763.07999999
172,001629.OF,115100362.62
173,001630.OF,377348174.1
174,001631.OF,265479040.54
175,001632.OF,239947553.49
176,001637.OF,201258123.45
177,001638.OF,5527823.59
178,001643.OF,47200983.81
179,001644.OF,11985087.45
180,001645.OF,300775578.73
181,001651.OF,291243557.08
182,001672.OF,253892666.57
183,001677.OF,200029703.44
184,001685.OF,316367189.74
185,001692.OF,126968020.9
186,001703.OF,276522527.25
187,001705.OF,537692823.16
188,001714.OF,422435901.96
189,001717.OF,372885358.53
190,001718.OF,37694973.38
191,001719.OF,44507335.82
192,001725.OF,3145910921.520001
193,001726.OF,469753540.8099999
194,001733.OF,47421526.6
195,001736.OF,1047087510.45
196,001764.OF,1068114899.06
197,001766.OF,468602124.42
198,001781.OF,27184714.66
199,001825.OF,105753029.44
200,001849.OF,17828397.87
201,001877.OF,61347504.55999999
202,001878.OF,5442399628.959999
203,001899.OF,37965537.66000001
204,001915.OF,132380472.07
205,001917.OF,36594880.17
206,001938.OF,2623574418.1
207,001956.OF,63848102.91
208,001974.OF,650789409.15
209,001975.OF,916437464.8199999
210,002063.OF,20574204.5
211,002121.OF,3035270527.09
212,002168.OF,219974363.04
213,002199.OF,118967758.43
214,002210.OF,614192222.4699999
215,002229.OF,1106769546.22
216,002236.OF,89087833.59
217,002300.OF,36116317.13
218,002310.OF,73383381.72999999
219,002311.OF,163613479.92
