,thscode,ths_fund_scale_fund
0,000008.OF,2080548802.99
1,000042.OF,211956102.56
2,000051.OF,10884290343.41
3,000059.OF,200907005.44
4,000082.OF,750557752.4700001
5,000176.OF,2519554248.39
6,000248.OF,5363262344.280001
7,000309.OF,388137632.75
8,000311.OF,5252175293.040001
9,000312.OF,798219952.7799999
10,000313.OF,744562058.0
11,000326.OF,295743401.1800001
12,000368.OF,250949107.58
13,000373.OF,44612288.62
14,000376.OF,71555431.82000002
15,000409.OF,3981710078.58
16,000411.OF,39151067.94
17,000418.OF,394182795.32
18,000457.OF,1468625309.89
19,000471.OF,786510369.6
20,000478.OF,4892622840.26
21,000512.OF,188477137.17
22,000513.OF,1560870877.12
23,000524.OF,207488517.51
24,000549.OF,112662097.62
25,000577.OF,2833824397.31
26,000586.OF,341302005.26
27,000592.OF,1019405324.26
28,000594.OF,832293757.7399999
29,000596.OF,1063564506.98
30,000613.OF,2940551968.47
31,000628.OF,4561607285.400001
32,000656.OF,366363836.8600001
33,000688.OF,30769756.22
34,000696.OF,5861786725.48
35,000697.OF,3563637252.300001
36,000711.OF,1307125561.79
37,000729.OF,2238819376.97
38,000746.OF,3164199323.01
39,000751.OF,10661215853.47
40,000756.OF,216289326.5200001
41,000761.OF,10093957.61
42,000778.OF,360776513.8199999
43,000780.OF,941220294.5100002
44,000793.OF,1384786468.19
45,000803.OF,169619988.51
46,000826.OF,134727832.02
47,000827.OF,276507984.21
48,000828.OF,5679251198.16
49,000831.OF,4964980613.749999
50,000835.OF,246698046.3500001
51,000854.OF,962344833.7999998
52,000866.OF,276298678.21
53,000867.OF,106305497.14
54,000884.OF,250203721.7
55,000893.OF,695285225.4599999
56,000913.OF,2635609153.2
57,000916.OF,279486219.52
58,000925.OF,2048756569.05
59,000942.OF,742470500.5200001
60,000948.OF,839358502.2799999
61,000950.OF,1187413743.18
62,000955.OF,460796677.2300001
63,000960.OF,3468921583.719999
64,000961.OF,2767827534.999999
65,000962.OF,1608044044.81
66,000968.OF,980191291.0100002
67,000971.OF,1542582334.73
68,000974.OF,316943878.82
69,000975.OF,147995463.52
70,000978.OF,850554415.0
71,000979.OF,1858067243.68
72,000985.OF,1363916606.82
73,000991.OF,4693110018.6
74,000996.OF,1141732525.04
75,001008.OF,1003735518.74
76,001009.OF,647426013.3200002
77,001015.OF,1090773540.99
78,001016.OF,412178241.5600001
79,001027.OF,769731916.34
80,001028.OF,440085795.44
81,001036.OF,502366735.29
82,001039.OF,1487895006.31
83,001040.OF,812172047.9099998
84,001042.OF,1372016071.35
85,001043.OF,1796956848.08
86,001044.OF,1063678798.98
87,001047.OF,363207994.7000001
88,001048.OF,1084778480.05
89,001050.OF,1147727382.67
90,001051.OF,1852602204.02
91,001052.OF,2562708758.79
92,001054.OF,10370606890.38
93,001064.OF,1307874969.98
94,001070.OF,1067481846.39
95,001072.OF,925842163.77
96,001097.OF,153235406.91
97,001104.OF,1226857845.29
98,001105.OF,267195848.19
99,001113.OF,2059971124.42
100,001126.OF,2318124952.7
101,001133.OF,176630156.71
102,001149.OF,9301782.979999999
103,001158.OF,2370017998.24
104,001162.OF,64139175.09
105,001163.OF,717967523.3600001
106,001166.OF,1143293124.04
107,001167.OF,302988786.02
108,001171.OF,3664137381.670001
109,001178.OF,832560061.8499999
110,001180.OF,898761450.0699998
111,001186.OF,1807724086.11
112,001188.OF,534997577.4300001
113,001193.OF,338211765.96
114,001195.OF,734501653.3299998
115,001208.OF,760828168.9099998
116,001214.OF,175935261.69
117,001223.OF,113947508.77
118,001230.OF,2041737655.72
119,001236.OF,1174928704.43
120,001237.OF,240704048.33
121,001241.OF,291705787.47
122,001242.OF,200382177.72
123,001243.OF,83304168.73999998
124,001245.OF,5789693555.41
125,001277.OF,330376366.36
126,001291.OF,236456071.9500001
127,001313.OF,644261634.5
128,001319.OF,385516597.74
129,001351.OF,51321660.16999999
130,001361.OF,298406107.26
131,001396.OF,322625117.7599999
132,001397.OF,54338911.68
133,001404.OF,1612561895.49
134,001409.OF,4459095785.78
135,001410.OF,17477493124.55999
136,001416.OF,1524531863.64
137,001420.OF,225817087.14
138,001421.OF,198473450.21
139,001426.OF,44340963.55
140,001455.OF,73176612.56
141,001469.OF,1045288352.46
142,001473.OF,271765747.9999999
143,001476.OF,1733505492.79
144,001482.OF,53550717.26000001
145,001490.OF,983398953.7600003
146,001496.OF,473279548.4999999
147,001521.OF,520055208.83
148,001528.OF,230029758.25
149,001539.OF,45781033.56
150,001541.OF,289595333.71
151,001542.OF,1142337492.95
152,001548.OF,1022605653.82
153,001549.OF,1330533303.1
154,001550.OF,478990112.49
155,001551.OF,840127773.05
156,001552.OF,1299229813.7
157,001553.OF,1888531576.87
158,001577.OF,168351174.81
159,001583.OF,317073676.43
160,001588.OF,19270010.34
161,001589.OF,31608021.73
162,001592.OF,830404327.88
163,001593.OF,2801133915.779999
164,001594.OF,2566788464.409999
165,001595.OF,6294159261.29
166,001605.OF,5534824293.549998
167,001616.OF,5936783203.53
168,001617.OF,314713604.92
169,001618.OF,743050159.4700001
170,001626.OF,79719047.01999998
171,001628.OF,187978924.76
172,001629.OF,358910352.2600001
173,001630.OF,1170102086.09
174,001631.OF,1857225080.08
175,001632.OF,6306382362.979999
176,001637.OF,648173570.1900002
177,001638.OF,10149747.22
178,001643.OF,2586604839.77
179,001644.OF,1462389013.89
180,001645.OF,1864403325.75
181,001651.OF,385778559.47
182,001672.OF,453814860.2400001
183,001677.OF,457909282.6200001
184,001685.OF,341586056.31
185,001692.OF,208848812.5
186,001703.OF,374323691.24
187,001705.OF,3214940581.82
188,001714.OF,12654481482.69
189,001717.OF,17625156252.85
190,001718.OF,5530503385.19
191,001719.OF,250280101.77
192,001725.OF,2115224503.49
193,001726.OF,454638253.9900001
194,001733.OF,181090350.47
195,001736.OF,5269189280.27
196,001764.OF,1158025563.16
197,001766.OF,1377044161.28
198,001781.OF,17551716.93
199,001825.OF,538791849.75
200,001849.OF,13786031.34
201,001877.OF,1970259060.09
202,001878.OF,3103128474.34
203,001899.OF,23317496.39
204,001915.OF,636964635.26
205,001917.OF,124034554.27
206,001938.OF,18078975798.66
207,001956.OF,1168900498.23
208,001974.OF,1428619606.71
209,001975.OF,9467571405.620003
210,002063.OF,5808263.33
211,002121.OF,5725655068.339999
212,002168.OF,6058031109.690001
213,002199.OF,563126771.6300001
214,002210.OF,307502577.9399999
215,002229.OF,1445383456.23
216,002236.OF,65840587.76
217,002300.OF,265643992.9999999
218,002310.OF,168042124.51
219,002311.OF,496182732.99
220,002315.OF,278085074.4599999
221,002316.OF,293703031.9100001
222,002332.OF,858878836.14
223,002333.OF,71580821.77
224,002334.OF,14166653.09
225,002335.OF,1499991.06
226,002385.OF,894994499.7799999
227,002387.OF,2869763905.73
228,002510.OF,485950435.5299999
229,002556.OF,58126999.99000001
230,002595.OF,74467337.46
231,002621.OF,1745157118.67
232,002656.OF,1683372292.33
233,002670.OF,472695451.68
234,002671.OF,140991157.5
235,002697.OF,859666716.86
236,002871.OF,94409529.43
237,002872.OF,235662902.18
238,002900.OF,285240837.62
239,002903.OF,1209658742.66
240,002906.OF,570087061.92
241,002907.OF,150560599.77
242,002952.OF,12165530.7
243,002974.OF,257161826.0300001
244,002977.OF,48036262.44999999
245,002978.OF,195655804.56
246,002979.OF,920410951.45
247,002980.OF,2127888078.13
248,002982.OF,118373026.53
249,002984.OF,531761034.7499999
250,002987.OF,274810505.14
251,003015.OF,195887272.86
